Variable:,tasmin
,Cambodia,"Banteay Meanchey",Battambang,"Kampong Cham","Kampong Chhnang","Kampong Speu","Kampong Thom",Kampot,Kandal,"Koh Kong",Kep,Kratie,"Preah Sihanouk","Mondul Kiri","Otdar Meanchey",Pailin,"Phnom Penh","Preah Vihear","Prey Veng",Pursat,"Ratanak Kiri","Siem Reap","Stung Treng","Svay Rieng",Takeo,"Area under National Administration 2","Area under National Administration 1"
2015,22.99,23.21,23.06,23.76,22.59,23.43,23.22,24.44,23.69,24.52,24.56,23.42,25.30,22.71,23.06,24.39,23.30,23.31,23.96,22.45,22.45,23.30,23.06,24.02,24.02,22.59,22.59
2016,23.14,23.25,23.08,23.88,22.70,23.61,23.36,24.58,23.86,24.54,24.69,23.59,25.37,22.88,23.11,24.40,23.50,23.49,24.11,22.47,22.67,23.42,23.33,24.16,24.17,22.66,22.66
2017,23.04,23.28,23.11,23.85,22.65,23.55,23.28,24.55,23.82,24.61,24.66,23.47,25.39,22.77,23.04,24.42,23.42,23.31,24.10,22.50,22.52,23.32,23.10,24.14,24.13,22.63,22.63
2018,23.27,23.51,23.33,24.01,22.86,23.72,23.50,24.66,23.97,24.80,24.76,23.70,25.54,22.96,23.32,24.66,23.59,23.59,24.23,22.70,22.72,23.60,23.36,24.27,24.26,22.87,22.87
2019,23.35,23.50,23.37,24.12,22.93,23.80,23.58,24.76,24.07,24.86,24.86,23.77,25.68,23.09,23.35,24.69,23.68,23.68,24.35,22.79,22.85,23.65,23.46,24.40,24.36,22.92,22.92
2020,23.45,23.63,23.48,24.19,23.03,23.83,23.69,24.78,24.12,24.88,24.89,23.88,25.65,23.16,23.45,24.80,23.70,23.79,24.41,22.89,22.96,23.74,23.58,24.44,24.38,23.04,23.04
2021,23.49,23.61,23.47,24.25,23.10,23.93,23.74,24.87,24.19,24.97,24.97,23.91,25.72,23.22,23.44,24.80,23.80,23.81,24.46,22.90,23.00,23.76,23.63,24.50,24.47,23.06,23.06
2022,23.46,23.56,23.40,24.23,22.99,23.83,23.68,24.79,24.13,24.86,24.90,23.95,25.62,23.24,23.39,24.71,23.71,23.76,24.43,22.81,23.01,23.67,23.66,24.47,24.39,22.97,22.97
2023,23.35,23.57,23.43,24.15,22.99,23.81,23.61,24.79,24.10,24.89,24.90,23.78,25.63,23.07,23.29,24.81,23.68,23.65,24.39,22.82,22.80,23.69,23.42,24.44,24.38,22.98,22.98
2024,23.56,23.79,23.62,24.32,23.17,23.98,23.84,24.93,24.23,25.03,25.04,24.03,25.75,23.27,23.61,24.90,23.86,23.92,24.49,23.01,23.00,23.92,23.67,24.52,24.53,23.19,23.19
2025,23.50,23.66,23.47,24.29,23.07,23.93,23.76,24.94,24.20,24.96,25.05,23.95,25.78,23.23,23.52,24.75,23.81,23.82,24.48,22.86,23.00,23.77,23.64,24.51,24.51,23.05,23.05
