Variable:,tasmin
,Libya,"Ajdabiya (agedabia)","Al Aziziyah","Al Fatah","Al Jabal Al Akhdar","Al Jufrah","Al Khoms","Al Kufrah","Ash Shati","Awbari (ubari)","Az Zawia (azzawiya)",Banghazi,Darnah,Ghadamis,Gharyan,Misurata,Murzuq,"Nuqat Al Khams",Sabha,"Sawfajjin (sofuljeen)","Surt (sirte)",Tarhunah,"Tripoli (tarabulus)","Tubruq (tobruk)","Yafran (yefren)","Zeleitin (zliten)"
2015,15.74,15.19,15.78,15.09,14.20,14.64,16.05,16.48,16.03,16.49,16.05,16.00,14.35,15.66,15.25,16.39,16.22,16.23,15.99,15.51,14.55,15.66,15.57,15.20,15.66,16.20
2016,15.82,15.26,15.77,15.23,14.35,14.65,16.03,16.63,16.11,16.59,16.00,16.15,14.49,15.66,15.28,16.35,16.27,16.22,16.06,15.51,14.56,15.68,15.60,15.30,15.64,16.16
2017,15.70,15.11,15.53,15.09,14.23,14.53,15.79,16.51,15.98,16.47,15.75,15.97,14.33,15.57,15.10,16.14,16.24,16.00,16.00,15.32,14.43,15.44,15.36,15.20,15.47,15.92
2018,15.84,15.27,15.80,15.15,14.27,14.67,16.04,16.65,16.09,16.58,16.02,16.06,14.39,15.76,15.32,16.36,16.38,16.24,16.01,15.55,14.58,15.72,15.64,15.28,15.70,16.16
2019,15.86,15.31,15.65,15.21,14.35,14.69,15.90,16.70,16.13,16.69,15.86,16.09,14.48,15.51,15.13,16.25,16.46,16.07,16.18,15.42,14.50,15.57,15.49,15.33,15.51,16.03
2020,15.88,15.29,15.81,15.21,14.33,14.66,16.09,16.71,16.12,16.64,16.03,16.10,14.51,15.75,15.34,16.42,16.40,16.28,16.12,15.56,14.59,15.73,15.64,15.39,15.68,16.23
2021,15.98,15.44,15.97,15.46,14.60,14.77,16.26,16.75,16.19,16.69,16.20,16.32,14.71,15.82,15.39,16.60,16.47,16.42,16.21,15.68,14.73,15.89,15.80,15.50,15.83,16.41
2022,15.87,15.30,15.68,15.17,14.28,14.69,16.00,16.70,16.23,16.74,15.88,16.07,14.44,15.73,15.21,16.39,16.36,16.18,16.11,15.50,14.57,15.61,15.52,15.40,15.56,16.15
2023,15.96,15.47,15.91,15.38,14.51,14.74,16.22,16.76,16.10,16.63,16.12,16.28,14.65,15.73,15.31,16.58,16.44,16.32,16.17,15.63,14.70,15.84,15.75,15.51,15.65,16.37
2024,16.08,15.49,15.91,15.42,14.55,14.97,16.21,16.88,16.39,16.89,16.12,16.31,14.67,15.96,15.51,16.59,16.58,16.38,16.38,15.81,14.88,15.84,15.75,15.53,15.79,16.37
2025,16.11,15.53,15.87,15.53,14.67,14.89,16.20,16.97,16.33,16.93,16.07,16.38,14.80,15.92,15.42,16.61,16.68,16.38,16.40,15.64,14.81,15.80,15.71,15.62,15.80,16.35
2026,16.23,15.69,16.15,15.63,14.75,15.09,16.40,17.05,16.50,16.95,16.35,16.56,14.91,16.14,15.66,16.75,16.68,16.61,16.46,15.90,14.94,16.07,15.99,15.77,16.02,16.53
2027,16.02,15.40,16.10,15.43,14.56,14.78,16.37,16.89,16.24,16.73,16.35,16.34,14.70,15.88,15.44,16.72,16.44,16.60,16.16,15.82,14.88,16.00,15.91,15.48,15.94,16.51
2028,16.18,15.54,16.11,15.53,14.65,14.99,16.43,17.00,16.51,17.02,16.29,16.43,14.78,16.02,15.62,16.81,16.70,16.54,16.47,15.88,14.90,16.07,15.98,15.59,15.98,16.57
2029,16.23,15.63,15.97,15.49,14.59,15.02,16.30,17.08,16.55,17.07,16.18,16.40,14.78,16.13,15.67,16.69,16.75,16.51,16.46,15.80,14.87,15.90,15.81,15.71,15.89,16.45
