Variable:,tasmin
,Mozambique,"Cabo Delgado",Gaza,Inhambane,Manica,Nampula,Niassa,Sofala,Tete,Zambezia,Maputo,"Lago niassa"
2015,19.08,20.16,17.27,18.83,16.57,20.07,18.18,19.36,18.48,19.90,16.81,17.20
2016,19.17,20.26,17.39,19.00,16.72,20.18,18.20,19.53,18.50,19.96,16.83,17.12
2017,19.24,20.19,17.37,18.95,16.80,20.25,18.35,19.62,18.69,20.13,16.92,17.26
2018,19.17,20.30,17.21,18.81,16.63,20.20,18.32,19.44,18.63,19.97,16.80,17.32
2019,19.23,20.31,17.37,19.02,16.76,20.24,18.39,19.50,18.65,20.02,16.83,17.47
2020,19.24,20.36,17.37,18.97,16.77,20.25,18.37,19.52,18.67,20.00,16.84,17.38
2021,19.26,20.32,17.50,19.03,16.81,20.21,18.37,19.54,18.73,20.01,17.00,17.38
2022,19.38,20.43,17.54,19.11,16.95,20.34,18.48,19.73,18.91,20.15,17.06,17.42
2023,19.34,20.39,17.64,19.18,16.91,20.30,18.40,19.65,18.78,20.09,17.09,17.43
2024,19.37,20.40,17.69,19.19,16.97,20.29,18.40,19.77,18.79,20.14,17.12,17.40
2025,19.52,20.53,17.86,19.33,17.11,20.42,18.57,19.84,18.97,20.30,17.29,17.59
2026,19.54,20.57,17.72,19.28,17.03,20.54,18.63,19.89,18.98,20.38,17.24,17.63
2027,19.45,20.50,17.69,19.28,16.97,20.43,18.50,19.82,18.80,20.28,17.30,17.46
2028,19.52,20.54,17.61,19.16,17.11,20.45,18.63,19.87,19.12,20.37,17.10,17.69
2029,19.47,20.52,17.63,19.20,16.99,20.45,18.64,19.79,18.89,20.32,17.22,17.65
2030,19.47,20.52,17.54,19.17,16.97,20.48,18.60,19.76,18.99,20.30,17.10,17.58
2031,19.51,20.56,17.57,19.19,16.92,20.52,18.67,19.77,19.04,20.37,17.11,17.70
2032,19.51,20.61,17.76,19.31,16.96,20.51,18.66,19.73,18.91,20.25,17.29,17.61
2033,19.51,20.74,17.57,19.16,16.96,20.56,18.70,19.70,18.90,20.27,17.19,17.69
2034,19.60,20.71,17.83,19.34,17.13,20.58,18.72,19.85,19.16,20.29,17.25,17.74
2035,19.58,20.68,17.83,19.35,17.11,20.59,18.70,19.87,18.98,20.36,17.39,17.67
2036,19.77,20.69,17.99,19.58,17.43,20.66,18.80,20.23,19.33,20.60,17.45,17.86
