Variable:,tasmin
,Mauritania,Adrar,Assaba,Brakna,Dakhlet-Nouadhibou,Gorgol,Guidimakha,"Hodh Ech Chargi","Hodh El Gharbi",Inchiri,Nouakchott,Tagant,Tiris-Zemmour,Trarza
2015,21.23,21.48,22.66,22.25,19.69,22.56,22.78,22.42,22.55,20.69,20.96,22.40,19.70,21.32
2016,21.28,21.54,22.67,22.37,19.60,22.58,22.74,22.54,22.59,20.67,20.98,22.55,19.65,21.38
2017,21.47,21.74,22.89,22.56,19.76,22.80,22.92,22.64,22.73,20.82,21.06,22.66,19.96,21.52
2018,21.47,21.77,22.85,22.54,19.73,22.80,22.93,22.63,22.66,20.78,21.07,22.67,19.95,21.53
2019,21.47,21.69,23.00,22.51,19.68,22.93,23.16,22.81,22.89,20.72,20.95,22.72,19.86,21.39
2020,21.50,21.73,23.12,22.61,19.66,23.03,23.25,22.81,22.95,20.73,20.93,22.71,19.92,21.46
2021,21.48,21.71,22.92,22.59,19.73,22.88,23.08,22.72,22.78,20.83,21.03,22.66,19.94,21.53
2022,21.65,21.86,23.12,22.66,19.78,23.02,23.21,22.87,22.95,20.86,21.12,22.84,20.17,21.57
2023,21.53,21.72,23.08,22.67,19.75,23.04,23.18,22.82,22.87,20.75,21.13,22.77,20.01,21.55
2024,21.69,21.97,23.10,22.67,19.80,23.02,23.25,22.98,22.96,20.89,21.09,22.97,20.12,21.56
2025,21.72,21.99,23.19,22.78,19.90,23.15,23.32,22.90,22.95,20.98,21.25,22.90,20.21,21.66
2026,21.75,21.99,23.30,22.84,19.88,23.18,23.39,23.04,23.11,20.98,21.29,22.96,20.15,21.75
2027,21.79,22.02,23.28,22.78,20.07,23.16,23.41,22.99,23.17,21.10,21.42,22.93,20.31,21.79
2028,21.82,22.08,23.34,22.96,19.94,23.26,23.42,23.16,23.21,20.96,21.24,23.10,20.18,21.76
2029,21.91,22.17,23.31,22.82,20.06,23.19,23.40,23.15,23.21,21.06,21.31,23.12,20.40,21.76
2030,21.89,22.15,23.29,22.80,19.93,23.09,23.27,23.16,23.17,20.95,21.23,23.12,20.40,21.72
2031,21.85,22.06,23.46,22.93,19.99,23.32,23.52,23.18,23.30,21.02,21.28,23.19,20.23,21.74
2032,21.89,22.13,23.22,22.94,20.05,23.20,23.30,23.13,23.14,21.08,21.49,23.08,20.40,21.92
2033,21.94,22.22,23.46,22.99,19.96,23.36,23.58,23.29,23.34,21.09,21.34,23.22,20.28,21.86
2034,21.92,22.18,23.27,22.99,20.12,23.21,23.37,23.11,23.10,21.19,21.44,23.14,20.44,21.92
2035,21.90,22.13,23.47,23.06,20.02,23.37,23.54,23.26,23.37,21.11,21.34,23.18,20.27,21.89
2036,21.93,22.17,23.45,23.01,20.09,23.34,23.61,23.24,23.34,21.15,21.38,23.14,20.33,21.88
2037,22.08,22.36,23.50,23.08,20.27,23.39,23.61,23.35,23.43,21.31,21.53,23.34,20.50,22.02
2038,22.02,22.28,23.42,23.02,20.20,23.32,23.55,23.29,23.36,21.27,21.46,23.24,20.46,21.96
2039,22.21,22.47,23.68,23.13,20.23,23.43,23.71,23.53,23.63,21.34,21.61,23.53,20.60,22.05
2040,21.89,22.12,23.27,22.89,19.99,23.17,23.30,23.28,23.22,21.02,21.37,23.15,20.32,21.77
2041,21.99,22.26,23.40,23.09,20.16,23.32,23.41,23.17,23.20,21.24,21.46,23.18,20.54,21.93
2042,22.11,22.36,23.62,23.17,20.14,23.45,23.57,23.46,23.48,21.26,21.65,23.44,20.45,22.07
2043,22.04,22.27,23.58,23.19,20.21,23.48,23.65,23.25,23.45,21.29,21.56,23.26,20.50,22.06
2044,22.18,22.41,23.69,23.19,20.19,23.55,23.74,23.51,23.61,21.34,21.56,23.44,20.59,22.07
2045,22.01,22.24,23.46,23.14,20.33,23.39,23.54,23.20,23.36,21.33,21.56,23.22,20.52,22.05
2046,22.23,22.46,23.68,23.31,20.41,23.59,23.71,23.48,23.51,21.47,21.72,23.47,20.71,22.17
2047,22.13,22.27,23.56,23.08,20.29,23.43,23.60,23.38,23.46,21.38,21.67,23.33,20.71,22.12
2048,22.30,22.57,23.72,23.36,20.29,23.56,23.71,23.56,23.56,21.38,21.67,23.60,20.74,22.20
2049,22.34,22.61,23.74,23.37,20.36,23.57,23.73,23.64,23.58,21.42,21.69,23.59,20.76,22.25
2050,22.60,22.93,24.00,23.51,20.62,23.83,24.04,23.87,23.90,21.81,21.99,23.85,21.01,22.49
2051,22.27,22.55,23.58,23.14,20.42,23.50,23.75,23.48,23.46,21.50,21.70,23.43,20.83,22.13
2052,22.26,22.54,23.64,23.22,20.29,23.49,23.64,23.50,23.46,21.39,21.54,23.49,20.76,22.03
2053,22.20,22.50,23.60,23.20,20.37,23.45,23.56,23.22,23.37,21.48,21.68,23.38,20.83,22.10
2054,22.04,22.29,23.57,23.11,20.17,23.52,23.73,23.37,23.42,21.26,21.53,23.22,20.45,22.02
2055,22.16,22.35,23.67,23.22,20.23,23.54,23.73,23.58,23.60,21.34,21.63,23.45,20.52,22.13
2056,22.17,22.39,23.62,23.14,20.28,23.50,23.74,23.48,23.56,21.36,21.64,23.34,20.64,22.10
2057,22.27,22.51,23.68,23.23,20.23,23.55,23.75,23.59,23.55,21.33,21.61,23.52,20.74,22.08
2058,22.24,22.51,23.62,23.21,20.36,23.56,23.74,23.48,23.47,21.38,21.71,23.39,20.76,22.14
2059,22.13,22.35,23.57,23.16,20.40,23.53,23.81,23.40,23.46,21.43,21.71,23.36,20.61,22.10
2060,22.33,22.64,23.78,23.30,20.19,23.61,23.74,23.66,23.65,21.27,21.59,23.64,20.72,22.11
2061,22.15,22.35,23.54,23.22,20.31,23.44,23.64,23.47,23.49,21.35,21.70,23.28,20.64,22.19
2062,22.24,22.46,23.71,23.29,20.41,23.68,23.82,23.55,23.60,21.47,21.83,23.43,20.70,22.26
2063,22.36,22.63,23.71,23.30,20.44,23.58,23.77,23.58,23.60,21.56,21.90,23.52,20.91,22.32
2064,22.18,22.37,23.70,23.24,20.31,23.52,23.75,23.49,23.61,21.31,21.66,23.42,20.61,22.11
2065,22.21,22.50,23.59,23.18,20.25,23.45,23.64,23.52,23.43,21.29,21.63,23.48,20.63,22.11
2066,22.30,22.56,23.75,23.34,20.35,23.62,23.82,23.58,23.64,21.50,21.78,23.55,20.74,22.25
2067,22.40,22.72,23.81,23.34,20.41,23.73,24.04,23.68,23.64,21.53,21.79,23.61,20.82,22.32
2068,22.25,22.48,23.69,23.29,20.46,23.65,23.85,23.54,23.56,21.48,21.79,23.45,20.73,22.21
2069,22.19,22.42,23.58,23.17,20.28,23.49,23.68,23.42,23.47,21.41,21.63,23.38,20.69,22.08
2070,22.41,22.63,23.82,23.47,20.53,23.75,23.94,23.60,23.73,21.66,21.90,23.59,20.94,22.42
2071,22.25,22.49,23.78,23.35,20.38,23.75,23.92,23.50,23.62,21.48,21.80,23.53,20.70,22.23
2072,22.19,22.36,23.69,23.16,20.51,23.63,23.83,23.45,23.56,21.39,21.72,23.35,20.75,22.13
2073,22.22,22.39,23.69,23.15,20.44,23.53,23.78,23.60,23.67,21.40,21.67,23.46,20.68,22.08
2074,22.43,22.66,23.84,23.38,20.37,23.64,23.84,23.67,23.74,21.58,21.80,23.62,20.95,22.33
2075,22.31,22.53,23.79,23.27,20.28,23.69,23.89,23.72,23.71,21.40,21.66,23.60,20.70,22.10
