Variable:,tasmin
,Mauritius,"Administrative unit not available","Black River",Flacq,"Grand Port",Moka,Pamplemousses,"Plaines Wilhems","Port Louis","Riviere Du Rempart",Savanne
2015,22.16,22.64,21.75,21.75,21.75,21.75,21.75,21.75,21.75,21.77,21.75
2016,22.19,22.60,21.81,21.81,21.81,21.81,21.81,21.81,21.81,21.82,21.81
2017,22.17,22.61,21.78,21.78,21.78,21.78,21.78,21.78,21.78,21.79,21.78
2018,22.36,22.78,21.92,21.92,21.92,21.92,21.92,21.92,21.92,21.94,21.92
2019,22.27,22.80,21.85,21.85,21.85,21.85,21.85,21.85,21.85,21.87,21.85
2020,22.36,22.81,21.94,21.94,21.94,21.94,21.94,21.94,21.94,21.96,21.94
2021,22.29,22.73,21.91,21.91,21.91,21.91,21.91,21.91,21.91,21.92,21.91
2022,22.25,22.75,21.92,21.92,21.92,21.92,21.92,21.92,21.92,21.93,21.92
2023,22.43,22.88,22.02,22.02,22.02,22.02,22.02,22.02,22.02,22.03,22.02
2024,22.51,22.94,22.06,22.06,22.06,22.06,22.06,22.06,22.06,22.08,22.06
2025,22.47,22.91,22.13,22.13,22.13,22.13,22.13,22.13,22.13,22.14,22.13
2026,22.44,22.89,22.02,22.02,22.02,22.02,22.02,22.02,22.02,22.04,22.02
2027,22.37,22.84,21.99,21.99,21.99,21.99,21.99,21.99,21.99,22.00,21.99
2028,22.57,23.03,22.16,22.16,22.16,22.16,22.16,22.16,22.16,22.17,22.16
2029,22.46,22.91,22.06,22.06,22.06,22.06,22.06,22.06,22.06,22.07,22.06
2030,22.47,22.95,22.10,22.10,22.10,22.10,22.10,22.10,22.10,22.11,22.10
2031,22.46,22.86,22.06,22.06,22.06,22.06,22.06,22.06,22.06,22.08,22.06
2032,22.52,22.97,22.09,22.09,22.09,22.09,22.09,22.09,22.09,22.11,22.09
2033,22.52,22.97,22.10,22.10,22.10,22.10,22.10,22.10,22.10,22.11,22.10
2034,22.54,22.95,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.16,22.14
2035,22.57,22.98,22.16,22.16,22.16,22.16,22.16,22.16,22.16,22.17,22.16
2036,22.68,23.12,22.33,22.33,22.33,22.33,22.33,22.33,22.33,22.34,22.33
2037,22.63,23.08,22.25,22.25,22.25,22.25,22.25,22.25,22.25,22.26,22.25
2038,22.62,23.06,22.23,22.23,22.23,22.23,22.23,22.23,22.23,22.24,22.23
2039,22.63,23.09,22.18,22.18,22.18,22.18,22.18,22.18,22.18,22.20,22.18
2040,22.65,23.04,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.19,22.17
2041,22.52,23.05,22.09,22.09,22.09,22.09,22.09,22.09,22.09,22.11,22.09
2042,22.73,23.19,22.36,22.36,22.36,22.36,22.36,22.36,22.36,22.37,22.36
2043,22.70,23.14,22.29,22.29,22.29,22.29,22.29,22.29,22.29,22.31,22.29
2044,22.63,23.08,22.20,22.20,22.20,22.20,22.20,22.20,22.20,22.22,22.20
2045,22.70,23.14,22.27,22.27,22.27,22.27,22.27,22.27,22.27,22.29,22.27
2046,22.68,23.09,22.21,22.21,22.21,22.21,22.21,22.21,22.21,22.23,22.21
2047,22.67,23.08,22.29,22.29,22.29,22.29,22.29,22.29,22.29,22.30,22.29
2048,22.61,23.03,22.23,22.23,22.23,22.23,22.23,22.23,22.23,22.24,22.23
2049,22.68,23.13,22.34,22.34,22.34,22.34,22.34,22.34,22.34,22.35,22.34
2050,22.87,23.30,22.41,22.41,22.41,22.41,22.41,22.41,22.41,22.43,22.41
2051,22.77,23.22,22.41,22.41,22.41,22.41,22.41,22.41,22.41,22.42,22.41
2052,22.72,23.21,22.34,22.34,22.34,22.34,22.34,22.34,22.34,22.35,22.34
2053,22.64,23.15,22.23,22.23,22.23,22.23,22.23,22.23,22.23,22.25,22.23
2054,22.65,23.13,22.23,22.23,22.23,22.23,22.23,22.23,22.23,22.25,22.23
2055,22.68,23.12,22.25,22.25,22.25,22.25,22.25,22.25,22.25,22.27,22.25
2056,22.82,23.27,22.42,22.42,22.42,22.42,22.42,22.42,22.42,22.43,22.42
2057,22.72,23.16,22.30,22.30,22.30,22.30,22.30,22.30,22.30,22.32,22.30
2058,22.82,23.31,22.35,22.35,22.35,22.35,22.35,22.35,22.35,22.37,22.35
2059,22.83,23.32,22.40,22.40,22.40,22.40,22.40,22.40,22.40,22.42,22.40
2060,22.76,23.29,22.38,22.38,22.38,22.38,22.38,22.38,22.38,22.39,22.38
2061,22.69,23.17,22.29,22.29,22.29,22.29,22.29,22.29,22.29,22.30,22.29
2062,22.79,23.19,22.37,22.37,22.37,22.37,22.37,22.37,22.37,22.39,22.37
2063,22.65,23.10,22.29,22.29,22.29,22.29,22.29,22.29,22.29,22.30,22.29
2064,22.72,23.13,22.27,22.27,22.27,22.27,22.27,22.27,22.27,22.29,22.27
2065,22.65,23.04,22.22,22.22,22.22,22.22,22.22,22.22,22.22,22.24,22.22
2066,22.67,23.17,22.26,22.26,22.26,22.26,22.26,22.26,22.26,22.27,22.26
2067,22.80,23.28,22.35,22.35,22.35,22.35,22.35,22.35,22.35,22.37,22.35
2068,22.76,23.31,22.35,22.35,22.35,22.35,22.35,22.35,22.35,22.36,22.35
