Variable:,tasmin
,Nauru,"Administrative unit not available"
2015,25.51,25.67
2016,25.56,25.73
2017,25.58,25.75
2018,25.56,25.74
2019,25.70,25.86
2020,25.66,25.82
2021,25.61,25.79
2022,25.48,25.66
2023,25.77,25.93
2024,25.75,25.93
2025,25.62,25.77
2026,25.68,25.88
2027,25.74,25.90
2028,25.77,25.96
2029,25.72,25.91
2030,25.71,25.89
2031,25.74,25.90
2032,25.82,26.00
2033,25.82,26.00
2034,25.62,25.82
2035,25.93,26.09
2036,26.01,26.18
2037,26.08,26.25
2038,25.96,26.14
2039,25.88,26.07
2040,25.78,25.93
2041,25.84,26.02
2042,26.18,26.33
2043,26.06,26.24
2044,26.01,26.19
2045,25.94,26.11
2046,25.95,26.13
2047,26.08,26.20
2048,25.99,26.15
2049,26.18,26.33
2050,26.18,26.32
2051,26.04,26.20
2052,26.01,26.17
2053,25.95,26.13
2054,26.06,26.22
2055,26.14,26.31
2056,26.03,26.11
2057,26.26,26.45
2058,26.10,26.27
2059,26.14,26.30
2060,26.13,26.33
2061,26.08,26.24
2062,26.22,26.36
2063,25.90,26.08
2064,26.02,26.20
2065,26.07,26.26
2066,26.11,26.27
2067,25.94,26.14
2068,26.10,26.28
2069,26.30,26.47
2070,26.06,26.27
2071,26.15,26.31
2072,25.99,26.19
2073,26.25,26.42
2074,26.21,26.37
2075,26.12,26.31
2076,26.04,26.22
2077,26.17,26.34
2078,26.09,26.24
2079,25.96,26.14
2080,26.19,26.36
2081,26.13,26.28
2082,26.18,26.33
2083,26.30,26.48
2084,26.25,26.40
2085,26.02,26.20
2086,26.27,26.42
2087,26.03,26.22
2088,26.08,26.26
2089,26.10,26.31
2090,26.22,26.39
2091,26.17,26.36
2092,25.93,26.10
2093,26.03,26.16
2094,26.14,26.30
2095,26.06,26.26
2096,26.12,26.26
2097,25.95,26.10
2098,26.09,26.25
2099,26.00,26.18
2100,26.10,26.23
