Variable:,tasmin
,Eswatini,Hhohho,Lubombo,Manzini,Shiselweni
2015,14.61,12.39,13.22,11.68,12.29
2016,14.58,12.35,13.16,11.66,12.22
2017,14.72,12.50,13.31,11.81,12.37
2018,14.61,12.37,13.20,11.68,12.33
2019,14.62,12.40,13.20,11.70,12.28
2020,14.61,12.39,13.19,11.69,12.23
2021,14.77,12.55,13.36,11.87,12.43
2022,14.82,12.60,13.40,11.90,12.45
2023,14.83,12.62,13.38,11.89,12.43
2024,14.87,12.66,13.46,11.98,12.52
2025,15.03,12.81,13.60,12.12,12.68
2026,15.07,12.91,13.69,12.20,12.76
2027,15.10,12.87,13.70,12.20,12.74
2028,14.85,12.61,13.39,11.90,12.49
2029,15.00,12.76,13.54,12.06,12.58
2030,14.85,12.60,13.43,11.94,12.51
2031,14.83,12.54,13.35,11.83,12.40
2032,15.04,12.80,13.61,12.09,12.66
2033,14.96,12.70,13.53,12.03,12.61
2034,15.04,12.85,13.64,12.16,12.71
2035,15.16,12.93,13.73,12.24,12.78
2036,15.22,13.00,13.79,12.31,12.83
2037,15.27,13.08,13.89,12.42,12.96
2038,15.18,12.93,13.75,12.24,12.80
2039,15.14,12.96,13.77,12.30,12.86
2040,15.13,12.95,13.73,12.26,12.83
2041,15.22,13.00,13.82,12.32,12.92
2042,15.27,13.08,13.89,12.42,12.96
2043,15.37,13.20,14.03,12.57,13.11
2044,15.09,12.92,13.71,12.24,12.80
2045,15.18,12.98,13.79,12.33,12.86
2046,15.40,13.21,14.01,12.54,13.06
2047,15.28,13.07,13.86,12.36,12.90
2048,15.31,13.13,13.95,12.44,12.98
2049,15.11,12.90,13.70,12.20,12.78
2050,15.41,13.22,14.03,12.57,13.10
2051,15.32,13.12,13.89,12.43,12.98
2052,15.22,13.01,13.78,12.31,12.85
2053,15.24,12.97,13.79,12.33,12.87
2054,15.30,13.08,13.87,12.37,12.95
2055,15.22,13.03,13.82,12.32,12.91
2056,15.31,13.18,13.95,12.51,13.03
2057,15.07,12.87,13.67,12.22,12.79
2058,15.32,13.11,13.91,12.42,12.96
2059,15.32,13.09,13.88,12.38,12.97
2060,15.32,13.11,13.88,12.41,12.95
2061,15.30,13.09,13.91,12.41,12.93
2062,15.25,13.06,13.87,12.39,12.95
2063,15.38,13.17,14.00,12.48,13.03
2064,15.35,13.15,13.95,12.50,13.04
2065,15.43,13.25,14.06,12.55,13.10
2066,15.49,13.32,14.10,12.61,13.17
2067,15.31,13.08,13.88,12.40,12.94
2068,15.55,13.35,14.15,12.67,13.19
2069,15.37,13.16,13.98,12.48,13.04
2070,15.40,13.23,14.04,12.59,13.13
2071,15.41,13.22,14.02,12.58,13.14
2072,15.35,13.14,13.92,12.45,12.96
2073,15.49,13.31,14.09,12.63,13.12
2074,15.43,13.21,14.04,12.56,13.12
2075,15.21,13.00,13.81,12.29,12.91
2076,15.21,13.02,13.81,12.35,12.88
2077,15.28,13.08,13.92,12.43,13.02
2078,15.47,13.31,14.12,12.66,13.18
2079,15.37,13.15,13.96,12.48,13.04
2080,15.21,12.95,13.79,12.32,12.80
2081,15.43,13.17,13.97,12.49,13.06
2082,15.61,13.41,14.21,12.71,13.27
2083,15.33,13.13,13.91,12.43,12.99
2084,15.34,13.13,13.92,12.45,12.97
2085,15.23,13.06,13.84,12.36,12.91
2086,15.39,13.23,14.01,12.53,13.06
2087,15.40,13.21,13.97,12.50,13.06
2088,15.33,13.11,13.95,12.47,13.02
2089,15.38,13.14,13.95,12.45,13.02
2090,15.23,12.97,13.76,12.24,12.84
2091,15.57,13.41,14.19,12.72,13.25
2092,15.34,13.12,13.92,12.45,12.97
2093,15.19,13.02,13.88,12.42,13.00
2094,15.39,13.17,13.97,12.49,13.02
2095,15.43,13.21,13.97,12.51,13.07
2096,15.21,12.91,13.72,12.22,12.72
2097,15.13,12.98,13.75,12.30,12.85
2098,15.21,13.00,13.83,12.34,12.93
2099,15.50,13.30,14.10,12.63,13.17
2100,15.20,13.02,13.84,12.41,12.93
