Variable:,tasmin
,"Timor Leste",Aileu,Ainaro,Baucau,Bobonaro,Covalima,Dili,Ermera,Lautem,Liquica,Manatuto,Manufahi,Oecussi,Viqueque
2015,21.28,21.59,21.99,20.25,21.90,22.35,21.59,21.59,21.38,21.59,21.13,22.10,21.02,20.25
2016,21.32,21.65,22.04,20.26,21.95,22.38,21.65,21.65,21.41,21.65,21.17,22.14,21.00,20.26
2017,21.45,21.78,22.15,20.41,22.07,22.48,21.78,21.78,21.54,21.78,21.31,22.25,21.11,20.41
2018,21.40,21.72,22.13,20.36,22.03,22.49,21.72,21.72,21.50,21.72,21.25,22.23,21.08,20.36
2019,21.57,21.89,22.28,20.53,22.19,22.62,21.89,21.89,21.66,21.89,21.42,22.38,21.24,20.53
2020,21.45,21.80,22.19,20.41,22.10,22.53,21.80,21.80,21.53,21.80,21.32,22.29,21.18,20.41
2021,21.45,21.78,22.17,20.41,22.08,22.52,21.78,21.78,21.55,21.78,21.31,22.28,21.13,20.41
2022,21.54,21.90,22.26,20.48,22.18,22.59,21.90,21.90,21.62,21.90,21.41,22.37,21.28,20.48
2023,21.57,21.89,22.32,20.53,22.22,22.70,21.89,21.89,21.67,21.89,21.42,22.42,21.33,20.53
2024,21.70,22.03,22.40,20.66,22.32,22.73,22.03,22.03,21.79,22.03,21.56,22.50,21.41,20.66
2025,21.59,21.90,22.34,20.55,22.24,22.74,21.90,21.90,21.70,21.90,21.44,22.44,21.33,20.55
2026,21.76,22.08,22.47,20.72,22.38,22.82,22.08,22.08,21.86,22.08,21.61,22.57,21.42,20.72
2027,21.63,21.94,22.33,20.61,22.24,22.68,21.94,21.94,21.72,21.94,21.48,22.43,21.31,20.61
2028,21.68,21.98,22.38,20.65,22.29,22.74,21.98,21.98,21.79,21.98,21.53,22.48,21.38,20.65
2029,21.72,22.09,22.47,20.67,22.38,22.81,22.09,22.09,21.80,22.09,21.60,22.57,21.43,20.67
2030,21.71,22.03,22.45,20.68,22.35,22.82,22.03,22.03,21.82,22.03,21.57,22.55,21.42,20.68
2031,21.70,22.03,22.41,20.66,22.32,22.75,22.03,22.03,21.79,22.03,21.56,22.51,21.42,20.66
2032,21.78,22.08,22.47,20.75,22.38,22.82,22.08,22.08,21.88,22.08,21.63,22.58,21.44,20.75
2033,21.80,22.11,22.49,20.77,22.40,22.83,22.11,22.11,21.90,22.11,21.65,22.59,21.46,20.77
2034,21.90,22.25,22.63,20.89,22.54,22.96,22.25,22.25,22.00,22.25,21.78,22.73,21.56,20.89
2035,21.77,22.12,22.49,20.73,22.41,22.82,22.12,22.12,21.84,22.12,21.64,22.59,21.48,20.73
2036,21.83,22.14,22.54,20.80,22.44,22.89,22.14,22.14,21.92,22.14,21.68,22.64,21.50,20.80
2037,21.83,22.17,22.57,20.79,22.48,22.93,22.17,22.17,21.92,22.17,21.69,22.67,21.54,20.79
2038,21.87,22.20,22.58,20.83,22.49,22.90,22.20,22.20,21.96,22.20,21.73,22.68,21.47,20.83
2039,21.88,22.25,22.63,20.82,22.54,22.96,22.25,22.25,21.96,22.25,21.75,22.73,21.58,20.82
2040,21.87,22.16,22.57,20.83,22.48,22.94,22.16,22.16,21.98,22.16,21.71,22.67,21.57,20.83
2041,21.79,22.10,22.51,20.76,22.41,22.87,22.10,22.10,21.88,22.10,21.64,22.61,21.50,20.76
2042,21.92,22.27,22.67,20.86,22.57,23.02,22.27,22.27,22.00,22.27,21.78,22.77,21.62,20.86
2043,21.90,22.21,22.60,20.88,22.51,22.95,22.21,22.21,21.99,22.21,21.76,22.71,21.57,20.88
2044,22.01,22.34,22.73,20.96,22.64,23.08,22.34,22.34,22.11,22.34,21.86,22.83,21.67,20.96
2045,21.86,22.19,22.61,20.81,22.51,22.97,22.19,22.19,21.94,22.19,21.72,22.71,21.55,20.81
2046,21.93,22.27,22.66,20.88,22.57,23.01,22.27,22.27,22.02,22.27,21.79,22.76,21.68,20.88
2047,21.99,22.34,22.72,20.95,22.63,23.06,22.34,22.34,22.08,22.34,21.86,22.82,21.68,20.95
2048,21.94,22.31,22.68,20.88,22.59,23.00,22.31,22.31,22.00,22.31,21.81,22.78,21.55,20.88
2049,22.04,22.38,22.75,21.01,22.67,23.08,22.38,22.38,22.13,22.38,21.91,22.85,21.72,21.01
2050,21.95,22.29,22.69,20.92,22.59,23.03,22.29,22.29,22.03,22.29,21.82,22.79,21.61,20.92
2051,22.01,22.43,22.76,20.95,22.68,23.05,22.43,22.43,22.07,22.43,21.91,22.86,21.71,20.95
2052,22.01,22.34,22.75,20.96,22.66,23.12,22.34,22.34,22.09,22.34,21.86,22.85,21.71,20.96
2053,21.92,22.22,22.63,20.89,22.53,22.99,22.22,22.22,22.02,22.22,21.77,22.73,21.62,20.89
2054,22.04,22.37,22.77,21.01,22.68,23.13,22.37,22.37,22.14,22.37,21.90,22.88,21.76,21.01
2055,21.94,22.25,22.64,20.91,22.55,22.98,22.25,22.25,22.05,22.25,21.79,22.74,21.61,20.91
2056,21.93,22.24,22.65,20.90,22.55,23.01,22.24,22.24,22.03,22.24,21.78,22.75,21.62,20.90
2057,22.02,22.37,22.76,20.97,22.67,23.10,22.37,22.37,22.10,22.37,21.89,22.86,21.73,20.97
2058,21.91,22.27,22.64,20.85,22.55,22.97,22.27,22.27,22.00,22.27,21.78,22.74,21.60,20.85
2059,21.94,22.29,22.71,20.90,22.61,23.08,22.29,22.29,22.02,22.29,21.81,22.81,21.66,20.90
2060,22.08,22.39,22.80,21.07,22.71,23.17,22.39,22.39,22.19,22.39,21.94,22.91,21.76,21.07
2061,22.05,22.36,22.78,21.04,22.68,23.16,22.36,22.36,22.16,22.36,21.91,22.88,21.78,21.04
2062,21.99,22.35,22.77,20.93,22.67,23.14,22.35,22.35,22.07,22.35,21.86,22.87,21.74,20.93
2063,22.01,22.31,22.73,20.98,22.63,23.10,22.31,22.31,22.11,22.31,21.86,22.83,21.71,20.98
2064,22.16,22.44,22.82,21.14,22.73,23.15,22.44,22.44,22.28,22.44,22.00,22.92,21.74,21.14
2065,21.98,22.31,22.70,20.95,22.61,23.04,22.31,22.31,22.08,22.31,21.84,22.80,21.66,20.95
2066,21.98,22.32,22.73,20.94,22.64,23.10,22.32,22.32,22.08,22.32,21.84,22.83,21.71,20.94
2067,22.03,22.34,22.73,20.98,22.64,23.08,22.34,22.34,22.12,22.34,21.87,22.83,21.73,20.98
2068,22.11,22.51,22.88,21.04,22.79,23.21,22.51,22.51,22.18,22.51,22.00,22.98,21.84,21.04
2069,22.06,22.40,22.80,21.01,22.71,23.15,22.40,22.40,22.14,22.40,21.92,22.90,21.77,21.01
2070,22.04,22.36,22.76,21.01,22.66,23.11,22.36,22.36,22.14,22.36,21.90,22.86,21.71,21.01
2071,22.12,22.41,22.83,21.11,22.73,23.21,22.41,22.41,22.24,22.41,21.97,22.93,21.79,21.11
2072,22.05,22.39,22.77,21.01,22.68,23.11,22.39,22.39,22.14,22.39,21.91,22.87,21.72,21.01
2073,22.01,22.33,22.72,20.98,22.63,23.06,22.33,22.33,22.11,22.33,21.87,22.82,21.75,20.98
2074,22.11,22.43,22.85,21.06,22.75,23.22,22.43,22.43,22.20,22.43,21.96,22.95,21.80,21.06
2075,22.00,22.31,22.71,20.96,22.61,23.06,22.31,22.31,22.10,22.31,21.85,22.81,21.67,20.96
2076,22.00,22.32,22.74,20.96,22.64,23.11,22.32,22.32,22.11,22.32,21.85,22.84,21.70,20.96
2077,22.06,22.39,22.80,21.01,22.71,23.17,22.39,22.39,22.14,22.39,21.91,22.90,21.79,21.01
2078,22.07,22.40,22.81,21.03,22.71,23.17,22.40,22.40,22.16,22.40,21.93,22.91,21.76,21.03
2079,22.14,22.45,22.85,21.12,22.76,23.21,22.45,22.45,22.24,22.45,21.99,22.95,21.82,21.12
2080,22.09,22.43,22.79,21.08,22.71,23.11,22.43,22.43,22.18,22.43,21.96,22.89,21.72,21.08
2081,22.00,22.33,22.73,20.97,22.64,23.09,22.33,22.33,22.09,22.33,21.86,22.83,21.73,20.97
2082,22.17,22.43,22.85,21.17,22.76,23.23,22.43,22.43,22.28,22.43,22.01,22.96,21.84,21.17
2083,22.09,22.40,22.81,21.05,22.71,23.17,22.40,22.40,22.19,22.40,21.94,22.91,21.78,21.05
2084,22.17,22.50,22.87,21.16,22.78,23.20,22.50,22.50,22.27,22.50,22.04,22.97,21.80,21.16
2085,22.00,22.30,22.67,20.99,22.59,23.00,22.30,22.30,22.10,22.30,21.85,22.78,21.68,20.99
2086,21.93,22.26,22.67,20.89,22.58,23.04,22.26,22.26,22.02,22.26,21.79,22.78,21.64,20.89
2087,21.94,22.27,22.63,20.89,22.55,22.96,22.27,22.27,22.04,22.27,21.79,22.74,21.55,20.89
2088,22.12,22.46,22.87,21.06,22.78,23.23,22.46,22.46,22.21,22.46,21.98,22.97,21.78,21.06
2089,21.92,22.23,22.65,20.86,22.55,23.02,22.23,22.23,22.02,22.23,21.76,22.75,21.62,20.86
2090,21.94,22.29,22.69,20.89,22.60,23.04,22.29,22.29,22.03,22.29,21.81,22.79,21.67,20.89
2091,22.06,22.36,22.77,21.03,22.68,23.14,22.36,22.36,22.18,22.36,21.91,22.88,21.73,21.03
2092,22.02,22.35,22.75,20.98,22.66,23.11,22.35,22.35,22.11,22.35,21.88,22.85,21.72,20.98
2093,21.90,22.22,22.63,20.86,22.53,22.99,22.22,22.22,22.01,22.22,21.75,22.73,21.61,20.86
2094,22.01,22.35,22.74,20.99,22.65,23.08,22.35,22.35,22.10,22.35,21.88,22.84,21.72,20.99
2095,21.99,22.25,22.69,20.95,22.59,23.08,22.25,22.25,22.12,22.25,21.81,22.79,21.76,20.95
2096,21.85,22.18,22.57,20.79,22.48,22.92,22.18,22.18,21.93,22.18,21.70,22.67,21.58,20.79
2097,22.02,22.35,22.71,20.97,22.63,23.04,22.35,22.35,22.11,22.35,21.88,22.82,21.69,20.97
2098,22.03,22.38,22.76,20.98,22.67,23.09,22.38,22.38,22.12,22.38,21.90,22.86,21.70,20.98
2099,22.02,22.35,22.74,20.97,22.65,23.08,22.35,22.35,22.11,22.35,21.87,22.84,21.71,20.97
2100,22.01,22.33,22.74,20.98,22.64,23.10,22.33,22.33,22.10,22.33,21.87,22.84,21.71,20.98
