Variable:,tasmin
,Uganda,Abim,Amudat,Amuru,Apac,Budaka,Bugiri,Buikwe,Bukomansimbi,Bukwo,Bulambuli,Buliisa,Bundibugyo,Bushenyi,Buyende,Butambala,Iganga,Kalungu,Kamuli,Kapchorwa,Sheema,Kitgum,Kole,Kotido,Kween,Lamwo,Luuka,Manafwa,Masaka,Masindi,Moroto,Nakapiripirit,Namutumba,Napak,Nebbi,Ngora,Buhweju,Ntoroko,Maracha,Otuke,Oyam,Pader,Rubirizi,Sironko,Soroti,Zombo,Bukedea,Dokolo,Agago,Alebtong,Arua,Bududa,Buvuma,Gomba,Gulu,Kiboga,Kibuku,Kiryandongo,Kumi,Kyankwanzi,Mitooma,Kyegegwa,Kyenjojo,Mpigi,Nwoya,Serere,Lwengo,Mukono,Namayingo,Pallisa,Lira,Rakai,Lyantonde,Adjumani,Busia,Hoima,Jinja,Kabale,Kalangala,Kasese,Kibaale,Kisoro,Moyo,Ntungamo,Ssembabule,Kabarole,Kaberamaido,Kampala,Kamwenge,Kanungu,Kayunga,Mayuge,Nakasongola,Rukungiri,Wakiso,Yumbe,Amolatar,Amuria,Butaleja,Ibanda,Isingiro,Kaabong,Kaliro,Katakwi,Kiruhura,Koboko,Luwero,Mbale,Mbarara,Mityana,Mubende,Nakaseke,Tororo
2015,17.54,18.12,17.34,18.76,17.87,17.56,17.30,17.18,14.68,17.20,17.20,18.02,15.75,13.56,17.89,16.81,17.30,14.84,17.48,17.20,13.50,18.32,18.85,18.20,17.20,19.24,17.36,16.92,14.59,18.10,18.63,17.62,17.37,18.57,17.72,18.00,13.50,16.80,18.54,18.12,18.85,18.91,13.97,17.20,18.00,16.96,17.25,18.03,18.11,18.13,18.19,17.18,17.13,16.51,19.00,16.79,17.88,18.05,17.76,17.82,13.86,16.17,15.91,16.74,18.07,18.00,14.50,16.99,17.17,17.92,18.60,14.50,14.50,19.04,17.09,17.90,17.30,13.12,17.00,15.21,16.91,12.67,19.17,13.58,15.49,15.91,17.98,16.99,15.59,14.22,17.27,17.21,17.54,14.28,16.99,19.17,17.54,18.09,17.20,14.23,13.82,17.98,17.82,17.84,14.26,18.86,17.09,17.09,13.50,16.82,16.45,17.43,17.01
2016,17.50,18.21,17.27,18.73,17.86,17.52,17.27,17.13,14.47,17.11,17.11,17.90,15.71,13.42,17.90,16.71,17.27,14.63,17.46,17.11,13.35,18.36,18.79,18.24,17.11,19.28,17.33,16.96,14.37,17.98,18.63,17.55,17.35,18.57,17.61,18.01,13.35,16.79,18.51,18.22,18.79,18.92,13.91,17.11,18.01,16.85,17.16,18.05,18.19,18.23,18.13,17.10,17.06,16.39,18.96,16.68,17.88,17.98,17.74,17.69,13.78,16.09,15.88,16.62,17.98,18.01,14.28,16.90,17.12,17.92,18.60,14.28,14.28,19.04,17.11,17.82,17.27,13.03,16.84,15.17,16.83,12.61,19.19,13.43,15.32,15.88,17.99,16.91,15.54,14.24,17.24,17.17,17.55,14.29,16.90,19.19,17.55,18.17,17.19,14.12,13.65,18.02,17.82,17.82,14.12,18.85,17.02,17.05,13.35,16.73,16.33,17.38,17.04
2017,17.40,17.97,17.10,18.60,17.80,17.42,17.21,17.11,14.50,16.96,16.96,17.88,15.71,13.46,17.84,16.74,17.21,14.67,17.40,16.96,13.39,18.11,18.64,18.01,16.96,19.08,17.27,16.81,14.41,17.97,18.41,17.38,17.28,18.35,17.54,17.94,13.39,16.79,18.51,17.98,18.64,18.74,13.92,16.96,17.94,16.95,17.02,17.94,17.94,17.99,18.10,16.95,17.03,16.40,18.80,16.70,17.81,17.91,17.64,17.70,13.80,16.09,15.87,16.65,17.88,17.94,14.32,16.93,17.08,17.84,18.42,14.32,14.32,18.96,16.99,17.84,17.21,13.03,16.86,15.18,16.83,12.62,19.11,13.45,15.34,15.87,17.92,16.95,15.54,14.24,17.23,17.12,17.52,14.28,16.93,19.11,17.52,17.97,17.10,14.14,13.69,17.78,17.76,17.66,14.15,18.81,17.05,16.90,13.39,16.76,16.33,17.39,16.91
2018,17.63,18.26,17.42,18.87,18.07,17.68,17.32,17.25,14.61,17.28,17.28,18.10,15.87,13.57,18.09,16.93,17.32,14.78,17.57,17.28,13.51,18.39,18.96,18.28,17.28,19.36,17.40,17.03,14.51,18.19,18.72,17.70,17.41,18.66,17.77,18.20,13.51,16.95,18.71,18.27,18.96,19.03,13.99,17.28,18.20,17.14,17.34,18.21,18.22,18.28,18.33,17.26,17.10,16.58,19.11,16.89,18.05,18.17,17.92,17.91,13.88,16.27,16.06,16.80,18.14,18.20,14.42,17.11,17.14,18.11,18.73,14.42,14.42,19.23,17.16,18.02,17.32,13.07,16.94,15.29,17.02,12.64,19.38,13.56,15.48,16.06,18.18,17.15,15.72,14.25,17.45,17.20,17.77,14.31,17.11,19.38,17.77,18.25,17.25,14.28,13.80,18.02,17.98,17.96,14.28,19.05,17.26,17.18,13.51,16.95,16.51,17.61,17.10
2019,17.64,18.29,17.48,18.85,18.02,17.74,17.43,17.28,14.66,17.35,17.35,18.02,15.74,13.60,18.11,16.84,17.43,14.82,17.63,17.35,13.53,18.51,18.95,18.36,17.35,19.39,17.50,17.14,14.57,18.10,18.74,17.76,17.51,18.68,17.73,18.24,13.53,16.84,18.72,18.29,18.95,19.04,14.05,17.35,18.24,17.08,17.40,18.23,18.29,18.30,18.28,17.33,17.23,16.51,19.10,16.81,18.10,18.12,17.97,17.81,13.93,16.17,15.92,16.77,18.11,18.24,14.48,17.04,17.28,18.15,18.73,14.48,14.48,19.15,17.27,17.92,17.43,13.18,17.02,15.23,16.92,12.78,19.30,13.59,15.48,15.92,18.22,17.05,15.60,14.35,17.39,17.33,17.71,14.40,17.04,19.30,17.71,18.28,17.35,14.25,13.84,18.13,18.04,18.01,14.27,19.01,17.16,17.27,13.53,16.86,16.45,17.53,17.21
2020,17.61,18.24,17.39,18.80,18.01,17.66,17.37,17.24,14.58,17.25,17.25,18.00,15.87,13.58,18.05,16.83,17.37,14.75,17.58,17.25,13.51,18.38,18.85,18.29,17.25,19.34,17.44,17.06,14.49,18.10,18.69,17.67,17.45,18.63,17.64,18.16,13.51,16.93,18.78,18.25,18.85,18.97,14.06,17.25,18.16,17.15,17.30,18.17,18.21,18.26,18.28,17.24,17.16,16.49,19.02,16.79,18.02,18.08,17.89,17.83,13.93,16.21,16.02,16.73,18.02,18.16,14.40,17.02,17.22,18.07,18.65,14.40,14.40,19.19,17.20,17.97,17.37,13.25,16.94,15.34,16.95,12.84,19.35,13.60,15.43,16.02,18.14,17.04,15.68,14.39,17.38,17.27,17.72,14.43,17.02,19.35,17.72,18.23,17.29,14.27,13.80,18.08,17.96,17.93,14.27,19.07,17.16,17.17,13.51,16.85,16.42,17.53,17.13
2021,17.65,18.27,17.41,18.83,18.14,17.73,17.43,17.30,14.74,17.29,17.29,18.06,15.93,13.62,18.17,16.91,17.43,14.90,17.66,17.29,13.55,18.39,18.97,18.28,17.29,19.33,17.50,17.03,14.64,18.17,18.67,17.70,17.52,18.62,17.71,18.27,13.55,16.95,18.72,18.28,18.97,19.03,14.09,17.29,18.27,17.06,17.35,18.27,18.23,18.29,18.29,17.27,17.18,16.61,19.11,16.89,18.12,18.18,17.97,17.90,13.96,16.31,16.10,16.79,18.10,18.27,14.56,17.07,17.24,18.17,18.74,14.56,14.56,19.20,17.21,18.00,17.43,13.22,16.97,15.38,17.03,12.79,19.36,13.63,15.57,16.10,18.25,17.09,15.76,14.41,17.47,17.30,17.86,14.45,17.07,19.36,17.86,18.28,17.32,14.32,13.88,18.06,18.06,17.97,14.34,19.05,17.22,17.19,13.55,16.92,16.55,17.62,17.13
2022,17.64,18.32,17.43,18.84,18.00,17.70,17.43,17.30,14.62,17.31,17.31,18.07,15.87,13.62,18.06,16.87,17.43,14.78,17.62,17.31,13.55,18.47,18.84,18.33,17.31,19.38,17.49,17.16,14.53,18.17,18.68,17.71,17.51,18.64,17.73,18.17,13.55,16.91,18.74,18.33,18.84,19.00,14.09,17.31,18.17,17.08,17.36,18.19,18.30,18.34,18.31,17.30,17.26,16.51,19.02,16.83,18.04,18.11,17.91,17.88,13.96,16.23,16.04,16.80,18.08,18.17,14.44,17.08,17.32,18.09,18.67,14.44,14.44,19.24,17.28,17.99,17.43,13.15,17.05,15.34,16.97,12.73,19.40,13.61,15.46,16.04,18.15,17.09,15.71,14.40,17.41,17.35,17.71,14.45,17.08,19.40,17.71,18.29,17.36,14.31,13.84,18.11,17.98,17.97,14.30,19.07,17.20,17.25,13.55,16.89,16.44,17.56,17.22
2023,17.69,18.37,17.43,18.89,18.10,17.70,17.43,17.31,14.73,17.30,17.30,18.08,15.91,13.75,18.10,16.93,17.43,14.90,17.63,17.30,13.69,18.56,18.95,18.40,17.30,19.44,17.50,17.11,14.64,18.18,18.71,17.71,17.51,18.66,17.76,18.19,13.69,17.00,18.78,18.37,18.95,19.07,14.18,17.30,18.19,17.08,17.35,18.24,18.36,18.38,18.33,17.29,17.18,16.62,19.11,16.91,18.06,18.17,17.92,17.91,14.06,16.30,16.07,16.82,18.13,18.19,14.55,17.10,17.23,18.10,18.75,14.55,14.55,19.24,17.26,18.04,17.43,13.23,17.01,15.39,17.05,12.79,19.40,13.73,15.57,16.07,18.18,17.12,15.75,14.44,17.46,17.29,17.81,14.50,17.10,19.40,17.81,18.33,17.34,14.41,13.96,18.20,18.00,17.98,14.41,19.09,17.24,17.22,13.69,16.94,16.56,17.61,17.18
2024,17.93,18.63,17.73,19.14,18.38,17.99,17.63,17.53,14.91,17.62,17.62,18.37,16.13,13.88,18.38,17.15,17.63,15.07,17.86,17.62,13.81,18.78,19.28,18.62,17.62,19.68,17.70,17.32,14.82,18.49,18.96,18.02,17.72,18.92,17.97,18.48,13.81,17.18,18.99,18.64,19.28,19.36,14.35,17.62,18.48,17.33,17.67,18.52,18.61,18.65,18.58,17.60,17.40,16.79,19.43,17.11,18.33,18.45,18.22,18.21,14.23,16.50,16.30,17.05,18.38,18.48,14.73,17.34,17.44,18.40,19.06,14.73,14.73,19.52,17.46,18.31,17.63,13.44,17.24,15.60,17.26,13.00,19.69,13.89,15.74,16.30,18.46,17.37,15.97,14.67,17.71,17.50,18.07,14.72,17.34,19.69,18.07,18.60,17.55,14.57,14.11,18.40,18.27,18.27,14.57,19.35,17.49,17.50,13.81,17.17,16.72,17.88,17.39
