Variable:,tasmin
,Belgium,"Region de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewes","Vlaams Gewest","Region wallonne"
2015,6.57,6.63,7.11,6.28
2016,6.79,6.84,7.29,6.44
2017,6.54,6.64,7.07,6.24
2018,6.74,6.81,7.23,6.43
2019,6.97,7.01,7.45,6.65
2020,6.98,6.97,7.45,6.63
2021,7.04,7.08,7.51,6.73
2022,7.06,7.14,7.53,6.77
2023,6.78,6.86,7.29,6.48
2024,6.84,6.93,7.32,6.55
2025,7.07,7.14,7.51,6.78
2026,7.17,7.22,7.67,6.83
2027,7.00,7.05,7.51,6.66
2028,7.15,7.26,7.66,6.85
2029,7.07,7.17,7.54,6.76
2030,6.99,7.08,7.50,6.66
2031,7.33,7.45,7.83,7.01
2032,7.30,7.33,7.77,7.01
2033,7.09,7.21,7.60,6.82
2034,7.38,7.43,7.85,7.06
2035,7.43,7.54,7.93,7.15
2036,7.40,7.43,7.88,7.04
2037,7.18,7.33,7.70,6.91
2038,7.14,7.27,7.62,6.88
2039,7.37,7.46,7.86,7.10
2040,7.49,7.50,7.94,7.16
2041,7.20,7.29,7.71,6.92
2042,7.24,7.26,7.67,6.97
2043,7.35,7.40,7.83,7.03
2044,7.51,7.70,8.04,7.27
2045,7.29,7.39,7.79,7.01
2046,7.13,7.17,7.62,6.81
2047,7.68,7.74,8.15,7.35
2048,7.78,7.82,8.27,7.51
2049,7.40,7.43,7.89,7.12
2050,7.54,7.60,8.06,7.24
2051,7.71,7.85,8.21,7.46
2052,7.83,7.94,8.30,7.56
2053,7.58,7.57,8.05,7.22
2054,7.55,7.61,8.04,7.23
2055,7.61,7.74,8.09,7.34
2056,7.65,7.67,8.09,7.31
2057,7.63,7.68,8.10,7.33
2058,8.10,8.19,8.59,7.80
2059,7.73,7.81,8.24,7.44
2060,7.91,7.92,8.36,7.59
2061,7.84,7.90,8.33,7.53
2062,7.99,8.12,8.51,7.76
2063,7.87,8.01,8.37,7.61
2064,7.75,7.78,8.22,7.42
2065,8.08,8.15,8.56,7.79
2066,7.92,8.01,8.35,7.67
2067,8.17,8.35,8.65,7.98
2068,8.13,8.15,8.59,7.80
2069,8.18,8.26,8.64,7.91
2070,7.85,7.84,8.31,7.50
2071,7.94,8.07,8.41,7.71
2072,8.06,8.20,8.56,7.81
2073,8.13,8.15,8.60,7.80
2074,8.25,8.36,8.70,7.98
2075,7.81,7.92,8.26,7.56
2076,7.99,8.07,8.47,7.69
2077,7.83,7.91,8.36,7.52
2078,8.10,8.18,8.60,7.82
2079,8.10,8.16,8.56,7.80
2080,8.00,8.12,8.48,7.74
2081,8.40,8.44,8.84,8.07
2082,8.32,8.50,8.81,8.11
2083,8.00,8.11,8.47,7.77
2084,8.21,8.26,8.69,7.87
2085,8.19,8.36,8.70,7.97
2086,8.49,8.67,8.97,8.25
2087,8.53,8.66,8.98,8.27
2088,8.49,8.55,8.98,8.22
2089,8.28,8.39,8.79,8.03
2090,8.42,8.49,8.95,8.11
2091,8.10,8.22,8.61,7.85
2092,8.59,8.68,9.01,8.33
2093,8.04,8.05,8.52,7.73
2094,8.23,8.25,8.68,7.92
2095,8.33,8.45,8.83,8.04
2096,8.71,8.77,9.17,8.45
2097,8.69,8.76,9.18,8.35
2098,8.31,8.48,8.81,8.07
2099,8.60,8.66,9.09,8.30
2100,8.71,8.77,9.20,8.40
