Variable:,tasmin
,"Central African Republic",Bamingui-Bangoran,Basse-Kotto,Haut-Mbomou,Haute-Kotto,Kémo,Lobaye,Mambéré-Kadéï,Mbomou,Nana-Gribizi,Nana-Mambéré,"Ombella M'Poko",Ouaka,Ouham,"Ouham Pendé",Sangha-Mbaéré,Vakaga,Bangui
2015,19.09,19.86,19.78,18.92,18.32,19.59,19.36,19.15,19.04,19.71,18.55,19.22,19.54,19.32,18.29,19.39,19.28,19.67
2016,19.09,19.85,19.76,18.82,18.31,19.63,19.27,19.02,18.98,19.71,18.65,19.21,19.54,19.37,18.41,19.25,19.27,19.62
2017,19.18,19.96,19.88,19.01,18.48,19.70,19.40,19.26,19.15,19.76,18.69,19.33,19.65,19.37,18.40,19.49,19.24,19.79
2018,19.26,20.05,19.91,19.01,18.51,19.72,19.42,19.29,19.22,19.87,18.78,19.29,19.70,19.49,18.57,19.51,19.49,19.71
2019,19.21,20.01,19.85,19.01,18.46,19.70,19.42,19.22,19.16,19.82,18.70,19.28,19.66,19.42,18.45,19.46,19.39,19.73
2020,19.13,19.80,19.86,18.98,18.39,19.64,19.34,19.18,19.17,19.70,18.65,19.27,19.59,19.34,18.32,19.42,19.28,19.64
2021,19.24,20.01,19.90,19.01,18.52,19.70,19.43,19.27,19.16,19.81,18.79,19.30,19.68,19.43,18.50,19.50,19.43,19.72
2022,19.39,20.16,20.04,19.15,18.64,19.81,19.59,19.46,19.30,19.91,18.95,19.45,19.78,19.57,18.68,19.72,19.63,19.84
2023,19.35,20.15,20.06,19.18,18.63,19.77,19.48,19.34,19.33,19.90,18.90,19.39,19.77,19.55,18.66,19.61,19.49,19.78
2024,19.58,20.43,20.20,19.30,18.84,20.03,19.73,19.50,19.49,20.24,19.07,19.61,20.01,19.83,18.85,19.79,19.82,20.01
2025,19.41,20.21,20.05,19.14,18.67,19.84,19.56,19.41,19.33,19.99,18.92,19.46,19.83,19.61,18.69,19.63,19.72,19.87
2026,19.49,20.16,20.25,19.29,18.66,20.09,19.76,19.62,19.47,20.11,19.11,19.64,19.99,19.74,18.79,19.85,19.69,20.09
2027,19.43,20.19,20.11,19.21,18.69,19.97,19.65,19.52,19.36,20.05,18.94,19.54,19.93,19.64,18.66,19.70,19.58,19.95
2028,19.56,20.36,20.23,19.32,18.80,20.09,19.81,19.62,19.50,20.18,19.11,19.71,20.02,19.78,18.79,19.91,19.73,20.12
2029,19.67,20.53,20.36,19.37,18.89,20.16,19.96,19.70,19.60,20.26,19.21,19.78,20.15,19.89,18.94,19.99,19.89,20.19
2030,19.47,20.26,20.13,19.26,18.72,19.96,19.63,19.46,19.44,20.06,19.04,19.55,19.92,19.68,18.72,19.65,19.69,19.93
2031,19.58,20.35,20.26,19.33,18.85,20.06,19.74,19.60,19.52,20.13,19.15,19.67,20.02,19.75,18.87,19.78,19.75,20.07
2032,19.56,20.35,20.26,19.37,18.83,20.02,19.73,19.55,19.53,20.15,19.13,19.63,20.04,19.73,18.85,19.75,19.70,20.03
2033,19.76,20.58,20.40,19.49,19.03,20.26,19.94,19.81,19.65,20.38,19.31,19.83,20.20,19.99,19.06,20.00,19.96,20.24
2034,19.61,20.39,20.29,19.37,18.89,19.99,19.85,19.66,19.57,20.12,19.23,19.71,20.01,19.82,18.96,19.89,19.83,20.14
2035,19.76,20.57,20.27,19.56,19.00,20.23,19.93,19.83,19.58,20.39,19.32,19.81,20.14,20.00,19.06,20.05,19.93,20.14
2036,19.71,20.48,20.39,19.47,18.93,20.19,19.85,19.76,19.56,20.30,19.30,19.79,20.17,19.93,19.03,19.95,19.92,20.16
2037,19.90,20.67,20.68,19.66,19.15,20.37,20.07,20.00,19.86,20.46,19.46,19.93,20.34,20.17,19.23,20.21,20.13,20.26
2038,19.93,20.72,20.55,19.67,19.12,20.42,20.20,20.00,19.81,20.57,19.48,20.03,20.35,20.20,19.25,20.26,20.08,20.47
2039,19.92,20.68,20.56,19.64,19.19,20.43,20.09,19.96,19.85,20.48,19.53,20.05,20.36,20.14,19.28,20.14,20.09,20.45
2040,19.81,20.59,20.48,19.66,19.02,20.23,19.97,19.83,19.72,20.37,19.33,19.86,20.19,19.98,19.09,20.08,20.08,20.26
2041,19.93,20.79,20.60,19.67,19.16,20.32,20.11,19.99,19.82,20.45,19.51,20.01,20.31,20.09,19.18,20.19,20.23,20.40
2042,19.98,20.75,20.68,19.74,19.22,20.47,20.18,20.08,19.85,20.53,19.55,20.07,20.46,20.22,19.34,20.24,20.13,20.43
2043,19.98,20.80,20.63,19.74,19.25,20.46,20.11,19.99,19.87,20.62,19.59,20.04,20.47,20.20,19.30,20.18,20.11,20.35
2044,19.98,20.81,20.57,19.74,19.24,20.37,20.08,19.96,19.86,20.55,19.51,20.01,20.36,20.23,19.30,20.18,20.24,20.38
2045,20.02,20.76,20.68,19.78,19.31,20.49,20.19,20.04,20.02,20.60,19.62,20.08,20.49,20.19,19.32,20.15,20.10,20.49
2046,20.13,20.95,20.84,19.87,19.40,20.58,20.28,20.13,20.08,20.68,19.65,20.13,20.59,20.30,19.39,20.38,20.36,20.53
2047,20.26,21.15,20.92,20.04,19.51,20.70,20.32,20.20,20.18,20.88,19.71,20.24,20.69,20.42,19.51,20.40,20.54,20.63
2048,20.24,21.13,20.83,19.98,19.50,20.66,20.35,20.22,20.08,20.80,19.75,20.24,20.65,20.44,19.46,20.41,20.54,20.51
2049,20.16,20.95,20.84,19.97,19.44,20.62,20.23,20.10,20.13,20.76,19.68,20.21,20.59,20.37,19.43,20.24,20.34,20.61
2050,20.10,20.92,20.73,19.91,19.38,20.54,20.26,20.12,20.02,20.73,19.71,20.14,20.46,20.29,19.36,20.32,20.23,20.56
2051,20.17,20.93,20.84,19.95,19.42,20.66,20.40,20.26,20.07,20.72,19.74,20.27,20.59,20.37,19.48,20.46,20.39,20.69
2052,20.29,21.07,20.88,20.02,19.49,20.66,20.46,20.35,20.16,20.90,19.83,20.31,20.66,20.55,19.60,20.57,20.62,20.76
2053,20.25,21.06,20.86,19.91,19.51,20.66,20.40,20.32,20.10,20.77,19.82,20.34,20.65,20.42,19.51,20.48,20.59,20.72
2054,20.26,21.06,20.88,19.98,19.44,20.71,20.53,20.45,20.09,20.78,19.95,20.30,20.66,20.48,19.66,20.67,20.56,20.62
2055,20.27,21.03,20.88,20.04,19.44,20.84,20.50,20.35,20.13,20.94,19.86,20.45,20.74,20.57,19.60,20.57,20.42,20.88
2056,20.40,21.28,21.07,20.10,19.62,20.91,20.55,20.42,20.27,21.08,20.00,20.48,20.86,20.71,19.77,20.55,20.61,20.84
2057,20.46,21.31,21.14,20.26,19.73,20.92,20.59,20.53,20.36,21.04,20.05,20.48,20.89,20.63,19.72,20.75,20.67,20.79
2058,20.40,21.21,21.07,20.18,19.63,20.81,20.61,20.44,20.29,20.94,19.91,20.45,20.79,20.58,19.70,20.64,20.66,20.82
2059,20.53,21.35,21.29,20.30,19.80,21.02,20.65,20.42,20.53,21.15,19.99,20.51,21.02,20.76,19.78,20.71,20.74,20.87
2060,20.49,21.30,21.12,20.31,19.82,20.85,20.59,20.44,20.44,21.00,19.94,20.49,20.92,20.59,19.67,20.68,20.73,20.86
2061,20.39,21.14,21.08,20.20,19.61,20.90,20.59,20.46,20.30,21.00,19.99,20.52,20.86,20.62,19.65,20.66,20.52,20.87
2062,20.35,21.23,20.92,20.06,19.59,20.75,20.48,20.50,20.10,20.94,20.05,20.30,20.69,20.55,19.77,20.61,20.68,20.58
2063,20.63,21.52,21.33,20.33,19.83,20.99,20.80,20.68,20.49,21.20,20.16,20.63,20.99,20.85,19.90,20.90,20.96,21.02
2064,20.63,21.42,21.29,20.45,19.89,21.11,20.70,20.49,20.52,21.25,20.06,20.64,21.07,20.83,19.89,20.73,20.87,21.05
2065,20.62,21.50,21.21,20.29,19.92,21.15,20.78,20.51,20.47,21.28,20.08,20.70,21.05,20.83,19.84,20.76,20.91,20.97
2066,20.65,21.45,21.39,20.39,19.94,21.07,20.75,20.65,20.58,21.17,20.19,20.60,21.06,20.85,19.94,20.84,20.98,20.94
2067,20.69,21.54,21.30,20.36,19.97,21.13,20.73,20.61,20.47,21.24,20.16,20.65,21.11,20.88,19.94,20.87,21.14,20.97
2068,20.67,21.50,21.31,20.44,19.92,21.07,20.80,20.65,20.51,21.31,20.20,20.65,21.05,20.94,19.99,20.89,20.88,21.04
2069,20.61,21.46,21.28,20.38,19.84,21.10,20.75,20.70,20.54,21.19,20.20,20.69,21.05,20.84,19.94,20.87,20.72,20.89
2070,20.62,21.43,21.29,20.45,19.89,21.12,20.77,20.62,20.55,21.19,20.19,20.66,21.06,20.80,19.91,20.76,20.76,21.05
2071,20.70,21.58,21.32,20.44,19.94,21.10,20.79,20.60,20.56,21.25,20.19,20.68,21.11,20.90,20.02,20.76,21.03,20.98
2072,20.80,21.67,21.51,20.55,20.05,21.24,20.88,20.65,20.69,21.41,20.21,20.81,21.24,21.08,20.03,20.87,21.10,21.13
2073,20.87,21.64,21.52,20.65,20.11,21.39,21.04,20.86,20.76,21.43,20.38,20.90,21.35,21.11,20.18,21.02,21.08,21.20
2074,20.74,21.56,21.48,20.48,20.00,21.16,20.81,20.71,20.65,21.28,20.25,20.73,21.20,20.93,20.00,20.95,21.04,21.12
2075,20.69,21.62,21.25,20.40,19.88,21.07,20.75,20.65,20.49,21.26,20.20,20.69,21.05,20.95,19.99,20.94,21.02,20.96
2076,20.85,21.67,21.55,20.64,20.11,21.34,20.96,20.79,20.74,21.42,20.35,20.87,21.33,21.07,20.13,20.98,21.08,21.18
2077,20.95,21.76,21.63,20.76,20.15,21.48,21.06,20.99,20.85,21.52,20.55,21.01,21.43,21.12,20.24,21.17,21.24,21.34
2078,20.73,21.49,21.50,20.51,19.98,21.21,20.85,20.80,20.64,21.26,20.30,20.76,21.19,20.94,20.04,20.93,20.95,21.17
2079,20.78,21.62,21.49,20.60,20.03,21.21,20.85,20.73,20.72,21.34,20.27,20.79,21.16,20.98,20.04,20.90,21.09,21.16
2080,20.91,21.66,21.57,20.61,20.15,21.45,21.05,20.89,20.82,21.53,20.48,21.01,21.39,21.17,20.17,21.01,21.15,21.27
2081,20.99,21.81,21.78,20.71,20.21,21.42,21.08,21.04,20.89,21.54,20.64,20.99,21.44,21.16,20.24,21.11,21.38,21.37
2082,20.86,21.69,21.48,20.63,20.14,21.39,20.87,20.83,20.64,21.48,20.30,20.94,21.29,21.09,20.08,20.92,21.09,21.21
2083,20.91,21.71,21.57,20.70,20.14,21.26,21.07,20.93,20.80,21.40,20.48,20.90,21.27,21.08,20.26,21.15,21.25,21.25
2084,20.91,21.67,21.53,20.75,20.13,21.30,21.06,20.91,20.75,21.39,20.38,20.90,21.28,21.09,20.13,21.15,21.23,21.25
2085,20.89,21.67,21.45,20.73,20.11,21.30,21.12,20.97,20.81,21.42,20.41,20.95,21.22,21.09,20.13,21.21,21.14,21.31
2086,20.93,21.69,21.66,20.80,20.18,21.43,21.08,20.95,20.93,21.47,20.48,20.94,21.37,21.13,20.22,21.18,21.10,21.38
2087,20.89,21.74,21.49,20.69,20.15,21.34,20.93,20.75,20.76,21.51,20.33,20.89,21.33,21.15,20.13,20.92,21.11,21.18
2088,20.88,21.71,21.62,20.69,20.19,21.36,20.97,20.84,20.84,21.42,20.38,20.85,21.32,21.05,20.11,21.03,21.08,21.18
2089,21.12,22.01,21.81,20.84,20.39,21.59,21.17,21.02,21.04,21.75,20.59,21.02,21.61,21.37,20.45,21.19,21.36,21.37
2090,21.01,21.84,21.65,20.83,20.28,21.43,21.15,20.89,20.96,21.59,20.42,21.02,21.47,21.16,20.29,21.13,21.24,21.46
2091,20.98,21.78,21.84,20.81,20.21,21.46,21.14,20.97,20.97,21.52,20.52,20.98,21.49,21.14,20.34,21.26,21.16,21.31
2092,21.01,21.87,21.75,20.77,20.24,21.46,21.24,21.13,20.86,21.50,20.64,21.09,21.40,21.18,20.33,21.27,21.31,21.44
2093,21.05,21.87,21.75,20.82,20.33,21.56,21.17,20.96,21.00,21.62,20.52,21.08,21.56,21.18,20.33,21.16,21.30,21.51
2094,21.05,21.84,21.79,20.79,20.29,21.52,21.13,21.16,20.98,21.62,20.66,21.07,21.49,21.21,20.41,21.38,21.32,21.36
2095,21.15,22.02,21.79,20.89,20.41,21.63,21.16,21.07,21.04,21.79,20.64,21.10,21.54,21.39,20.46,21.29,21.48,21.38
2096,20.99,21.81,21.62,20.79,20.26,21.47,21.00,21.00,20.87,21.51,20.48,20.92,21.49,21.10,20.26,21.13,21.34,21.27
2097,20.98,21.80,21.70,20.80,20.25,21.37,21.09,20.85,20.86,21.48,20.37,20.96,21.35,21.16,20.18,21.14,21.36,21.29
2098,21.02,21.88,21.66,20.78,20.31,21.40,21.10,20.97,20.93,21.58,20.59,20.99,21.40,21.18,20.33,21.19,21.29,21.26
2099,21.04,21.90,21.66,20.81,20.31,21.42,21.05,21.03,20.95,21.54,20.68,20.97,21.42,21.15,20.34,21.13,21.36,21.30
2100,21.12,21.93,21.81,20.84,20.35,21.66,21.21,21.10,21.00,21.77,20.68,21.16,21.57,21.39,20.51,21.33,21.32,21.41
