Variable:,tasmin
,"Cocos (Keeling) Islands","Administrative unit not available"
2015,24.65,24.54
2016,24.55,24.46
2017,24.69,24.48
2018,24.76,24.58
2019,24.86,24.70
2020,24.75,24.53
2021,24.68,24.51
2022,24.62,24.44
2023,24.79,24.52
2024,24.88,24.69
2025,24.85,24.67
2026,24.91,24.73
2027,24.86,24.79
2028,24.92,24.71
2029,24.93,24.77
2030,24.93,24.71
2031,24.94,24.75
2032,25.00,24.86
2033,24.92,24.71
2034,24.97,24.82
2035,25.05,24.88
2036,25.03,24.82
2037,25.09,24.93
2038,25.03,24.82
2039,25.13,24.91
2040,25.14,24.96
2041,25.16,24.98
2042,25.21,24.99
2043,25.17,24.97
2044,25.18,25.02
2045,25.16,25.03
2046,25.28,25.11
2047,25.24,25.05
2048,25.31,25.12
2049,25.42,25.24
2050,25.31,25.10
2051,25.39,25.17
2052,25.33,25.19
2053,25.38,25.20
2054,25.44,25.26
2055,25.40,25.23
2056,25.54,25.33
2057,25.36,25.17
2058,25.52,25.32
2059,25.47,25.27
2060,25.59,25.38
2061,25.62,25.42
2062,25.54,25.39
2063,25.59,25.39
2064,25.49,25.33
2065,25.58,25.42
2066,25.53,25.33
2067,25.68,25.48
2068,25.67,25.48
2069,25.65,25.42
2070,25.60,25.45
2071,25.64,25.42
2072,25.68,25.51
2073,25.80,25.56
2074,25.68,25.49
2075,25.66,25.46
2076,25.79,25.63
2077,25.86,25.66
2078,25.76,25.61
2079,25.74,25.53
2080,25.82,25.65
2081,25.94,25.69
2082,25.92,25.78
2083,25.95,25.81
2084,25.81,25.64
2085,25.84,25.59
2086,25.85,25.67
2087,25.85,25.64
2088,25.97,25.75
2089,25.89,25.69
2090,25.98,25.76
2091,26.03,25.80
2092,26.07,25.81
2093,25.99,25.78
2094,26.08,25.84
2095,26.01,25.80
2096,25.98,25.77
2097,25.99,25.77
2098,25.99,25.77
2099,26.02,25.81
2100,26.08,25.89
