Variable:,tasmin
,"Christmas Island","Administrative unit not available"
2015,24.12,24.91
2016,23.95,24.78
2017,24.10,24.93
2018,24.27,25.05
2019,24.30,25.08
2020,24.29,25.09
2021,24.13,24.94
2022,24.27,25.02
2023,24.27,25.05
2024,24.36,25.20
2025,24.39,25.20
2026,24.39,25.25
2027,24.38,25.21
2028,24.38,25.21
2029,24.50,25.28
2030,24.47,25.27
2031,24.45,25.18
2032,24.47,25.26
2033,24.46,25.25
2034,24.51,25.34
2035,24.55,25.34
2036,24.56,25.42
2037,24.54,25.33
2038,24.56,25.41
2039,24.71,25.52
2040,24.66,25.44
2041,24.68,25.46
2042,24.66,25.46
2043,24.66,25.45
2044,24.69,25.46
2045,24.78,25.54
2046,24.74,25.56
2047,24.83,25.63
2048,24.76,25.58
2049,24.94,25.71
2050,24.93,25.66
2051,24.82,25.63
2052,24.91,25.69
2053,24.96,25.74
2054,24.90,25.73
2055,24.94,25.72
2056,24.94,25.81
2057,24.97,25.83
2058,25.00,25.82
2059,24.90,25.70
2060,25.11,25.93
2061,25.20,25.99
2062,25.08,25.89
2063,25.03,25.81
2064,25.10,25.89
2065,25.12,25.96
2066,25.05,25.90
2067,25.10,25.88
2068,25.14,25.93
2069,25.24,26.00
2070,25.10,25.89
2071,25.31,26.05
2072,25.26,26.05
2073,25.29,26.14
2074,25.27,26.00
2075,25.24,26.06
2076,25.23,26.04
2077,25.49,26.19
2078,25.30,26.14
2079,25.35,26.11
2080,25.29,26.08
2081,25.42,26.23
2082,25.50,26.28
2083,25.42,26.26
2084,25.28,26.07
2085,25.34,26.14
2086,25.42,26.18
2087,25.47,26.28
2088,25.44,26.24
2089,25.46,26.25
2090,25.57,26.35
2091,25.63,26.41
2092,25.55,26.37
2093,25.55,26.38
2094,25.69,26.42
2095,25.53,26.35
2096,25.50,26.32
2097,25.53,26.38
2098,25.39,26.26
2099,25.52,26.30
2100,25.59,26.35
