Variable:,tasmin
,"British Indian Ocean Territory","Administrative unit not available"
2015,24.93,24.70
2016,24.93,24.68
2017,25.01,24.77
2018,25.05,24.83
2019,24.97,24.69
2020,25.00,24.77
2021,25.09,24.81
2022,25.11,24.86
2023,25.15,24.90
2024,25.25,25.01
2025,25.19,24.92
2026,25.14,24.91
2027,25.15,24.89
2028,25.24,24.94
2029,25.39,25.13
2030,25.21,24.96
2031,25.24,24.98
2032,25.31,25.08
2033,25.40,25.14
2034,25.22,24.97
2035,25.36,25.08
2036,25.38,25.14
2037,25.51,25.27
2038,25.52,25.27
2039,25.52,25.25
2040,25.39,25.13
2041,25.50,25.24
2042,25.61,25.33
2043,25.57,25.30
2044,25.69,25.36
2045,25.53,25.25
2046,25.72,25.43
2047,25.68,25.40
2048,25.74,25.54
2049,25.69,25.42
2050,25.64,25.39
2051,25.65,25.45
2052,25.85,25.60
2053,25.74,25.49
2054,25.84,25.55
2055,25.80,25.55
2056,25.87,25.59
2057,25.99,25.75
2058,25.87,25.60
2059,25.97,25.68
2060,26.07,25.77
2061,25.84,25.58
2062,25.95,25.69
2063,26.06,25.77
2064,26.14,25.88
2065,26.08,25.77
2066,26.09,25.79
2067,25.99,25.73
2068,26.15,25.87
2069,26.11,25.85
2070,26.04,25.69
2071,26.17,25.91
2072,26.12,25.84
2073,26.27,26.03
2074,26.08,25.83
2075,26.09,25.81
2076,26.19,25.95
2077,26.29,25.99
2078,26.20,25.92
2079,26.23,25.93
2080,26.31,26.06
2081,26.44,26.17
2082,26.30,26.09
2083,26.27,26.03
2084,26.36,26.06
2085,26.23,25.97
2086,26.28,26.03
2087,26.30,26.02
2088,26.32,26.05
2089,26.39,26.11
2090,26.36,26.13
2091,26.28,25.99
2092,26.45,26.16
2093,26.39,26.16
2094,26.32,26.05
2095,26.47,26.21
2096,26.45,26.21
2097,26.34,26.09
2098,26.39,26.15
2099,26.44,26.18
2100,26.55,26.31
