Variable:,tasmin
,Lesotho,Berea,"Butha Buthe",Leribe,Mafeteng,Maseru,"Mohale's Hoek",Mokhotlong,"Qacha's Nek",Quthing,"Thaba Tseka"
2015,6.43,7.76,7.10,7.16,8.42,7.95,7.02,6.30,6.71,6.88,6.55
2016,6.45,7.75,7.18,7.22,8.37,7.93,6.97,6.31,6.70,6.81,6.60
2017,6.45,7.67,7.18,7.18,8.29,7.85,6.88,6.31,6.65,6.72,6.54
2018,6.53,7.91,7.26,7.31,8.56,8.10,7.09,6.35,6.77,6.89,6.70
2019,6.64,7.96,7.37,7.42,8.60,8.14,7.21,6.50,6.89,7.04,6.78
2020,6.37,7.69,7.07,7.13,8.31,7.87,6.94,6.25,6.67,6.81,6.54
2021,6.54,7.81,7.24,7.27,8.41,7.98,7.03,6.41,6.80,6.88,6.70
2022,6.70,8.01,7.35,7.42,8.66,8.20,7.25,6.56,6.97,7.11,6.84
2023,6.59,7.88,7.33,7.35,8.51,8.06,7.09,6.43,6.82,6.92,6.72
2024,6.87,8.23,7.65,7.68,8.87,8.41,7.44,6.69,7.09,7.24,7.03
2025,6.45,7.71,7.14,7.18,8.32,7.89,6.91,6.33,6.68,6.75,6.59
2026,6.65,7.99,7.32,7.39,8.64,8.18,7.16,6.49,6.89,6.99,6.78
2027,6.75,8.04,7.47,7.51,8.65,8.22,7.25,6.62,6.98,7.06,6.91
2028,6.75,8.03,7.50,7.51,8.64,8.20,7.25,6.60,7.00,7.10,6.89
2029,6.92,8.20,7.62,7.67,8.82,8.38,7.43,6.78,7.17,7.28,7.07
2030,6.84,8.12,7.58,7.60,8.75,8.30,7.34,6.66,7.05,7.17,6.96
2031,6.83,8.12,7.61,7.62,8.73,8.29,7.31,6.65,7.08,7.17,6.97
2032,6.98,8.32,7.69,7.77,8.95,8.50,7.54,6.85,7.25,7.37,7.15
2033,6.95,8.24,7.67,7.70,8.88,8.43,7.40,6.77,7.12,7.21,7.04
2034,6.91,8.23,7.68,7.70,8.87,8.42,7.39,6.74,7.09,7.17,7.04
2035,6.89,8.18,7.61,7.65,8.79,8.36,7.40,6.76,7.14,7.23,7.06
2036,6.88,8.16,7.61,7.62,8.80,8.34,7.41,6.68,7.06,7.23,6.97
2037,7.14,8.41,7.89,7.92,8.99,8.57,7.59,6.96,7.38,7.44,7.31
2038,7.18,8.50,7.83,7.92,9.11,8.67,7.68,7.03,7.41,7.49,7.36
2039,7.08,8.42,7.76,7.84,9.06,8.60,7.68,6.93,7.36,7.54,7.23
2040,7.16,8.49,7.87,7.93,9.12,8.67,7.63,7.00,7.36,7.42,7.31
2041,7.11,8.45,7.87,7.89,9.10,8.63,7.65,6.93,7.31,7.45,7.24
2042,7.38,8.68,8.17,8.16,9.31,8.86,7.73,7.21,7.57,7.56,7.49
