Variable:,tasmin
,"Pitcairn Islands","Administrative unit not available"
2015,21.74,21.37
2016,21.58,21.18
2017,21.61,21.18
2018,21.59,21.13
2019,21.78,21.36
2020,21.73,21.35
2021,21.70,21.23
2022,21.81,21.41
2023,21.67,21.27
2024,21.81,21.39
2025,21.82,21.40
2026,21.83,21.39
2027,21.78,21.36
2028,21.80,21.40
2029,21.75,21.38
2030,21.89,21.56
2031,21.86,21.48
2032,21.77,21.40
2033,21.93,21.58
2034,21.99,21.56
2035,21.99,21.60
2036,22.01,21.58
2037,21.91,21.48
2038,21.89,21.52
2039,22.03,21.61
2040,21.95,21.60
2041,21.85,21.42
2042,22.07,21.55
2043,22.11,21.69
2044,21.97,21.56
2045,22.14,21.70
2046,22.17,21.76
2047,22.14,21.74
2048,21.99,21.65
2049,22.08,21.71
2050,22.23,21.90
2051,22.14,21.77
2052,22.10,21.74
2053,22.23,21.87
2054,22.24,21.90
2055,22.23,21.88
2056,22.25,21.78
2057,22.32,21.86
2058,22.23,21.79
2059,22.24,21.84
2060,22.24,21.90
2061,22.29,21.89
2062,22.31,21.92
2063,22.22,21.77
2064,22.36,21.97
2065,22.21,21.85
2066,22.41,22.04
2067,22.36,22.04
2068,22.40,21.93
2069,22.49,22.10
2070,22.56,22.15
2071,22.43,22.07
2072,22.34,21.97
2073,22.30,22.00
2074,22.46,22.08
2075,22.43,22.11
2076,22.31,21.98
2077,22.47,22.09
2078,22.53,22.16
2079,22.53,22.05
2080,22.40,22.09
2081,22.44,21.93
2082,22.67,22.30
2083,22.63,22.26
2084,22.64,22.29
2085,22.50,22.16
2086,22.48,22.12
2087,22.52,22.10
2088,22.49,22.00
2089,22.55,22.16
2090,22.59,22.18
2091,22.64,22.34
2092,22.60,22.21
2093,22.68,22.22
2094,22.57,22.14
2095,22.52,22.13
2096,22.61,22.23
2097,22.65,22.28
2098,22.61,22.18
2099,22.71,22.39
2100,22.59,22.25
