Variable:,tasmin
,Rwanda,East/Iburasirazuba,"Kigali City/Umujyi wa Kigali",North/Amajyaruguru,South/Amajyepfo,West/Iburengerazuba
2015,13.79,14.00,13.83,12.94,13.53,13.46
2016,13.69,13.88,13.70,12.88,13.52,13.45
2017,13.92,14.11,13.93,13.06,13.75,13.66
2018,13.98,14.14,13.97,13.14,13.80,13.72
2019,13.85,14.01,13.86,13.00,13.64,13.57
2020,13.97,14.14,13.98,13.12,13.72,13.65
2021,13.90,14.11,13.93,13.06,13.71,13.63
2022,13.96,14.15,13.97,13.11,13.77,13.69
2023,14.02,14.21,14.05,13.17,13.79,13.71
2024,14.16,14.35,14.17,13.33,13.91,13.87
2025,14.15,14.34,14.18,13.30,13.93,13.85
2026,14.12,14.33,14.16,13.28,13.90,13.83
2027,14.19,14.39,14.22,13.33,13.98,13.90
2028,14.19,14.35,14.19,13.34,14.04,13.95
2029,14.30,14.46,14.28,13.46,14.11,14.03
2030,14.10,14.29,14.12,13.24,13.88,13.80
2031,14.33,14.50,14.33,13.47,14.12,14.04
2032,14.39,14.59,14.42,13.56,14.20,14.12
2033,14.41,14.54,14.37,13.59,14.18,14.13
2034,14.34,14.52,14.36,13.48,14.13,14.04
2035,14.36,14.53,14.37,13.50,14.11,14.04
2036,14.36,14.56,14.38,13.52,14.17,14.09
2037,14.66,14.86,14.70,13.83,14.42,14.36
2038,14.51,14.67,14.51,13.62,14.29,14.20
2039,14.58,14.77,14.60,13.73,14.39,14.30
2040,14.47,14.66,14.50,13.62,14.20,14.14
2041,14.58,14.75,14.59,13.72,14.36,14.28
2042,14.62,14.78,14.64,13.81,14.42,14.35
2043,14.56,14.72,14.55,13.69,14.36,14.28
2044,14.62,14.81,14.62,13.78,14.40,14.34
2045,14.67,14.86,14.69,13.82,14.47,14.38
2046,14.76,14.94,14.77,13.89,14.54,14.46
2047,14.84,15.05,14.88,13.96,14.59,14.51
2048,15.00,15.18,15.02,14.20,14.84,14.76
2049,14.95,15.16,14.99,14.11,14.69,14.64
2050,14.82,15.03,14.87,13.93,14.59,14.48
2051,14.97,15.21,15.03,14.05,14.63,14.55
2052,15.00,15.18,15.04,14.17,14.82,14.74
2053,14.98,15.19,15.02,14.10,14.79,14.68
2054,14.91,15.08,14.93,14.06,14.63,14.58
2055,15.04,15.20,15.07,14.18,14.85,14.74
2056,15.04,15.14,15.00,14.24,14.82,14.78
2057,15.24,15.41,15.26,14.38,14.99,14.92
2058,15.22,15.42,15.28,14.40,14.96,14.91
2059,15.13,15.24,15.09,14.34,14.94,14.89
2060,15.18,15.38,15.21,14.34,14.96,14.88
2061,15.04,15.25,15.09,14.20,14.84,14.76
2062,15.06,15.17,15.01,14.20,14.79,14.75
2063,15.31,15.41,15.26,14.51,15.12,15.07
2064,15.37,15.56,15.41,14.48,15.04,14.98
2065,15.20,15.36,15.19,14.40,15.07,14.99
2066,15.37,15.51,15.37,14.54,15.08,15.04
2067,15.29,15.51,15.33,14.44,15.05,14.98
2068,15.40,15.63,15.45,14.54,15.18,15.10
2069,15.31,15.49,15.33,14.43,15.04,14.97
2070,15.33,15.49,15.32,14.49,15.18,15.09
2071,15.34,15.57,15.40,14.46,15.12,15.02
2072,15.34,15.48,15.30,14.51,15.22,15.13
2073,15.68,15.86,15.70,14.80,15.43,15.34
2074,15.48,15.74,15.56,14.61,15.34,15.21
2075,15.36,15.54,15.36,14.50,15.17,15.09
2076,15.52,15.68,15.53,14.73,15.33,15.29
2077,15.67,15.85,15.70,14.80,15.41,15.34
2078,15.45,15.62,15.46,14.58,15.27,15.17
2079,15.55,15.74,15.58,14.70,15.40,15.29
2080,15.58,15.79,15.60,14.64,15.39,15.26
2081,15.65,15.82,15.67,14.84,15.50,15.42
2082,15.59,15.79,15.61,14.74,15.40,15.32
2083,15.71,15.92,15.75,14.84,15.43,15.36
2084,15.67,15.89,15.70,14.81,15.42,15.35
2085,15.71,15.89,15.74,14.89,15.50,15.43
2086,15.61,15.80,15.64,14.73,15.40,15.31
2087,15.58,15.79,15.62,14.70,15.38,15.27
2088,15.63,15.81,15.65,14.77,15.47,15.37
2089,15.71,15.89,15.74,14.83,15.44,15.37
2090,15.69,15.85,15.72,14.89,15.51,15.44
2091,15.87,16.09,15.91,15.00,15.68,15.57
2092,15.61,15.77,15.61,14.78,15.38,15.32
2093,15.87,16.08,15.91,15.03,15.71,15.61
2094,15.81,16.00,15.84,14.97,15.55,15.50
2095,15.87,16.05,15.87,15.01,15.77,15.65
2096,15.76,15.92,15.77,14.89,15.48,15.42
2097,15.74,15.94,15.75,14.92,15.44,15.42
2098,15.82,16.03,15.86,14.94,15.59,15.50
2099,15.77,15.99,15.82,14.91,15.50,15.43
2100,15.82,16.02,15.85,14.98,15.61,15.53
