Variable:,tasmin
,"Sierra Leone",Eastern,Northern,Southern,"Western Area"
2015,21.64,21.86,22.49,23.33,24.52
2016,21.65,21.82,22.53,23.30,24.52
2017,21.69,21.88,22.54,23.33,24.63
2018,21.74,21.93,22.60,23.42,24.66
2019,21.80,22.02,22.70,23.51,24.81
2020,21.69,21.88,22.57,23.33,24.59
2021,21.85,22.06,22.73,23.50,24.80
2022,21.96,22.14,22.81,23.55,24.87
2023,21.86,22.06,22.74,23.52,24.83
2024,22.14,22.33,22.97,23.72,24.90
2025,22.00,22.19,22.85,23.61,24.83
2026,22.01,22.19,22.87,23.60,24.83
2027,22.01,22.23,22.85,23.64,24.86
2028,22.08,22.24,22.97,23.68,24.96
2029,22.20,22.40,23.06,23.81,24.99
2030,22.00,22.17,22.85,23.62,24.85
2031,22.22,22.39,23.10,23.82,25.07
2032,22.13,22.31,22.98,23.72,24.96
2033,22.24,22.37,23.12,23.85,25.14
2034,22.14,22.36,22.97,23.79,24.99
2035,22.24,22.44,23.10,23.80,25.01
2036,22.21,22.38,23.06,23.79,24.99
2037,22.37,22.50,23.20,23.89,25.14
2038,22.42,22.60,23.27,23.97,25.28
2039,22.39,22.59,23.21,23.93,25.19
2040,22.39,22.62,23.25,24.01,25.25
2041,22.40,22.60,23.24,23.99,25.19
2042,22.45,22.61,23.31,24.05,25.32
2043,22.41,22.57,23.26,23.95,25.23
2044,22.42,22.64,23.23,24.02,25.26
2045,22.46,22.64,23.28,23.99,25.16
2046,22.52,22.72,23.31,24.09,25.38
2047,22.67,22.80,23.52,24.23,25.43
2048,22.67,22.84,23.53,24.27,25.51
2049,22.68,22.86,23.52,24.23,25.44
2050,22.55,22.67,23.40,24.13,25.41
2051,22.65,22.82,23.48,24.18,25.44
2052,22.71,22.86,23.54,24.25,25.47
2053,22.73,22.89,23.56,24.29,25.53
2054,22.74,22.88,23.61,24.32,25.59
2055,22.75,22.94,23.59,24.32,25.55
2056,22.80,22.94,23.64,24.34,25.66
2057,22.93,23.08,23.75,24.46,25.65
2058,22.87,23.01,23.69,24.39,25.63
2059,22.84,23.02,23.69,24.45,25.67
2060,22.97,23.13,23.82,24.54,25.74
2061,22.84,22.99,23.66,24.33,25.63
2062,22.89,23.04,23.74,24.45,25.72
2063,23.00,23.17,23.82,24.54,25.83
2064,22.99,23.12,23.84,24.52,25.75
2065,23.06,23.18,23.89,24.60,25.83
2066,23.02,23.18,23.80,24.45,25.65
2067,23.04,23.20,23.85,24.54,25.78
2068,23.13,23.30,23.91,24.56,25.74
2069,23.07,23.27,23.86,24.59,25.78
2070,23.11,23.23,23.92,24.54,25.82
2071,23.10,23.29,23.90,24.57,25.84
2072,23.17,23.38,23.97,24.66,25.91
2073,23.26,23.40,24.12,24.84,26.01
2074,23.09,23.27,23.90,24.64,25.86
2075,23.07,23.26,23.85,24.56,25.79
2076,23.23,23.37,24.04,24.69,25.92
2077,23.44,23.61,24.22,24.90,25.95
2078,23.30,23.47,24.16,24.86,26.14
2079,23.16,23.34,23.98,24.72,25.96
2080,23.29,23.48,24.09,24.83,26.06
2081,23.23,23.39,24.10,24.73,25.99
2082,23.24,23.40,24.06,24.82,26.02
2083,23.34,23.51,24.14,24.81,26.06
2084,23.29,23.45,24.13,24.88,25.98
2085,23.26,23.41,24.09,24.81,26.20
2086,23.39,23.60,24.17,24.88,26.10
2087,23.31,23.45,24.15,24.82,26.10
2088,23.31,23.45,24.12,24.81,26.05
2089,23.47,23.62,24.24,24.90,26.09
2090,23.37,23.55,24.20,24.93,26.12
2091,23.33,23.47,24.19,24.94,26.23
2092,23.37,23.57,24.20,25.01,26.17
2093,23.41,23.58,24.23,24.94,26.18
2094,23.40,23.57,24.19,24.86,26.05
2095,23.53,23.65,24.37,25.00,26.27
2096,23.44,23.56,24.26,24.88,26.11
2097,23.44,23.58,24.25,24.93,26.16
2098,23.51,23.65,24.32,24.98,26.20
2099,23.49,23.60,24.31,24.96,26.23
2100,23.58,23.69,24.38,25.08,26.20
