Variable:,tasmin
,"El Salvador",Ahuachapan,Cabanas,Chalatenango,Cuscatlan,"La Libertad","La Paz","La Union",Morazan,"San Miguel","San Salvador","San Vicente","Santa Ana",Sonsonate,Usulutan
2015,19.24,25.27,23.14,19.36,24.25,25.57,24.22,22.77,23.19,23.27,25.28,23.27,21.35,25.79,23.27
2016,19.31,25.44,23.26,19.46,24.40,25.74,24.36,22.86,23.31,23.39,25.45,23.39,21.48,25.96,23.39
2017,19.47,25.50,23.34,19.59,24.47,25.79,24.42,23.02,23.40,23.47,25.50,23.47,21.59,26.01,23.47
2018,19.42,25.46,23.30,19.52,24.43,25.76,24.39,22.98,23.36,23.43,25.47,23.43,21.52,25.98,23.43
2019,19.40,25.50,23.33,19.55,24.46,25.79,24.42,22.95,23.38,23.46,25.50,23.46,21.56,26.01,23.46
2020,19.35,25.39,23.21,19.44,24.35,25.69,24.31,22.88,23.27,23.34,25.40,23.34,21.44,25.91,23.34
2021,19.50,25.54,23.45,19.60,24.53,25.83,24.51,23.08,23.50,23.58,25.54,23.58,21.60,26.05,23.58
2022,19.49,25.58,23.38,19.62,24.53,25.88,24.48,23.02,23.43,23.51,25.59,23.51,21.63,26.10,23.51
2023,19.62,25.64,23.48,19.73,24.61,25.94,24.57,23.14,23.54,23.61,25.65,23.61,21.71,26.16,23.61
2024,19.63,25.67,23.48,19.75,24.63,25.97,24.58,23.16,23.54,23.61,25.68,23.61,21.75,26.19,23.61
2025,19.60,25.67,23.51,19.72,24.64,25.97,24.60,23.13,23.56,23.64,25.68,23.64,21.72,26.19,23.64
2026,19.65,25.68,23.59,19.77,24.68,25.98,24.65,23.21,23.64,23.72,25.69,23.72,21.76,26.20,23.72
2027,19.64,25.61,23.47,19.71,24.59,25.91,24.55,23.15,23.53,23.60,25.62,23.60,21.68,26.13,23.60
2028,19.75,25.84,23.63,19.85,24.79,26.15,24.74,23.30,23.69,23.76,25.85,23.76,21.86,26.37,23.76
2029,19.85,25.85,23.70,19.95,24.82,26.14,24.78,23.38,23.76,23.83,25.85,23.83,21.94,26.36,23.83
2030,19.67,25.64,23.43,19.77,24.59,25.93,24.53,23.21,23.51,23.56,25.65,23.56,21.75,26.15,23.56
2031,19.80,25.82,23.66,19.90,24.79,26.12,24.75,23.34,23.72,23.79,25.83,23.79,21.88,26.34,23.79
2032,19.98,25.97,23.84,20.11,24.95,26.26,24.91,23.57,23.91,23.97,25.98,23.97,22.09,26.48,23.97
2033,19.73,25.77,23.66,19.84,24.76,26.08,24.73,23.22,23.70,23.79,25.79,23.79,21.83,26.30,23.79
2034,19.77,25.85,23.64,19.89,24.80,26.16,24.75,23.28,23.69,23.77,25.87,23.77,21.89,26.38,23.77
2035,19.87,25.88,23.75,19.99,24.87,26.19,24.83,23.38,23.80,23.88,25.90,23.88,21.97,26.41,23.88
2036,19.79,25.81,23.70,19.89,24.79,26.10,24.77,23.40,23.76,23.83,25.81,23.83,21.88,26.32,23.83
2037,20.04,26.02,23.91,20.15,25.01,26.32,24.98,23.59,23.97,24.04,26.03,24.04,22.13,26.54,24.04
2038,20.22,26.09,24.00,20.34,25.09,26.38,25.05,23.70,24.06,24.13,26.10,24.13,22.28,26.59,24.13
2039,20.03,26.07,23.94,20.12,25.06,26.39,25.02,23.58,23.99,24.07,26.10,24.07,22.12,26.61,24.07
2040,19.96,25.96,23.82,20.06,24.94,26.26,24.90,23.45,23.87,23.95,25.97,23.95,22.04,26.48,23.95
2041,20.09,26.06,23.96,20.19,25.06,26.37,25.03,23.65,24.02,24.09,26.08,24.09,22.16,26.59,24.09
2042,20.09,26.10,23.94,20.15,25.07,26.41,25.03,23.66,24.01,24.07,26.12,24.07,22.14,26.63,24.07
2043,20.08,26.05,23.91,20.20,25.04,26.35,24.99,23.59,23.97,24.04,26.07,24.04,22.18,26.57,24.04
2044,20.02,26.04,23.85,20.11,25.00,26.34,24.95,23.56,23.91,23.98,26.05,23.98,22.09,26.56,23.98
2045,20.08,26.04,23.96,20.19,25.05,26.34,25.02,23.65,24.02,24.09,26.06,24.09,22.17,26.56,24.09
2046,20.14,26.06,24.01,20.19,25.07,26.36,25.06,23.77,24.08,24.14,26.07,24.14,22.15,26.58,24.14
2047,20.22,26.27,24.12,20.34,25.25,26.58,25.21,23.79,24.18,24.25,26.29,24.25,22.34,26.80,24.25
2048,20.45,26.42,24.34,20.56,25.43,26.72,25.40,23.96,24.39,24.47,26.43,24.47,22.53,26.94,24.47
2049,20.25,26.23,24.09,20.34,25.21,26.53,25.17,23.80,24.15,24.22,26.24,24.22,22.32,26.75,24.22
2050,20.26,26.24,24.12,20.32,25.22,26.54,25.19,23.88,24.19,24.25,26.25,24.25,22.30,26.76,24.25
