Variable:,tasmin
,"Sao Tome and Principe",Principe,"Sao Tome"
2015,23.32,24.48,23.90
2016,23.34,24.47,23.92
2017,23.41,24.59,24.00
2018,23.41,24.58,23.99
2019,23.41,24.56,23.99
2020,23.41,24.56,24.00
2021,23.42,24.53,24.03
2022,23.48,24.64,24.09
2023,23.52,24.70,24.13
2024,23.68,24.84,24.29
2025,23.56,24.71,24.13
2026,23.60,24.76,24.17
2027,23.64,24.80,24.23
2028,23.60,24.75,24.23
2029,23.73,24.88,24.31
2030,23.62,24.80,24.21
2031,23.65,24.81,24.25
2032,23.70,24.84,24.30
2033,23.82,24.93,24.41
2034,23.80,24.92,24.40
2035,23.77,24.91,24.38
2036,23.83,24.97,24.41
2037,23.95,25.11,24.54
2038,24.02,25.14,24.60
2039,23.89,25.07,24.47
2040,23.93,25.08,24.49
2041,23.94,25.11,24.55
2042,23.96,25.11,24.55
2043,23.94,25.10,24.52
2044,24.05,25.19,24.63
2045,24.09,25.24,24.70
2046,24.07,25.22,24.63
2047,24.24,25.39,24.83
2048,24.25,25.39,24.84
2049,24.18,25.30,24.74
2050,24.11,25.23,24.73
2051,24.14,25.32,24.76
2052,24.35,25.52,24.93
2053,24.23,25.36,24.82
2054,24.27,25.42,24.87
2055,24.30,25.47,24.91
2056,24.29,25.44,24.87
2057,24.42,25.57,25.02
2058,24.39,25.53,25.02
2059,24.45,25.58,25.06
2060,24.49,25.62,25.06
2061,24.36,25.51,24.96
2062,24.38,25.54,24.96
2063,24.51,25.70,25.08
2064,24.53,25.68,25.11
2065,24.43,25.60,25.04
2066,24.57,25.72,25.18
2067,24.49,25.68,25.11
2068,24.51,25.67,25.09
2069,24.66,25.80,25.28
2070,24.54,25.69,25.11
2071,24.62,25.77,25.21
2072,24.60,25.80,25.17
2073,24.75,25.89,25.31
2074,24.81,25.87,25.39
2075,24.63,25.80,25.20
2076,24.64,25.80,25.22
2077,24.81,25.95,25.40
2078,24.72,25.84,25.30
2079,24.72,25.88,25.27
2080,24.85,25.98,25.44
2081,24.77,25.92,25.37
2082,24.83,25.98,25.43
2083,24.73,25.86,25.31
2084,24.78,25.96,25.38
2085,24.93,26.04,25.50
2086,24.86,25.98,25.46
2087,24.75,25.91,25.34
2088,24.90,26.04,25.50
2089,24.76,25.91,25.34
2090,24.80,25.97,25.35
2091,25.02,26.17,25.64
2092,24.88,26.01,25.44
2093,24.91,26.08,25.48
2094,24.86,26.01,25.47
2095,25.02,26.19,25.62
2096,24.96,26.14,25.54
2097,24.88,26.04,25.51
2098,24.91,26.07,25.48
2099,25.08,26.24,25.67
2100,24.99,26.14,25.61
