Variable:,tasmin
,Suriname,Brokopondo,Commewijne,Coronie,Marowijne,Nickerie,Para,Paramaribo,Saramacca,Sipaliwini,Wanica
2015,22.02,21.69,22.44,22.70,22.42,22.69,22.49,22.52,22.52,21.57,22.52
2016,22.02,21.68,22.39,22.66,22.35,22.65,22.49,22.54,22.54,21.56,22.54
2017,22.17,21.89,22.51,22.82,22.43,22.80,22.67,22.75,22.75,21.75,22.75
2018,22.14,21.83,22.54,22.76,22.49,22.74,22.65,22.70,22.70,21.68,22.70
2019,22.07,21.77,22.46,22.73,22.41,22.72,22.58,22.64,22.64,21.61,22.64
2020,22.05,21.69,22.46,22.71,22.43,22.71,22.53,22.56,22.56,21.61,22.56
2021,22.07,21.75,22.47,22.71,22.43,22.70,22.56,22.60,22.60,21.61,22.60
2022,22.32,22.02,22.65,23.02,22.60,23.01,22.76,22.81,22.81,21.88,22.81
2023,22.24,21.91,22.59,22.94,22.54,22.94,22.71,22.77,22.77,21.79,22.77
2024,22.44,22.09,22.81,23.10,22.77,23.10,22.90,22.94,22.94,22.03,22.94
2025,22.21,21.86,22.59,22.89,22.54,22.89,22.69,22.74,22.74,21.78,22.74
2026,22.28,21.95,22.62,22.92,22.56,22.91,22.75,22.81,22.81,21.87,22.81
2027,22.31,22.01,22.68,23.02,22.62,23.02,22.81,22.87,22.87,21.86,22.87
2028,22.48,22.15,22.78,23.09,22.73,23.09,22.90,22.96,22.96,22.07,22.96
2029,22.48,22.16,22.84,23.12,22.79,23.12,22.95,23.01,23.01,22.06,23.01
2030,22.34,22.04,22.69,22.99,22.64,23.00,22.81,22.87,22.87,21.91,22.87
2031,22.45,22.11,22.79,23.04,22.74,23.04,22.90,22.96,22.96,22.04,22.96
2032,22.65,22.35,22.96,23.27,22.89,23.24,23.11,23.18,23.18,22.28,23.18
2033,22.55,22.25,22.97,23.18,22.92,23.16,23.07,23.12,23.12,22.10,23.12
2034,22.50,22.16,22.87,23.13,22.82,23.12,22.98,23.04,23.04,22.10,23.04
2035,22.44,22.12,22.78,23.08,22.72,23.08,22.92,22.99,22.99,22.04,22.99
2036,22.53,22.22,22.86,23.12,22.80,23.12,22.98,23.04,23.04,22.12,23.04
2037,22.75,22.44,23.13,23.29,23.09,23.29,23.21,23.25,23.25,22.35,23.25
2038,22.88,22.58,23.19,23.46,23.13,23.44,23.31,23.37,23.37,22.52,23.37
2039,22.86,22.55,23.19,23.47,23.14,23.46,23.31,23.37,23.37,22.50,23.37
2040,22.60,22.24,22.95,23.24,22.90,23.26,23.05,23.10,23.10,22.19,23.10
2041,22.64,22.31,22.97,23.24,22.92,23.24,23.08,23.14,23.14,22.26,23.14
2042,22.79,22.44,23.17,23.34,23.15,23.33,23.20,23.22,23.22,22.39,23.22
2043,22.72,22.36,23.04,23.34,23.00,23.33,23.14,23.19,23.19,22.31,23.19
2044,22.68,22.35,23.02,23.30,22.96,23.31,23.15,23.22,23.22,22.28,23.22
2045,22.75,22.46,23.03,23.33,22.96,23.34,23.19,23.27,23.27,22.37,23.27
2046,22.92,22.59,23.31,23.45,23.28,23.45,23.38,23.42,23.42,22.52,23.42
2047,23.02,22.70,23.36,23.68,23.31,23.67,23.47,23.52,23.52,22.64,23.52
2048,23.08,22.73,23.45,23.60,23.41,23.59,23.52,23.56,23.56,22.71,23.56
2049,23.00,22.64,23.33,23.64,23.28,23.64,23.43,23.48,23.48,22.59,23.48
2050,22.88,22.51,23.26,23.50,23.22,23.50,23.35,23.39,23.39,22.50,23.39
2051,23.00,22.68,23.31,23.58,23.25,23.59,23.43,23.49,23.49,22.63,23.49
2052,23.23,22.87,23.49,23.80,23.43,23.82,23.62,23.69,23.69,22.93,23.69
2053,23.13,22.78,23.45,23.74,23.40,23.75,23.56,23.61,23.61,22.76,23.61
2054,23.02,22.70,23.44,23.65,23.39,23.63,23.54,23.59,23.59,22.62,23.59
2055,23.08,22.77,23.41,23.70,23.36,23.70,23.53,23.59,23.59,22.70,23.59
2056,23.21,22.88,23.65,23.78,23.62,23.79,23.71,23.74,23.74,22.81,23.74
2057,23.36,23.05,23.66,23.99,23.59,24.00,23.80,23.87,23.87,22.99,23.87
2058,23.17,22.84,23.50,23.84,23.42,23.83,23.69,23.78,23.78,22.79,23.78
2059,23.38,23.11,23.73,23.96,23.69,23.96,23.82,23.87,23.87,22.98,23.87
2060,23.48,23.16,23.80,24.06,23.75,24.05,23.90,23.95,23.95,23.17,23.95
2061,23.13,22.78,23.49,23.80,23.45,23.76,23.58,23.62,23.62,22.72,23.62
2062,23.04,22.70,23.43,23.64,23.39,23.63,23.52,23.57,23.57,22.62,23.57
2063,23.54,23.26,23.76,24.13,23.68,24.10,23.95,24.04,24.04,23.21,24.04
2064,23.36,23.04,23.66,23.94,23.62,23.94,23.75,23.80,23.80,23.00,23.80
2065,23.40,23.11,23.80,23.97,23.76,23.97,23.88,23.92,23.92,23.02,23.92
2066,23.43,23.09,23.74,23.95,23.70,23.98,23.83,23.88,23.88,23.11,23.88
2067,23.39,23.11,23.83,23.95,23.79,23.95,23.92,23.97,23.97,22.96,23.97
2068,23.61,23.28,23.95,24.17,23.90,24.16,24.06,24.11,24.11,23.26,24.11
2069,23.37,23.04,23.74,24.01,23.69,23.99,23.85,23.91,23.91,22.98,23.91
2070,23.42,23.07,23.79,23.98,23.78,23.99,23.82,23.83,23.83,23.03,23.83
2071,23.49,23.22,23.87,24.07,23.82,24.07,23.97,24.02,24.02,23.09,24.02
2072,23.53,23.23,23.92,24.13,23.87,24.10,24.03,24.09,24.09,23.14,24.09
2073,23.70,23.38,24.06,24.22,24.04,24.23,24.11,24.13,24.13,23.36,24.13
2074,23.57,23.24,23.92,24.15,23.88,24.15,24.02,24.07,24.07,23.22,24.07
2075,23.54,23.23,23.86,24.12,23.80,24.10,23.99,24.05,24.05,23.21,24.05
2076,23.58,23.27,23.94,24.09,23.89,24.08,24.04,24.09,24.09,23.23,24.09
2077,23.79,23.50,24.11,24.41,24.04,24.42,24.25,24.32,24.32,23.46,24.32
2078,23.60,23.26,23.93,24.14,23.88,24.12,24.04,24.10,24.10,23.22,24.10
2079,23.52,23.21,23.92,24.03,23.88,24.03,24.00,24.04,24.04,23.11,24.04
2080,23.76,23.46,24.10,24.42,24.05,24.42,24.20,24.25,24.25,23.41,24.25
2081,23.70,23.39,24.04,24.27,23.99,24.26,24.15,24.20,24.20,23.32,24.20
2082,23.57,23.23,23.97,24.11,23.94,24.13,24.02,24.05,24.05,23.16,24.05
2083,23.74,23.43,23.94,24.27,23.91,24.25,24.01,24.05,24.05,23.43,24.05
