Variable:,tasmin
,Slovenia,Gorenjska,Goriska,"Jugovzodna Slovenija",Koroska,Notranjsko-kraska,Obalno-kraska,Osrednjeslovenska,Podravska,Pomurska,Savinjska,Spodnjeposavska,Zasavska
2015,5.39,5.55,8.84,7.53,5.20,9.52,11.61,6.64,5.70,7.31,5.24,5.64,5.15
2016,5.19,5.34,8.71,7.40,5.00,9.31,11.49,6.42,5.53,7.17,5.04,5.55,4.94
2017,5.24,5.45,8.76,7.43,5.05,9.41,11.57,6.54,5.53,7.11,5.09,5.53,5.00
2018,5.31,5.53,8.85,7.40,5.12,9.37,11.53,6.55,5.60,7.20,5.15,5.53,5.07
2019,5.51,5.73,9.04,7.55,5.31,9.50,11.77,6.73,5.78,7.37,5.34,5.71,5.26
2020,5.70,5.92,9.27,7.73,5.48,9.72,11.96,6.92,5.97,7.65,5.52,5.86,5.43
2021,5.74,5.94,9.27,7.81,5.57,9.77,11.97,6.96,6.06,7.63,5.61,5.96,5.51
2022,5.98,6.17,9.40,7.93,5.78,9.82,12.08,7.14,6.26,7.84,5.82,6.15,5.73
2023,5.66,5.84,9.10,7.73,5.47,9.66,11.83,6.88,5.96,7.54,5.51,5.90,5.42
2024,5.63,5.77,9.06,7.71,5.43,9.59,11.75,6.80,5.93,7.51,5.47,5.90,5.37
2025,5.79,5.88,9.19,7.77,5.61,9.71,11.91,6.91,6.15,7.77,5.65,5.98,5.54
2026,6.00,6.16,9.48,8.15,5.83,10.11,12.24,7.24,6.33,7.91,5.87,6.29,5.77
2027,5.79,6.02,9.34,7.82,5.59,9.77,12.01,7.01,6.08,7.73,5.63,5.99,5.54
2028,5.95,6.15,9.40,8.03,5.78,9.95,12.15,7.18,6.25,7.79,5.81,6.20,5.73
2029,5.96,6.14,9.48,7.99,5.76,10.01,12.25,7.18,6.26,7.84,5.80,6.12,5.71
2030,5.69,5.83,9.13,7.81,5.50,9.75,11.90,6.90,6.01,7.63,5.54,5.96,5.44
2031,6.08,6.17,9.38,8.05,5.90,9.97,12.17,7.22,6.42,8.02,5.94,6.27,5.84
