Variable:,tasmin
,Türkiye,Adana,Adiyaman,Afyon,Agri,Aksaray,Amasya,Ankara,Antalya,Ardahan,Artvin,Aydin,Balikesir,Bartin,Batman,Bayburt,Bilecik,Bingol,Bitlis,Bolu,Burdur,Bursa,Canakkale,Cankiri,Corum,Denizli,Diyarbakir,Edirne,Elazig,Erzincan,Erzurum,Eskisehir,Gaziantep,Giresun,Gumushane,Hakkari,Hatay,Icel,Igdir,Isparta,Istanbul,Izmir,K.maras,Karabuk,Karaman,Kars,Kastamonu,Kayseri,Kilis,Kirikkale,Kirklareli,Kirsehir,Kocaeli,Konya,Kutahya,Malatya,Manisa,Mardin,Mugla,Mus,Nevsehir,Nigde,Ordu,Osmaniye,Rize,Sakarya,Samsun,Sanliurfa,Siirt,Sinop,Sirnak,Sivas,Tekirdag,Tokat,Trabzon,Tunceli,Usak,Van,Yalova,Yozgat,Zonguldak
2015,6.64,12.97,10.86,7.39,2.88,5.56,4.65,6.02,14.46,-0.36,1.54,13.58,10.46,6.10,11.55,2.46,6.97,7.60,8.77,6.22,8.02,8.64,11.75,5.06,5.88,9.97,11.07,10.17,9.65,5.57,2.13,6.20,12.25,3.66,3.73,9.51,14.56,13.50,1.60,7.96,10.72,12.52,9.34,5.92,9.92,-0.38,4.28,5.11,12.97,5.53,9.27,6.03,8.14,7.17,7.32,5.94,10.87,11.93,14.73,6.45,5.71,6.34,3.84,13.97,3.05,7.27,6.09,12.00,12.19,5.30,13.04,2.94,9.77,3.81,3.21,6.83,8.85,5.52,8.46,5.10,7.67
2016,6.43,12.79,10.71,6.99,2.91,5.32,4.46,5.60,14.12,-0.37,1.50,13.25,10.09,5.80,11.46,2.35,6.50,7.49,8.77,5.76,7.69,8.23,11.46,4.61,5.58,9.63,10.96,9.89,9.44,5.41,2.10,5.77,12.08,3.39,3.59,9.41,14.30,13.26,1.67,7.58,10.41,12.24,9.18,5.58,9.64,-0.29,4.04,4.96,12.78,5.11,8.98,5.68,7.72,6.86,6.84,5.76,10.54,11.83,14.41,6.44,5.45,6.13,3.71,13.75,2.96,6.83,5.98,11.95,12.12,5.15,12.95,2.79,9.47,3.70,3.10,6.65,8.49,5.51,8.05,4.86,7.32
2017,6.64,13.17,10.99,7.37,2.82,5.57,4.50,5.86,14.59,-0.49,1.52,13.68,10.54,6.11,11.66,2.51,6.88,7.60,8.79,6.09,8.12,8.63,11.78,4.87,5.76,10.05,11.13,10.00,9.64,5.52,2.08,6.11,12.49,3.70,3.79,9.56,14.78,13.70,1.51,8.01,10.61,12.65,9.50,5.88,10.06,-0.53,4.25,5.17,13.22,5.32,9.10,5.86,8.08,7.21,7.30,5.94,11.04,12.08,14.82,6.46,5.69,6.43,3.86,14.20,3.09,7.19,6.10,12.17,12.29,5.31,13.16,2.90,9.66,3.77,3.28,6.78,8.95,5.58,8.41,4.89,7.68
2018,6.61,12.98,10.86,7.36,3.15,5.51,4.41,5.82,14.39,-0.33,1.60,13.47,10.34,5.91,11.60,2.55,6.76,7.81,8.99,5.97,8.08,8.48,11.54,4.83,5.70,9.97,11.20,9.94,9.76,5.70,2.35,6.05,12.25,3.67,3.80,9.63,14.49,13.38,1.73,7.97,10.59,12.40,9.40,5.70,9.78,-0.19,4.06,5.17,12.97,5.36,9.17,5.90,7.96,7.08,7.19,6.05,10.82,11.92,14.62,6.74,5.66,6.33,3.79,14.00,3.12,7.06,6.00,12.04,12.19,5.15,12.99,2.98,9.64,3.73,3.28,6.96,8.86,5.61,8.28,4.94,7.50
2019,6.49,12.91,10.75,7.21,2.88,5.42,4.41,5.73,14.51,-0.63,1.30,13.58,10.32,5.88,11.58,2.21,6.68,7.52,8.80,5.89,8.07,8.40,11.66,4.77,5.66,9.96,11.05,10.07,9.51,5.33,2.00,5.92,12.20,3.43,3.48,9.47,14.55,13.51,1.58,7.91,10.51,12.48,9.22,5.67,9.90,-0.42,4.06,4.93,12.96,5.27,9.10,5.78,7.87,7.07,7.09,5.75,10.82,11.85,14.74,6.46,5.55,6.26,3.64,13.90,2.85,6.99,5.90,11.94,12.13,5.07,12.94,2.72,9.61,3.64,2.97,6.58,8.77,5.52,8.18,4.86,7.44
2020,6.56,12.91,10.71,7.31,2.78,5.48,4.48,5.89,14.45,-0.50,1.42,13.57,10.43,6.17,11.56,2.34,6.86,7.47,8.78,6.11,8.04,8.59,11.77,4.91,5.68,9.95,10.99,10.25,9.55,5.43,2.02,6.05,12.12,3.62,3.69,9.46,14.52,13.45,1.51,7.92,10.72,12.52,9.24,5.94,9.87,-0.46,4.24,5.01,12.92,5.31,9.24,5.80,8.10,7.10,7.20,5.92,10.87,11.87,14.73,6.41,5.60,6.28,3.71,13.84,2.92,7.21,5.99,11.90,12.17,5.22,13.02,2.86,9.76,3.71,3.14,6.68,8.79,5.51,8.41,4.88,7.74
2021,6.74,13.06,10.91,7.50,3.04,5.66,4.53,6.02,14.59,-0.19,1.76,13.77,10.69,6.20,11.59,2.64,7.09,7.71,8.90,6.32,8.19,8.79,11.94,4.98,5.78,10.13,11.12,10.39,9.65,5.67,2.36,6.35,12.35,3.73,3.88,9.61,14.63,13.64,1.77,8.08,10.76,12.77,9.41,5.99,10.03,-0.15,4.33,5.09,13.09,5.42,9.47,5.92,8.22,7.26,7.51,5.98,11.14,11.98,14.89,6.58,5.74,6.44,3.87,14.09,3.25,7.38,6.09,12.13,12.21,5.31,13.03,2.97,9.95,3.80,3.39,6.92,8.98,5.70,8.54,4.96,7.80
2022,7.00,13.37,11.23,7.60,3.41,5.93,4.99,6.21,14.80,0.15,2.03,13.91,10.80,6.46,11.99,2.80,7.17,8.03,9.27,6.40,8.36,8.91,12.11,5.22,6.15,10.26,11.51,10.52,10.06,5.90,2.59,6.38,12.68,4.02,4.12,9.73,14.92,13.84,2.22,8.24,11.06,12.89,9.77,6.24,10.21,0.24,4.64,5.49,13.38,5.73,9.63,6.35,8.41,7.45,7.51,6.36,11.25,12.28,15.06,6.96,6.11,6.74,4.22,14.40,3.43,7.52,6.42,12.38,12.55,5.64,13.31,3.33,10.12,4.23,3.58,7.17,9.11,6.01,8.72,5.46,8.01
2023,6.81,13.23,11.12,7.50,3.11,5.78,4.72,6.06,14.66,-0.26,1.64,13.80,10.68,6.30,11.85,2.64,7.14,7.79,9.02,6.34,8.26,8.83,11.93,5.01,5.90,10.21,11.31,10.31,9.83,5.74,2.29,6.30,12.54,3.84,3.96,9.85,14.81,13.76,1.87,8.12,10.84,12.72,9.62,6.07,10.16,-0.16,4.38,5.38,13.22,5.53,9.35,6.11,8.34,7.36,7.47,6.15,11.13,12.18,14.95,6.68,5.95,6.64,3.98,14.26,3.18,7.48,6.10,12.29,12.49,5.32,13.35,3.16,9.89,3.96,3.41,6.99,9.10,5.80,8.64,5.20,7.87
2024,6.88,13.31,11.17,7.62,3.26,5.77,4.71,6.06,14.79,-0.14,1.82,13.87,10.65,6.40,11.95,2.86,7.13,7.94,9.14,6.36,8.39,8.82,12.01,5.06,5.92,10.26,11.39,10.37,9.86,5.81,2.52,6.35,12.59,3.88,4.09,9.81,14.93,13.84,1.99,8.27,10.93,12.79,9.64,6.16,10.24,0.01,4.46,5.34,13.30,5.51,9.42,6.07,8.33,7.41,7.50,6.15,11.13,12.28,15.03,6.86,5.88,6.62,4.04,14.31,3.41,7.43,6.24,12.36,12.52,5.46,13.34,3.16,9.96,3.98,3.60,7.07,9.10,5.86,8.64,5.20,7.92
