Variable:,tasmin
,"Tanzania, United Republic of",Arusha,Dar-es-salaam,Dodoma,Kigoma,Kilimanjaro,Lindi,Manyara,Mara,Mbeya,Morogoro,Mtwara,"Kaskazini Pemba","Kaskazini Unguja",Pwani,Ruvuma,Singida,"Kusini Pemba","Kusini Unguja",Tabora,Tanga,"Mjini Magharibi",Geita,Iringa,Kagera,Katavi,Mwanza,Njombe,Rukwa,Shinyanga,Simiyu
2015,17.53,15.72,21.62,17.13,17.13,16.48,19.79,15.87,17.18,15.39,18.58,20.59,21.98,21.97,20.80,18.01,16.53,22.03,21.66,17.29,18.45,21.66,17.30,15.46,15.89,17.16,17.65,16.48,16.09,17.72,17.56
2016,17.42,15.61,21.66,17.01,17.04,16.40,19.75,15.81,16.97,15.22,18.52,20.49,21.99,21.98,20.80,17.85,16.33,22.04,21.68,17.13,18.38,21.68,17.09,15.35,15.70,17.08,17.37,16.28,16.03,17.46,17.32
2017,17.65,15.80,21.85,17.22,17.33,16.53,19.95,15.91,17.24,15.46,18.76,20.68,22.16,22.12,21.03,18.12,16.55,22.17,21.88,17.39,18.56,21.88,17.37,15.59,16.00,17.31,17.65,16.55,16.27,17.78,17.64
2018,17.63,15.86,21.74,17.17,17.34,16.60,19.87,15.99,17.35,15.39,18.61,20.61,22.05,22.04,20.93,17.98,16.54,22.09,21.77,17.38,18.53,21.77,17.50,15.49,16.11,17.26,17.81,16.50,16.16,17.88,17.70
2019,17.56,15.70,21.80,17.22,17.24,16.52,19.88,15.93,17.09,15.35,18.65,20.63,22.17,22.16,20.93,18.05,16.51,22.23,21.82,17.30,18.54,21.82,17.29,15.50,15.87,17.21,17.52,16.47,16.17,17.69,17.47
2020,17.59,15.80,21.65,17.19,17.31,16.57,19.79,15.95,17.26,15.36,18.63,20.52,22.01,22.00,20.86,17.95,16.48,22.06,21.68,17.34,18.48,21.68,17.43,15.51,16.03,17.26,17.74,16.43,16.14,17.84,17.66
2021,17.55,15.72,21.72,17.17,17.23,16.58,19.86,15.93,17.16,15.27,18.68,20.57,22.14,22.11,20.91,18.02,16.44,22.18,21.75,17.20,18.54,21.75,17.33,15.45,15.97,17.13,17.57,16.45,16.03,17.64,17.43
2022,17.76,15.99,21.83,17.36,17.42,16.74,20.05,16.13,17.35,15.62,18.85,20.76,22.22,22.18,21.08,18.20,16.67,22.25,21.86,17.49,18.70,21.86,17.52,15.70,16.06,17.41,17.77,16.70,16.38,17.95,17.75
2023,17.74,15.96,21.91,17.34,17.41,16.74,20.01,16.12,17.33,15.55,18.77,20.74,22.27,22.26,21.07,18.16,16.67,22.33,21.93,17.50,18.69,21.93,17.50,15.66,16.05,17.39,17.78,16.56,16.32,17.94,17.75
2024,17.81,15.96,21.96,17.44,17.54,16.70,20.08,16.16,17.44,15.59,18.90,20.80,22.30,22.28,21.14,18.25,16.78,22.34,21.99,17.59,18.73,21.99,17.54,15.73,16.20,17.44,17.81,16.72,16.34,17.89,17.75
2025,17.77,15.99,21.90,17.36,17.50,16.74,20.06,16.12,17.41,15.54,18.85,20.70,22.26,22.25,21.12,18.13,16.68,22.31,21.94,17.50,18.72,21.94,17.49,15.67,16.19,17.46,17.86,16.61,16.37,17.91,17.81
2026,17.81,15.93,21.96,17.43,17.53,16.79,20.15,16.16,17.31,15.66,18.91,20.88,22.34,22.31,21.20,18.23,16.79,22.37,21.99,17.56,18.79,21.99,17.52,15.74,16.14,17.55,17.76,16.66,16.49,17.86,17.68
2027,17.84,16.10,21.97,17.42,17.56,16.80,20.05,16.20,17.47,15.63,18.86,20.78,22.35,22.33,21.15,18.24,16.81,22.40,22.01,17.60,18.81,22.01,17.63,15.67,16.25,17.52,17.88,16.66,16.42,18.00,17.88
2028,17.89,16.09,22.03,17.47,17.62,16.85,20.19,16.23,17.53,15.69,18.94,20.93,22.40,22.38,21.21,18.34,16.79,22.45,22.05,17.62,18.84,22.05,17.66,15.77,16.25,17.54,17.95,16.79,16.49,18.04,17.87
2029,17.99,16.27,22.10,17.62,17.68,16.99,20.18,16.38,17.68,15.78,18.97,20.94,22.47,22.44,21.23,18.37,16.93,22.50,22.14,17.77,18.92,22.14,17.79,15.86,16.39,17.65,18.10,16.84,16.55,18.22,18.07
2030,17.84,16.07,22.04,17.49,17.46,16.86,20.22,16.23,17.40,15.59,18.99,20.93,22.34,22.33,21.21,18.31,16.74,22.38,22.08,17.48,18.84,22.08,17.52,15.81,16.19,17.41,17.78,16.74,16.32,17.85,17.74
2031,18.07,16.29,22.12,17.68,17.79,17.00,20.30,16.43,17.73,15.87,19.11,20.98,22.47,22.47,21.34,18.43,17.05,22.53,22.16,17.87,18.97,22.16,17.88,15.96,16.43,17.77,18.17,16.94,16.66,18.30,18.14
2032,17.97,16.18,22.14,17.59,17.68,16.99,20.25,16.35,17.52,15.76,19.07,21.00,22.49,22.47,21.31,18.40,16.88,22.53,22.17,17.69,18.93,22.17,17.72,15.90,16.38,17.59,17.96,16.87,16.55,18.08,17.93
2033,18.05,16.30,22.19,17.68,17.64,17.01,20.30,16.41,17.69,15.84,19.12,21.08,22.51,22.52,21.30,18.57,16.99,22.58,22.23,17.77,18.99,22.23,17.81,15.96,16.48,17.66,18.17,16.95,16.65,18.24,18.08
2034,18.07,16.28,22.19,17.71,17.71,17.03,20.34,16.46,17.61,15.92,19.18,21.10,22.48,22.46,21.34,18.55,17.05,22.51,22.23,17.83,18.97,22.23,17.82,16.04,16.39,17.70,18.07,17.02,16.68,18.19,17.98
2035,18.14,16.35,22.22,17.80,17.77,17.04,20.41,16.47,17.78,15.95,19.19,21.15,22.52,22.51,21.41,18.58,17.13,22.56,22.26,17.94,19.05,22.26,17.84,16.06,16.43,17.84,18.14,17.00,16.78,18.29,18.19
2036,18.05,16.26,22.12,17.67,17.73,17.03,20.33,16.46,17.67,15.86,19.13,21.04,22.51,22.50,21.39,18.48,16.95,22.57,22.15,17.72,19.00,22.15,17.83,15.98,16.46,17.68,18.07,17.00,16.66,18.17,18.03
2037,18.21,16.45,22.31,17.81,17.96,17.20,20.47,16.58,17.81,15.99,19.29,21.25,22.59,22.57,21.49,18.65,17.18,22.62,22.35,17.97,19.10,22.35,17.99,16.14,16.67,17.88,18.23,17.11,16.75,18.35,18.18
2038,18.23,16.47,22.27,17.89,17.87,17.18,20.45,16.60,17.86,16.13,19.31,21.12,22.64,22.62,21.46,18.70,17.24,22.68,22.31,17.96,19.11,22.31,17.92,16.22,16.57,17.83,18.24,17.21,16.81,18.36,18.22
2039,18.23,16.36,22.28,17.86,18.01,17.13,20.54,16.56,17.84,16.02,19.33,21.25,22.68,22.65,21.55,18.64,17.15,22.72,22.30,18.00,19.13,22.30,18.03,16.17,16.61,17.97,18.25,17.08,16.86,18.42,18.18
2040,18.14,16.30,22.25,17.87,17.73,17.05,20.41,16.52,17.71,16.01,19.29,21.14,22.61,22.59,21.50,18.61,17.16,22.65,22.29,17.83,19.09,22.29,17.75,16.16,16.45,17.70,18.10,17.11,16.66,18.16,18.10
2041,18.23,16.42,22.36,17.81,17.92,17.24,20.54,16.58,17.79,16.04,19.32,21.25,22.70,22.70,21.63,18.69,17.19,22.76,22.38,17.94,19.24,22.38,18.02,16.14,16.66,17.86,18.29,17.14,16.81,18.33,18.19
2042,18.27,16.49,22.34,17.91,17.97,17.27,20.52,16.68,17.87,16.10,19.37,21.17,22.73,22.70,21.58,18.70,17.21,22.77,22.37,18.01,19.25,22.37,18.02,16.21,16.62,17.89,18.29,17.21,16.86,18.42,18.28
2043,18.26,16.57,22.34,17.90,17.91,17.33,20.51,16.70,17.95,16.04,19.31,21.24,22.70,22.68,21.63,18.63,17.24,22.74,22.36,17.98,19.24,22.36,17.94,16.10,16.63,17.89,18.27,17.11,16.87,18.36,18.30
2044,18.30,16.53,22.30,17.96,18.04,17.36,20.52,16.75,17.94,16.06,19.32,21.28,22.75,22.70,21.55,18.74,17.26,22.77,22.33,18.01,19.31,22.33,18.17,16.19,16.71,17.99,18.37,17.19,16.89,18.54,18.30
2045,18.30,16.55,22.40,17.97,17.97,17.24,20.56,16.67,17.96,16.08,19.37,21.29,22.72,22.72,21.58,18.72,17.28,22.78,22.43,18.04,19.18,22.43,18.12,16.21,16.71,17.93,18.39,17.15,16.89,18.51,18.36
2046,18.45,16.74,22.43,18.06,18.18,17.37,20.62,16.82,18.17,16.19,19.48,21.32,22.78,22.74,21.69,18.78,17.45,22.80,22.46,18.29,19.33,22.46,18.28,16.30,16.89,18.16,18.60,17.23,17.01,18.71,18.55
2047,18.46,16.68,22.48,18.10,18.20,17.40,20.70,16.80,18.17,16.27,19.50,21.42,22.89,22.85,21.70,18.87,17.44,22.92,22.51,18.24,19.31,22.51,18.28,16.37,16.87,18.20,18.53,17.33,17.12,18.65,18.51
2048,18.48,16.66,22.55,18.11,18.27,17.45,20.77,16.87,17.99,16.25,19.58,21.49,22.90,22.89,21.80,18.92,17.45,22.95,22.57,18.27,19.45,22.57,18.25,16.41,16.91,18.16,18.42,17.39,17.06,18.60,18.39
2049,18.52,16.78,22.63,18.16,18.16,17.47,20.78,16.89,18.08,16.32,19.58,21.51,22.99,22.97,21.85,18.94,17.47,23.03,22.66,18.30,19.45,22.66,18.30,16.45,16.94,18.12,18.54,17.43,17.10,18.71,18.49
2050,18.31,16.55,22.32,17.89,18.06,17.28,20.56,16.65,18.04,16.12,19.37,21.29,22.73,22.68,21.57,18.76,17.19,22.75,22.34,18.05,19.22,22.34,18.17,16.16,16.81,17.98,18.44,17.20,16.90,18.52,18.42
2051,18.57,16.79,22.59,18.18,18.26,17.47,20.78,16.88,18.17,16.44,19.62,21.47,22.95,22.93,21.84,18.96,17.58,22.99,22.62,18.38,19.44,22.62,18.46,16.50,17.05,18.22,18.67,17.47,17.15,18.83,18.60
2052,18.63,16.86,22.70,18.30,18.24,17.70,20.88,17.08,18.28,16.45,19.69,21.61,23.03,23.01,21.90,19.08,17.64,23.07,22.72,18.33,19.61,22.72,18.36,16.54,16.95,18.21,18.70,17.53,17.19,18.78,18.65
2053,18.55,16.80,22.66,18.22,18.23,17.57,20.83,16.95,18.16,16.29,19.61,21.57,22.94,22.92,21.89,18.96,17.50,22.97,22.69,18.23,19.53,22.69,18.37,16.48,17.03,18.14,18.64,17.43,17.06,18.68,18.49
2054,18.54,16.79,22.58,18.18,18.25,17.53,20.75,16.93,18.11,16.37,19.62,21.50,22.93,22.91,21.78,19.03,17.55,22.97,22.61,18.26,19.46,22.61,18.31,16.51,16.95,18.20,18.57,17.45,17.17,18.68,18.49
2055,18.63,16.91,22.68,18.23,18.37,17.61,20.84,17.00,18.24,16.42,19.70,21.55,23.06,23.04,21.95,19.04,17.57,23.10,22.73,18.37,19.61,22.73,18.45,16.54,17.06,18.29,18.73,17.49,17.19,18.86,18.65
2056,18.52,16.79,22.57,18.12,18.21,17.49,20.76,16.89,18.20,16.35,19.57,21.47,22.96,22.94,21.81,18.97,17.45,23.01,22.61,18.24,19.49,22.61,18.27,16.38,16.98,18.15,18.60,17.48,17.15,18.64,18.55
2057,18.70,16.97,22.66,18.32,18.43,17.59,20.95,17.02,18.33,16.52,19.78,21.69,23.02,22.99,21.92,19.12,17.67,23.05,22.70,18.49,19.51,22.70,18.58,16.62,17.22,18.39,18.79,17.56,17.36,18.90,18.71
2058,18.68,16.86,22.61,18.30,18.47,17.56,20.96,17.00,18.25,16.56,19.79,21.72,23.04,23.00,21.90,19.21,17.63,23.07,22.65,18.43,19.56,22.65,18.50,16.66,17.14,18.39,18.68,17.67,17.36,18.82,18.64
2059,18.75,17.11,22.64,18.36,18.38,17.76,20.98,17.13,18.42,16.57,19.81,21.75,23.01,22.99,22.01,19.11,17.75,23.05,22.68,18.53,19.60,22.68,18.50,16.72,17.11,18.38,18.80,17.67,17.34,18.93,18.76
2060,18.86,17.13,22.78,18.51,18.49,17.86,21.10,17.24,18.48,16.73,19.92,21.82,23.18,23.12,22.11,19.28,17.84,23.19,22.80,18.61,19.79,22.80,18.61,16.81,17.21,18.49,18.90,17.78,17.51,19.03,18.91
2061,18.61,16.89,22.66,18.22,18.35,17.56,20.85,16.97,18.15,16.46,19.69,21.55,23.03,23.01,21.87,19.02,17.61,23.07,22.69,18.38,19.50,22.69,18.32,16.61,17.00,18.29,18.58,17.60,17.14,18.73,18.58
2062,18.66,16.88,22.66,18.29,18.36,17.50,20.86,16.96,18.29,16.54,19.69,21.63,22.98,22.94,21.83,19.10,17.73,22.98,22.72,18.48,19.52,22.72,18.50,16.62,17.09,18.30,18.79,17.60,17.28,18.94,18.77
2063,19.00,17.24,22.99,18.72,18.66,17.79,21.18,17.35,18.61,16.92,20.11,21.90,23.37,23.36,22.26,19.35,18.05,23.43,23.01,18.79,19.87,23.01,18.70,17.02,17.34,18.71,19.01,17.90,17.69,19.14,19.01
2064,18.95,17.21,22.94,18.60,18.60,17.84,21.23,17.31,18.54,16.79,20.04,21.94,23.24,23.25,22.20,19.42,17.97,23.30,22.98,18.71,19.81,22.98,18.75,16.92,17.40,18.55,18.98,17.91,17.49,19.10,18.95
2065,18.85,17.09,22.74,18.48,18.57,17.78,21.04,17.21,18.42,16.71,19.90,21.81,23.16,23.10,21.99,19.33,17.84,23.17,22.76,18.69,19.70,22.76,18.68,16.83,17.23,18.56,18.88,17.80,17.45,19.05,18.88
2066,18.92,17.22,22.84,18.62,18.58,17.89,21.14,17.34,18.42,16.80,20.00,21.83,23.19,23.17,22.20,19.39,17.97,23.23,22.87,18.69,19.81,22.87,18.60,16.88,17.32,18.61,18.87,17.85,17.55,19.00,18.89
2067,18.90,17.15,22.94,18.54,18.71,17.91,21.17,17.28,18.56,16.61,19.93,21.91,23.27,23.25,22.16,19.29,17.85,23.31,22.97,18.58,19.81,22.97,18.74,16.83,17.36,18.57,19.01,17.84,17.49,19.06,18.94
2068,18.93,17.15,22.87,18.61,18.66,17.87,21.16,17.32,18.51,16.74,20.07,21.85,23.25,23.25,22.14,19.43,17.93,23.32,22.90,18.65,19.84,22.90,18.76,16.97,17.44,18.55,19.02,17.87,17.47,19.05,18.95
2069,18.96,17.17,22.95,18.60,18.56,17.88,21.29,17.31,18.51,16.82,20.09,21.96,23.21,23.20,22.27,19.43,18.01,23.25,22.97,18.76,19.82,22.97,18.65,16.94,17.31,18.60,18.94,17.89,17.48,19.12,18.96
2070,18.90,17.13,22.81,18.61,18.61,17.81,21.17,17.30,18.43,16.78,20.03,21.91,23.20,23.16,22.10,19.39,17.97,23.23,22.84,18.60,19.74,22.84,18.66,16.93,17.33,18.52,18.88,17.98,17.53,19.00,18.92
2071,18.98,17.23,23.01,18.69,18.64,18.02,21.21,17.41,18.48,16.80,20.10,21.96,23.36,23.34,22.31,19.43,17.98,23.40,23.06,18.69,20.02,23.06,18.75,16.92,17.39,18.56,18.96,17.92,17.57,19.12,18.98
2072,19.10,17.33,23.05,18.76,18.70,18.10,21.34,17.50,18.65,17.02,20.19,22.06,23.43,23.41,22.31,19.61,18.15,23.47,23.09,18.86,20.04,23.09,18.77,17.11,17.40,18.75,19.06,18.12,17.75,19.21,19.13
