Variable:,tas
,Bahrain,"Central Region","Hamad Town","Hawar Island",Hidd,"Isa Town",Jidhafs,Manama,Muharraq,"Northern Region",Riffa,Sitra,"Western Region"
1995,28.09,27.61,27.61,27.51,27.51,27.61,27.61,27.61,27.61,27.61,27.57,27.61,27.56
1996,28.22,27.78,27.78,27.56,27.56,27.78,27.78,27.78,27.78,27.78,27.68,27.78,27.67
1997,28.30,27.89,27.89,27.79,27.79,27.89,27.89,27.89,27.89,27.89,27.85,27.89,27.84
1998,28.18,27.82,27.82,27.64,27.64,27.82,27.82,27.82,27.82,27.82,27.74,27.82,27.73
1999,28.20,27.79,27.79,27.71,27.71,27.79,27.79,27.79,27.79,27.79,27.76,27.79,27.75
2000,28.29,27.94,27.94,27.71,27.71,27.94,27.94,27.94,27.94,27.94,27.84,27.94,27.83
2001,28.70,28.34,28.34,28.18,28.18,28.34,28.34,28.34,28.34,28.34,28.27,28.34,28.26
2002,28.48,28.09,28.09,28.02,28.02,28.09,28.09,28.09,28.09,28.09,28.06,28.09,28.06
2003,28.52,28.14,28.14,28.01,28.01,28.14,28.14,28.14,28.14,28.14,28.08,28.14,28.08
2004,28.37,28.00,28.00,27.91,27.91,28.00,28.00,28.00,28.00,28.00,27.96,28.00,27.96
2005,28.57,28.21,28.21,28.05,28.05,28.21,28.21,28.21,28.21,28.21,28.14,28.21,28.13
2006,28.72,28.34,28.34,28.24,28.24,28.34,28.34,28.34,28.34,28.34,28.30,28.34,28.29
2007,28.69,28.27,28.27,28.22,28.22,28.27,28.27,28.27,28.27,28.27,28.25,28.27,28.25
2008,28.69,28.51,28.51,28.49,28.49,28.51,28.51,28.51,28.51,28.51,28.50,28.51,28.50
2009,28.58,28.19,28.19,28.07,28.07,28.19,28.19,28.19,28.19,28.19,28.14,28.19,28.13
2010,28.74,28.35,28.35,28.38,28.38,28.35,28.35,28.35,28.35,28.35,28.36,28.35,28.36
2011,28.83,28.48,28.48,28.42,28.42,28.48,28.48,28.48,28.48,28.48,28.45,28.48,28.45
2012,28.92,28.52,28.52,28.46,28.46,28.52,28.52,28.52,28.52,28.52,28.49,28.52,28.49
2013,28.68,28.31,28.31,28.32,28.32,28.31,28.31,28.31,28.31,28.31,28.31,28.31,28.31
2014,28.91,28.59,28.59,28.49,28.49,28.59,28.59,28.59,28.59,28.59,28.55,28.59,28.54
