Variable:,tas
,"Congo (Republic of the)",Bouenza,Cuvette,Cuvette-Ouest,Lekoumou,Likouala,Niari,Plateaux,Sangha,Pool,Brazzaville,Kouilou,Point-Noire
1995,24.85,24.87,25.48,24.59,24.58,25.07,25.25,24.30,24.68,24.45,24.47,25.42,25.39
1996,24.83,24.92,25.41,24.59,24.65,25.00,25.28,24.34,24.61,24.55,24.53,25.41,25.39
1997,25.03,25.08,25.67,24.86,24.78,25.21,25.43,24.50,24.82,24.68,24.60,25.57,25.53
1998,24.95,24.95,25.52,24.68,24.71,25.17,25.32,24.39,24.74,24.66,24.58,25.42,25.38
1999,24.91,24.99,25.50,24.65,24.71,25.11,25.36,24.36,24.73,24.55,24.54,25.48,25.44
2000,25.07,25.11,25.62,24.74,24.86,25.23,25.53,24.54,24.91,24.79,24.63,25.67,25.64
2001,25.21,25.31,25.79,24.94,25.03,25.38,25.65,24.69,25.00,24.91,24.92,25.79,25.76
2002,25.17,25.32,25.75,24.89,25.04,25.32,25.58,24.64,24.95,25.02,24.98,25.65,25.62
2003,25.13,25.21,25.71,24.89,24.93,25.32,25.58,24.58,24.95,24.78,24.78,25.84,25.85
2004,25.34,25.32,25.93,25.08,25.09,25.59,25.72,24.73,25.17,24.98,24.92,25.86,25.85
2005,25.25,25.26,25.87,24.98,25.00,25.44,25.64,24.77,25.03,24.85,24.91,25.74,25.72
2006,25.20,25.26,25.79,24.92,24.98,25.36,25.65,24.70,24.98,24.83,24.84,25.79,25.77
2007,25.14,25.27,25.69,24.89,24.96,25.31,25.60,24.62,24.96,24.84,24.74,25.75,25.73
2008,25.41,25.54,26.02,25.17,25.30,25.58,25.81,24.86,25.18,25.17,25.30,25.84,25.79
2009,25.29,25.48,25.90,25.06,25.13,25.45,25.76,24.77,25.07,25.05,25.03,25.91,25.86
2010,25.42,25.41,26.02,25.12,25.17,25.67,25.79,24.85,25.20,25.09,25.02,25.93,25.92
2011,25.42,25.45,25.96,25.18,25.25,25.64,25.88,24.85,25.24,25.12,25.11,25.97,25.92
2012,25.42,25.49,25.98,25.20,25.25,25.61,25.85,24.87,25.24,25.09,25.02,25.97,25.94
2013,25.43,25.45,26.06,25.19,25.18,25.64,25.80,24.90,25.25,25.01,24.93,25.91,25.88
2014,25.50,25.61,26.07,25.21,25.33,25.70,25.99,24.93,25.34,25.11,25.10,26.14,26.12
