Variable:,tas
,Finland,Aaland,"Eastern Finland",Lapland,Oulu,"Southern Finland","Western Finland"
1995,3.03,6.79,4.46,0.88,3.13,5.76,5.19
1996,3.07,6.97,4.65,0.64,3.35,5.73,5.35
1997,3.10,6.88,4.60,0.93,3.23,5.74,5.21
1998,3.85,7.53,5.45,1.51,4.12,6.50,5.97
1999,3.08,7.14,4.55,0.83,3.23,5.74,5.35
2000,4.19,7.90,5.89,1.64,4.34,7.30,6.61
2001,3.97,7.88,5.35,1.86,4.12,6.47,6.15
2002,3.71,7.38,5.28,1.46,3.81,6.41,5.84
2003,3.64,7.49,5.12,1.52,3.59,6.48,5.77
2004,3.63,7.57,5.16,1.32,3.81,6.43,5.94
2005,4.01,7.62,5.64,1.77,4.11,6.72,6.13
2006,4.15,7.85,5.53,1.96,4.36,6.89,6.31
2007,3.98,7.58,5.67,1.65,4.13,6.69,6.14
2008,4.35,7.94,5.89,2.14,4.45,7.10,6.47
2009,4.05,7.82,5.64,1.71,4.21,6.76,6.25
2010,4.18,7.76,5.62,2.02,4.37,6.77,6.26
2011,4.55,8.15,6.15,2.24,4.79,7.24,6.72
2012,4.27,8.01,5.86,1.85,4.43,7.15,6.62
2013,4.12,7.83,5.66,1.85,4.28,6.85,6.26
2014,4.37,8.03,5.92,2.08,4.58,6.98,6.57
