Variable:,tas
,Cambodia,"Banteay Meanchey",Battambang,"Kampong Cham","Kampong Chhnang","Kampong Speu","Kampong Thom",Kampot,Kandal,"Koh Kong",Kep,Kratie,"Preah Sihanouk","Mondul Kiri","Otdar Meanchey",Pailin,"Phnom Penh","Preah Vihear","Prey Veng",Pursat,"Ratanak Kiri","Siem Reap","Stung Treng","Svay Rieng",Takeo,"Area under National Administration 2","Area under National Administration 1"
1995,27.56,27.92,27.37,28.13,26.93,27.50,27.75,27.68,27.92,27.68,27.72,27.93,27.64,27.15,28.26,27.93,27.48,28.16,28.23,26.62,26.95,28.02,27.76,28.20,27.65,27.10,27.10
1996,27.39,27.62,27.15,27.98,26.81,27.32,27.59,27.50,27.75,27.51,27.54,27.79,27.45,27.06,27.94,27.66,27.30,27.93,28.07,26.51,26.85,27.81,27.59,28.05,27.47,26.96,26.96
1997,27.78,27.99,27.48,28.34,27.14,27.62,27.98,27.72,28.05,27.74,27.75,28.22,27.61,27.48,28.42,27.97,27.61,28.36,28.36,26.81,27.25,28.13,28.01,28.33,27.72,27.28,27.28
1998,27.73,28.11,27.53,28.25,27.04,27.52,27.92,27.63,27.96,27.71,27.65,28.08,27.62,27.33,28.58,28.01,27.50,28.37,28.27,26.78,27.12,28.23,27.91,28.25,27.62,27.28,27.28
1999,27.82,28.25,27.68,28.28,27.18,27.56,27.99,27.66,27.99,27.69,27.68,28.13,27.61,27.40,28.59,28.10,27.54,28.43,28.31,26.93,27.24,28.35,28.00,28.28,27.65,27.44,27.44
2000,27.59,27.89,27.35,28.11,26.97,27.45,27.78,27.63,27.85,27.59,27.67,27.98,27.57,27.24,28.28,27.86,27.43,28.19,28.14,26.65,27.03,28.04,27.80,28.14,27.59,27.14,27.14
2001,27.94,28.20,27.70,28.49,27.35,27.77,28.17,27.97,28.19,28.00,28.01,28.34,27.93,27.62,28.55,28.21,27.74,28.52,28.50,27.03,27.42,28.38,28.16,28.49,27.92,27.52,27.52
2002,27.79,28.04,27.51,28.39,27.20,27.63,28.02,27.72,28.09,27.72,27.74,28.23,27.62,27.48,28.41,28.02,27.62,28.35,28.41,26.82,27.25,28.22,27.96,28.40,27.72,27.35,27.35
2003,27.66,27.94,27.45,28.23,27.11,27.60,27.89,27.74,27.99,27.74,27.77,28.04,27.66,27.26,28.27,27.94,27.58,28.25,28.28,26.80,27.05,28.16,27.83,28.26,27.72,27.27,27.27
2004,28.05,28.30,27.76,28.68,27.36,27.82,28.28,27.99,28.34,28.00,28.03,28.48,27.90,27.70,28.72,28.28,27.80,28.66,28.71,27.05,27.48,28.48,28.25,28.68,27.97,27.55,27.55
2005,27.85,28.05,27.56,28.50,27.27,27.78,28.12,27.95,28.22,27.91,27.98,28.33,27.86,27.55,28.36,28.11,27.77,28.41,28.52,26.90,27.27,28.25,28.04,28.51,27.92,27.39,27.39
2006,27.87,28.11,27.59,28.46,27.23,27.68,28.13,27.87,28.15,27.87,27.91,28.29,27.74,27.50,28.52,28.08,27.66,28.52,28.49,26.92,27.24,28.34,28.05,28.46,27.84,27.40,27.40
2007,27.81,28.01,27.53,28.40,27.20,27.72,28.01,27.83,28.16,27.84,27.86,28.23,27.76,27.49,28.34,28.03,27.71,28.36,28.48,26.87,27.30,28.22,28.03,28.47,27.83,27.34,27.34
2008,28.12,28.34,27.80,28.67,27.59,28.03,28.34,28.13,28.43,28.02,28.17,28.57,27.86,27.86,28.65,28.27,28.03,28.66,28.71,27.13,27.62,28.54,28.34,28.68,28.14,27.69,27.69
2009,27.91,28.18,27.67,28.47,27.28,27.74,28.12,27.85,28.18,27.86,27.87,28.31,27.78,27.57,28.58,28.16,27.72,28.51,28.50,26.98,27.31,28.36,28.09,28.50,27.84,27.47,27.47
2010,27.99,28.19,27.66,28.50,27.32,27.79,28.17,27.93,28.21,27.95,27.96,28.37,27.86,27.67,28.62,28.18,27.77,28.59,28.52,26.97,27.49,28.36,28.27,28.52,27.91,27.47,27.47
2011,28.02,28.27,27.74,28.60,27.42,27.85,28.26,27.99,28.31,27.95,28.02,28.43,27.86,27.67,28.68,28.19,27.84,28.61,28.64,27.05,27.49,28.47,28.24,28.61,27.97,27.58,27.58
2012,28.21,28.45,27.94,28.77,27.59,28.02,28.40,28.08,28.51,28.18,28.10,28.64,27.98,27.95,28.86,28.45,28.00,28.77,28.86,27.26,27.72,28.61,28.44,28.81,28.10,27.75,27.75
2013,28.09,28.43,27.89,28.76,27.49,27.97,28.31,28.12,28.52,28.16,28.15,28.52,28.09,27.71,28.75,28.38,27.95,28.65,28.91,27.19,27.44,28.57,28.20,28.86,28.10,27.68,27.68
2014,28.06,28.47,27.84,28.59,27.38,27.92,28.23,28.14,28.34,28.05,28.18,28.42,28.04,27.70,28.83,28.28,27.90,28.66,28.65,27.04,27.49,28.61,28.21,28.64,28.09,27.60,27.60
