Variable:,tas
,"Sri Lanka",Central,Eastern,"North Central","North Western",Northern,Sabaragamuwa,Southern,Uva,Western
1995,27.32,27.35,26.16,27.81,27.36,28.35,27.13,27.05,26.37,27.12
1996,27.24,27.24,26.03,27.75,27.28,28.32,27.07,27.02,26.30,27.07
1997,27.47,27.50,26.29,27.99,27.53,28.51,27.28,27.18,26.51,27.27
1998,27.37,27.36,26.17,27.90,27.43,28.44,27.17,27.09,26.40,27.18
1999,27.39,27.42,26.19,27.88,27.46,28.44,27.20,27.12,26.43,27.21
2000,27.53,27.50,26.34,28.03,27.54,28.60,27.30,27.23,26.57,27.29
2001,27.56,27.55,26.40,28.03,27.59,28.55,27.38,27.34,26.67,27.39
2002,27.49,27.50,26.27,27.99,27.55,28.55,27.33,27.27,26.54,27.35
2003,27.56,27.57,26.39,28.04,27.59,28.60,27.41,27.33,26.63,27.41
2004,27.78,27.72,26.65,28.24,27.75,28.76,27.59,27.52,26.85,27.58
2005,27.76,27.70,26.62,28.20,27.74,28.72,27.51,27.42,26.77,27.51
2006,27.52,27.53,26.33,28.06,27.60,28.59,27.33,27.24,26.56,27.34
2007,27.66,27.68,26.49,28.20,27.70,28.69,27.44,27.34,26.67,27.43
2008,27.77,27.84,26.59,28.26,27.86,28.80,27.62,27.53,26.84,27.62
2009,27.67,27.65,26.46,28.17,27.71,28.75,27.43,27.35,26.67,27.44
2010,27.81,27.90,26.65,28.30,27.86,28.78,27.67,27.58,26.92,27.62
2011,27.75,27.71,26.60,28.27,27.75,28.79,27.56,27.50,26.82,27.57
2012,27.83,27.85,26.66,28.32,27.87,28.85,27.63,27.55,26.89,27.63
2013,27.81,27.88,26.59,28.35,27.93,28.91,27.62,27.51,26.82,27.63
2014,27.70,27.73,26.52,28.19,27.76,28.75,27.53,27.47,26.79,27.53
