Variable:,tas
,Mexico,Aguascalientes,"Baja California","Baja California Sur",Campeche,Chiapas,Chihuahua,Coahuila,Colima,"Distrito Federal",Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,Mexico,Michoacan,Morelos,Nayarit,"Nuevo Leon",Oaxaca,Puebla,Queretaro,"Quintana Roo","San Luis Potosi",Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatan,Zacatecas
1995,21.45,18.90,18.33,21.68,26.81,24.63,18.64,20.71,26.12,18.60,19.44,18.33,26.41,16.73,22.54,20.75,24.93,23.79,24.03,20.61,23.48,20.39,17.55,26.18,18.80,25.04,23.07,24.90,23.07,18.24,21.75,26.54,18.49
1996,21.46,19.02,18.16,21.65,26.77,24.63,18.71,20.56,26.28,18.63,19.56,18.44,26.47,16.77,22.70,20.80,25.05,23.77,24.18,20.57,23.39,20.30,17.63,26.30,18.83,25.18,23.06,24.95,23.06,18.20,21.69,26.87,18.56
1997,21.63,19.15,18.10,21.66,27.10,24.92,18.97,20.76,26.44,18.92,19.70,18.59,26.68,17.00,22.84,21.07,25.22,24.10,24.36,20.73,23.65,20.59,17.83,26.54,18.99,25.28,22.99,25.20,23.25,18.47,21.95,26.93,18.74
1998,21.51,18.95,18.25,21.69,26.98,24.69,18.67,20.61,26.30,18.74,19.52,18.49,26.52,16.88,22.66,20.89,25.06,23.90,24.17,20.67,23.47,20.45,17.76,26.35,18.88,25.18,23.06,25.14,23.22,18.35,21.92,26.90,18.49
1999,21.60,19.10,18.08,21.59,26.97,24.85,18.86,20.98,26.31,18.79,19.74,18.47,26.51,16.89,22.70,20.93,25.11,23.93,24.20,20.90,23.52,20.53,17.72,26.38,18.94,25.20,22.95,25.21,23.27,18.41,21.90,26.79,18.70
2000,21.62,19.16,18.44,21.86,26.88,24.86,18.74,20.76,26.50,18.77,19.69,18.58,26.61,16.92,22.85,20.93,25.21,23.89,24.33,20.74,23.58,20.46,17.74,26.45,19.03,25.30,23.24,25.16,23.29,18.38,21.89,26.84,18.74
2001,21.74,19.19,18.39,21.94,27.19,25.05,18.90,20.91,26.53,19.01,19.78,18.69,26.76,17.16,22.89,21.14,25.32,24.14,24.43,20.86,23.73,20.72,17.96,26.57,19.14,25.42,23.29,25.37,23.35,18.61,22.08,26.89,18.79
2002,21.75,19.14,18.70,22.15,26.98,24.98,18.95,20.98,26.45,18.96,19.78,18.70,26.70,17.09,22.84,21.11,25.29,24.11,24.36,21.01,23.73,20.64,17.97,26.42,19.06,25.46,23.32,25.28,23.45,18.55,21.98,26.73,18.76
2003,21.79,19.30,18.57,22.04,27.33,25.19,18.94,20.77,26.50,19.13,19.80,18.96,26.81,17.33,22.91,21.27,25.34,24.22,24.42,20.78,23.92,20.81,18.28,26.70,19.35,25.41,23.22,25.61,23.35,18.69,22.33,27.05,18.85
2004,21.86,19.48,18.51,21.89,27.17,25.17,19.14,20.94,26.59,19.24,19.93,19.02,26.86,17.21,23.08,21.36,25.51,24.38,24.56,20.86,23.95,20.88,18.18,26.56,19.27,25.45,23.36,25.45,23.43,18.75,22.17,26.89,18.99
2005,21.89,19.33,18.66,22.06,27.17,25.11,19.06,21.15,26.64,19.04,19.97,18.77,26.93,17.15,23.01,21.22,25.45,24.28,24.47,21.19,23.89,20.77,17.98,26.67,19.20,25.45,23.42,25.35,23.62,18.65,22.11,26.89,18.98
2006,21.88,19.29,18.51,22.00,27.14,24.98,19.04,21.33,26.49,19.00,19.88,18.84,26.68,17.15,22.91,21.13,25.30,24.09,24.35,21.43,23.73,20.74,18.01,26.58,19.40,25.42,23.24,25.42,23.73,18.66,22.14,27.06,19.01
2007,21.84,19.45,18.55,22.05,27.10,25.05,19.00,21.04,26.51,19.12,19.91,18.92,26.76,17.27,22.98,21.25,25.39,24.25,24.44,21.05,23.84,20.84,18.13,26.62,19.36,25.41,23.28,25.38,23.52,18.79,22.17,26.97,18.95
2008,21.88,19.32,18.64,22.08,27.17,25.13,19.08,20.96,26.62,19.09,19.95,18.81,26.83,17.19,23.02,21.24,25.39,24.26,24.52,21.03,23.84,20.79,18.05,26.63,19.26,25.59,23.53,25.48,23.55,18.67,22.18,26.99,18.97
2009,21.89,19.49,18.45,21.95,27.13,25.07,19.19,21.03,26.56,19.18,19.98,18.92,26.79,17.31,23.05,21.31,25.42,24.29,24.52,20.98,23.82,20.88,18.11,26.63,19.25,25.62,23.48,25.45,23.47,18.84,22.17,26.98,19.02
2010,21.95,19.43,18.54,22.00,27.42,25.31,19.09,21.20,26.64,19.25,20.01,18.92,26.88,17.25,23.07,21.36,25.51,24.31,24.53,21.16,23.94,20.87,18.10,26.78,19.32,25.57,23.43,25.68,23.63,18.76,22.26,27.25,19.02
2011,21.99,19.61,18.87,22.19,27.35,25.19,19.21,21.15,26.55,19.21,19.97,19.04,26.84,17.42,23.06,21.33,25.44,24.30,24.48,21.18,23.89,20.91,18.25,26.76,19.51,25.50,23.49,25.56,23.64,18.83,22.35,27.10,19.11
2012,22.04,19.42,18.77,22.15,27.41,25.32,19.34,21.28,26.64,19.18,20.06,18.98,26.89,17.30,23.09,21.32,25.50,24.27,24.53,21.18,23.94,20.84,18.17,26.81,19.30,25.64,23.67,25.68,23.58,18.77,22.28,27.12,19.05
2013,22.06,19.59,18.76,22.33,27.30,25.31,19.29,21.19,26.70,19.33,20.13,19.08,27.03,17.38,23.18,21.46,25.61,24.48,24.59,21.22,24.07,21.00,18.26,26.81,19.45,25.63,23.52,25.55,23.73,18.88,22.35,27.17,19.17
2014,22.14,19.46,18.99,22.30,27.31,25.28,19.58,21.47,26.68,19.21,20.24,18.88,26.99,17.24,23.10,21.35,25.55,24.36,24.65,21.24,23.99,20.86,18.08,26.83,19.32,25.75,23.87,25.50,23.69,18.74,22.24,27.25,19.15
