Variable:,tas
,Macedonia,Berovo,Bitola,Brod,Debar,Delcevo,"Demir Hisar",Gevgelija,Gostivar,Kavadarci,Kicevo,Kocani,Kratovo,"Kriva Palanka",Krusevo,Kumanovo,Negotino,Ohrid,Prilep,Probistip,Radovic,Resen,Skopje,Stip,Struga,Strumica,"Sveti Nikole",Tetovo,Valandovo,Veles,Vinica
1995,10.82,11.74,10.64,10.41,13.12,11.67,10.75,11.69,12.93,11.01,12.30,11.66,11.41,11.61,10.41,9.46,11.68,13.19,10.41,11.66,11.69,11.92,10.00,11.66,13.12,11.69,10.79,10.56,11.69,10.43,11.69
1996,10.71,11.68,10.57,10.24,13.35,11.58,10.63,11.63,13.13,10.89,12.41,11.55,11.25,11.44,10.24,9.39,11.62,13.42,10.24,11.55,11.63,12.05,9.87,11.59,13.35,11.63,10.66,10.58,11.63,10.26,11.63
1997,10.94,11.88,10.82,10.50,13.58,11.79,10.89,11.83,13.36,11.13,12.65,11.77,11.49,11.68,10.50,9.64,11.82,13.64,10.50,11.77,11.83,12.26,10.13,11.80,13.58,11.83,10.90,10.83,11.83,10.52,11.83
1998,10.66,11.54,10.52,10.20,13.33,11.47,10.59,11.49,13.11,10.81,12.39,11.46,11.23,11.42,10.20,9.35,11.48,13.40,10.20,11.46,11.49,11.99,9.83,11.46,13.33,11.49,10.59,10.57,11.49,10.22,11.49
1999,10.82,11.76,10.67,10.37,13.47,11.67,10.76,11.71,13.25,11.00,12.54,11.64,11.36,11.55,10.37,9.51,11.70,13.53,10.37,11.65,11.71,12.12,10.00,11.68,13.47,11.71,10.77,10.72,11.71,10.39,11.71
2000,11.11,11.96,10.92,10.60,13.68,11.91,10.99,11.91,13.46,11.22,12.75,11.91,11.71,11.90,10.60,9.86,11.90,13.74,10.60,11.91,11.91,12.36,10.28,11.88,13.68,11.91,11.00,11.02,11.91,10.62,11.91
2001,11.18,12.04,10.99,10.72,13.78,11.99,11.10,11.99,13.56,11.32,12.86,11.98,11.78,11.97,10.72,9.95,11.98,13.83,10.72,11.98,11.99,12.40,10.39,11.96,13.78,11.99,11.11,11.12,11.99,10.74,11.99
2002,10.81,11.74,10.78,10.46,13.37,11.65,10.83,11.69,13.16,11.04,12.49,11.62,11.33,11.52,10.46,9.44,11.68,13.44,10.46,11.62,11.69,12.17,10.03,11.66,13.37,11.69,10.83,10.69,11.69,10.48,11.69
2003,11.21,12.24,11.03,10.72,13.82,12.13,11.11,12.19,13.60,11.41,12.89,12.09,11.76,11.95,10.72,9.84,12.18,13.89,10.72,12.09,12.19,12.49,10.34,12.15,13.82,12.19,11.17,11.05,12.19,10.74,12.19
2004,11.30,12.24,11.15,10.84,13.89,12.17,11.22,12.19,13.67,11.48,12.97,12.15,11.89,12.09,10.84,9.90,12.18,13.95,10.84,12.15,12.19,12.59,10.44,12.15,13.89,12.19,11.25,11.12,12.19,10.86,12.19
2005,11.46,12.27,11.19,10.90,13.92,12.26,11.28,12.22,13.71,11.52,13.01,12.29,12.18,12.38,10.90,10.16,12.21,13.98,10.90,12.28,12.22,12.59,10.57,12.19,13.92,12.22,11.30,11.27,12.22,10.92,12.22
2006,11.21,12.16,11.12,10.79,13.93,12.06,11.18,12.11,13.71,11.41,12.98,12.02,11.72,11.91,10.79,9.89,12.10,13.99,10.79,12.03,12.11,12.58,10.40,12.08,13.93,12.11,11.19,11.13,12.11,10.81,12.11
2007,11.31,12.18,11.28,10.99,14.06,12.10,11.38,12.13,13.84,11.53,13.13,12.08,11.83,12.01,10.99,10.03,12.12,14.11,10.99,12.08,12.13,12.70,10.58,12.10,14.06,12.13,11.33,11.28,12.13,11.01,12.13
2008,11.42,12.43,11.29,10.97,14.16,12.32,11.37,12.38,13.93,11.63,13.20,12.28,11.95,12.14,10.97,10.10,12.37,14.22,10.97,12.28,12.38,12.78,10.60,12.34,14.16,12.38,11.40,11.34,12.38,10.99,12.38
2009,11.22,12.18,11.06,10.74,13.85,12.09,11.13,12.13,13.63,11.39,12.91,12.06,11.78,11.97,10.74,9.93,12.12,13.91,10.74,12.07,12.13,12.51,10.39,12.09,13.85,12.13,11.16,11.12,12.13,10.76,12.13
2010,11.32,12.17,11.15,10.85,13.99,12.12,11.24,12.12,13.77,11.45,13.04,12.11,11.91,12.10,10.85,10.06,12.11,14.06,10.85,12.11,12.12,12.62,10.51,12.09,13.99,12.12,11.24,11.24,12.12,10.87,12.12
2011,11.76,12.67,11.44,11.15,14.13,12.62,11.52,12.62,13.92,11.84,13.23,12.62,12.41,12.61,11.15,10.44,12.61,14.20,11.15,12.62,12.62,12.85,10.84,12.58,14.13,12.62,11.60,11.54,12.62,11.17,12.62
2012,11.61,12.53,11.37,11.08,14.04,12.46,11.45,12.48,13.83,11.74,13.15,12.45,12.21,12.40,11.08,10.30,12.47,14.10,11.08,12.45,12.48,12.76,10.74,12.44,14.04,12.48,11.51,11.42,12.48,11.10,12.48
2013,11.50,12.48,11.33,11.00,13.99,12.39,11.38,12.43,13.78,11.67,13.09,12.37,12.08,12.28,11.00,10.15,12.42,14.05,11.00,12.37,12.43,12.74,10.63,12.39,13.99,12.43,11.43,11.32,12.43,11.02,12.43
2014,11.54,12.65,11.31,10.99,14.03,12.53,11.37,12.60,13.81,11.75,13.11,12.47,12.10,12.30,10.99,10.11,12.59,14.08,10.99,12.48,12.60,12.73,10.61,12.56,14.03,12.60,11.48,11.29,12.60,11.02,12.60
