Variable:,tas
,Mongolia,Arxangai,Bayan-O'lgii,Bayanxongor,Bulgan,Darxan-Uul,Dornod,Dornogovi,Dundgovi,Govisu'mber,Govi-Altai,Xentii,Xovd,Xo'vsgol,O'mnogovi,Orxon,O'vorxangai,Selenge,Su'xbaatar,To'v,Ulaanbaatar,Uvs,Zavxan
1995,0.86,-3.20,-3.23,2.34,-0.09,0.52,1.09,5.32,4.42,1.95,3.24,-0.03,0.56,-4.14,6.78,-0.03,3.64,-0.21,2.40,0.34,-0.21,-2.06,-2.51
1996,1.25,-2.92,-2.88,2.96,0.05,0.65,1.39,5.80,4.91,2.41,3.91,0.23,1.04,-4.03,7.26,-0.05,4.29,-0.10,2.76,0.56,0.02,-1.66,-2.11
1997,1.27,-3.00,-3.04,2.78,0.20,0.85,1.53,6.11,5.08,2.61,3.79,0.39,0.89,-4.07,7.27,0.25,4.23,0.11,3.09,0.80,0.25,-1.87,-2.34
1998,1.20,-3.05,-2.93,2.62,0.14,0.71,1.39,5.94,4.99,2.72,3.62,0.37,0.99,-4.01,7.09,0.18,4.02,0.01,2.84,0.77,0.27,-1.66,-2.25
1999,1.04,-3.06,-3.14,2.50,0.08,0.69,1.31,5.77,4.56,2.08,3.45,0.12,0.85,-4.04,6.97,0.11,3.79,-0.05,2.79,0.40,-0.17,-1.80,-2.48
2000,1.55,-2.62,-2.71,2.85,0.72,1.33,1.83,6.18,5.28,3.20,3.76,0.89,1.12,-3.63,7.28,0.73,4.38,0.62,3.39,1.40,0.88,-1.45,-2.00
2001,2.01,-2.33,-2.41,3.35,0.99,1.50,2.55,6.68,5.73,3.51,4.35,1.35,1.59,-3.33,7.77,1.06,4.77,0.83,3.85,1.56,1.01,-0.87,-1.45
2002,1.70,-2.56,-2.39,3.01,0.68,1.13,2.03,6.19,5.33,3.10,4.18,0.92,1.56,-3.44,7.38,0.55,4.38,0.43,3.36,1.16,0.65,-0.97,-1.51
2003,1.61,-2.55,-2.50,3.05,0.62,1.18,1.63,6.20,5.36,3.01,4.06,0.66,1.43,-3.54,7.54,0.54,4.52,0.46,3.14,1.25,0.75,-1.15,-1.71
2004,1.70,-2.70,-2.55,3.09,0.70,1.23,1.96,6.37,5.43,3.07,4.16,0.83,1.37,-3.53,7.82,0.68,4.53,0.49,3.40,1.25,0.69,-1.22,-1.75
2005,2.01,-2.32,-2.02,3.51,1.00,1.45,2.12,6.54,5.66,3.22,4.56,1.16,1.85,-3.17,7.86,0.93,4.84,0.82,3.63,1.49,0.94,-0.79,-1.34
2006,2.09,-2.08,-1.80,3.58,1.16,1.61,2.23,6.60,5.77,3.37,4.58,1.13,2.01,-3.04,7.93,1.10,4.91,0.91,3.65,1.60,1.05,-0.74,-1.35
2007,1.52,-2.77,-2.52,2.89,0.54,1.12,1.85,6.07,5.15,2.90,4.07,0.75,1.33,-3.79,7.35,0.52,4.20,0.39,3.26,1.07,0.53,-1.26,-1.88
2008,1.36,-3.10,-2.68,2.76,0.22,0.86,1.68,6.20,5.15,2.89,3.76,0.55,1.09,-3.95,7.32,0.22,4.10,0.16,3.17,0.84,0.32,-1.56,-2.17
2009,1.72,-2.53,-2.17,3.15,0.75,1.49,1.77,6.28,5.48,2.95,4.22,0.75,1.55,-3.46,7.54,0.87,4.72,0.77,3.36,1.26,0.67,-1.16,-1.79
2010,1.76,-2.48,-2.26,3.33,0.63,1.19,1.89,6.33,5.30,2.93,4.39,0.85,1.69,-3.42,7.71,0.62,4.41,0.45,3.30,1.11,0.64,-0.83,-1.38
2011,1.85,-2.42,-2.26,3.36,0.76,1.19,2.15,6.34,5.45,3.22,4.45,0.95,1.72,-3.35,7.76,0.68,4.67,0.54,3.46,1.31,0.78,-0.98,-1.57
2012,2.03,-2.23,-2.03,3.59,0.91,1.48,2.23,6.52,5.65,3.34,4.60,1.10,1.90,-3.10,7.96,0.87,4.80,0.80,3.53,1.50,0.96,-0.74,-1.34
2013,2.00,-2.35,-2.12,3.34,0.93,1.45,2.41,6.68,5.80,3.47,4.32,1.27,1.69,-3.33,7.85,0.98,4.80,0.75,3.74,1.49,0.89,-0.81,-1.38
2014,1.95,-2.29,-1.99,3.43,0.85,1.60,2.20,6.36,5.55,3.03,4.52,1.04,1.92,-3.26,7.85,0.92,4.81,0.78,3.48,1.23,0.68,-0.93,-1.33
