Variable:,tas
,Mozambique,"Cabo Delgado",Gaza,Inhambane,Manica,Nampula,Niassa,Sofala,Tete,Zambezia,Maputo,"Lago niassa"
1995,24.51,25.37,23.88,24.20,22.62,25.11,23.58,24.59,24.61,25.04,22.99,22.55
1996,24.43,25.07,23.80,24.20,22.64,24.92,23.46,24.60,24.73,24.96,22.89,22.48
1997,24.61,25.17,24.42,24.66,22.98,24.98,23.46,24.82,24.79,25.06,23.21,22.40
1998,24.51,25.16,24.01,24.32,22.71,24.97,23.52,24.65,24.83,25.02,23.13,22.53
1999,24.56,25.28,24.11,24.51,22.77,25.00,23.50,24.73,24.75,24.98,23.28,22.44
2000,24.49,25.14,24.16,24.42,22.75,24.96,23.44,24.67,24.71,24.96,23.30,22.43
2001,24.93,25.58,24.41,24.74,23.07,25.43,23.95,25.03,25.17,25.55,23.56,22.95
2002,24.76,25.63,24.06,24.42,22.89,25.39,23.82,24.83,24.87,25.34,23.15,22.75
2003,24.85,25.46,24.59,24.77,23.18,25.26,23.76,25.04,25.05,25.36,23.49,22.71
2004,24.90,25.63,24.22,24.60,23.10,25.39,23.97,24.96,25.35,25.33,23.38,23.02
2005,24.74,25.34,24.35,24.67,23.07,25.13,23.66,25.03,25.01,25.15,23.43,22.70
2006,24.65,25.41,24.05,24.33,22.83,25.17,23.67,24.89,24.85,25.20,23.27,22.69
2007,24.78,25.49,24.23,24.61,22.98,25.23,23.85,24.87,25.01,25.28,23.24,22.91
2008,24.89,25.71,24.37,24.61,23.03,25.35,23.99,24.89,25.21,25.38,23.30,23.01
2009,24.67,25.47,24.31,24.57,22.89,25.12,23.67,24.80,24.75,25.05,23.39,22.65
2010,24.89,25.62,24.34,24.58,22.98,25.40,23.89,25.09,25.12,25.43,23.44,22.92
2011,24.88,25.74,24.35,24.68,22.98,25.43,23.94,24.92,24.98,25.33,23.47,22.88
2012,25.01,25.85,24.35,24.70,23.12,25.53,24.05,25.08,25.31,25.50,23.59,23.09
2013,25.15,25.79,24.75,24.98,23.48,25.58,24.11,25.37,25.38,25.68,23.64,23.08
2014,25.05,25.66,24.59,24.83,23.26,25.53,24.03,25.24,25.37,25.61,23.74,23.00
