Variable:,tas
,Suriname,Brokopondo,Commewijne,Coronie,Marowijne,Nickerie,Para,Paramaribo,Saramacca,Sipaliwini,Wanica
1995,26.39,26.31,26.91,26.82,26.89,26.81,26.95,26.97,26.97,26.24,26.97
1996,26.28,26.16,26.74,26.61,26.73,26.63,26.77,26.79,26.79,26.16,26.79
1997,26.60,26.47,27.01,26.75,27.03,26.76,26.96,26.94,26.94,26.57,26.94
1998,26.55,26.44,26.87,26.99,26.85,27.02,26.92,26.94,26.94,26.51,26.94
1999,26.20,26.00,26.67,26.52,26.69,26.56,26.62,26.60,26.60,26.05,26.60
2000,26.39,26.18,26.83,26.69,26.85,26.72,26.80,26.78,26.78,26.33,26.78
2001,26.89,26.78,27.26,27.16,27.27,27.14,27.24,27.23,27.23,26.88,27.23
2002,26.91,26.80,27.22,27.11,27.22,27.12,27.21,27.21,27.21,26.91,27.21
2003,26.86,26.81,27.27,27.10,27.26,27.11,27.28,27.29,27.29,26.78,27.29
2004,26.94,26.81,27.47,27.40,27.45,27.41,27.52,27.55,27.55,26.82,27.55
2005,27.22,27.23,27.82,27.61,27.82,27.55,27.80,27.80,27.80,27.11,27.80
2006,26.82,26.75,27.33,27.19,27.36,27.18,27.28,27.25,27.25,26.66,27.25
2007,26.71,26.62,27.18,27.02,27.18,27.06,27.18,27.18,27.18,26.65,27.18
2008,27.00,26.87,27.44,27.29,27.46,27.30,27.39,27.36,27.36,26.95,27.36
2009,26.87,26.83,27.41,27.18,27.42,27.17,27.38,27.37,27.37,26.73,27.37
2010,26.84,26.73,27.29,27.20,27.29,27.19,27.29,27.29,27.29,26.69,27.29
2011,27.02,26.99,27.52,27.31,27.52,27.32,27.50,27.50,27.50,26.94,27.50
2012,27.05,26.95,27.49,27.43,27.49,27.42,27.47,27.47,27.47,26.98,27.47
2013,26.79,26.64,27.23,27.18,27.22,27.25,27.24,27.25,27.25,26.68,27.25
2014,27.12,27.08,27.41,27.41,27.38,27.36,27.48,27.51,27.51,27.02,27.51
