Variable:,tas
,Tajikistan,"Badakhshoni Kuni",Khatlon,Sogd,"Tadzhikistan Territories"
1995,3.95,-0.33,16.34,8.11,9.12
1996,4.00,-0.45,16.44,8.26,9.20
1997,3.93,-0.53,16.37,8.16,9.11
1998,3.97,-0.47,16.35,8.21,9.17
1999,4.53,0.25,16.85,8.58,9.68
2000,4.47,0.14,16.76,8.50,9.63
2001,4.46,0.07,16.86,8.62,9.63
2002,4.70,0.27,17.10,8.91,9.92
2003,4.30,-0.05,16.73,8.40,9.49
2004,4.68,0.36,16.97,8.65,9.85
2005,4.49,0.03,17.02,8.70,9.74
2006,4.84,0.40,17.27,8.91,10.05
2007,4.66,0.09,17.25,9.00,9.94
2008,4.46,0.02,16.86,8.67,9.67
2009,4.86,0.42,17.26,9.05,10.08
2010,4.82,0.28,17.17,9.16,10.08
2011,4.94,0.52,17.45,9.12,10.17
2012,5.08,0.75,17.36,9.12,10.21
2013,4.72,0.25,17.17,8.95,9.96
2014,4.86,0.58,17.22,8.96,10.02
