Variable:,tas
,"Tanzania, United Republic of",Arusha,Dar-es-salaam,Dodoma,Kigoma,Kilimanjaro,Lindi,Manyara,Mara,Mbeya,Morogoro,Mtwara,"Kaskazini Pemba","Kaskazini Unguja",Pwani,Ruvuma,Singida,"Kusini Pemba","Kusini Unguja",Tabora,Tanga,"Mjini Magharibi",Geita,Iringa,Kagera,Katavi,Mwanza,Njombe,Rukwa,Shinyanga,Simiyu
1995,22.94,21.44,26.17,22.74,22.73,22.03,24.62,21.53,22.73,21.27,23.65,25.37,26.36,26.41,25.70,22.98,22.22,26.45,26.19,23.04,23.53,26.19,23.10,20.88,21.66,22.73,22.98,21.76,22.01,23.42,23.03
1996,23.02,21.62,26.49,22.92,22.64,22.14,24.78,21.68,22.85,21.07,23.87,25.35,26.47,26.58,26.05,22.80,22.40,26.60,26.49,23.11,23.77,26.49,22.88,20.98,21.54,22.65,22.98,21.60,21.75,23.39,23.17
1997,23.14,21.75,26.57,23.05,22.77,22.27,24.69,21.82,23.07,21.23,23.89,25.30,26.68,26.77,25.98,22.97,22.53,26.80,26.63,23.30,23.85,26.63,23.13,21.08,21.81,22.82,23.20,21.71,21.97,23.59,23.39
1998,23.08,21.60,26.58,22.98,22.71,22.23,24.77,21.71,22.87,21.18,23.95,25.31,26.62,26.68,26.07,23.00,22.45,26.70,26.61,23.19,23.83,26.61,22.93,21.11,21.66,22.76,23.04,21.78,21.87,23.36,23.16
1999,23.05,21.57,26.47,22.95,22.69,22.20,24.78,21.67,22.85,21.13,23.88,25.46,26.61,26.67,25.95,22.96,22.44,26.71,26.50,23.13,23.78,26.50,22.95,21.02,21.62,22.70,23.02,21.68,21.91,23.39,23.11
2000,23.05,21.67,26.36,22.95,22.72,22.17,24.62,21.69,22.94,21.25,23.80,25.22,26.51,26.55,25.89,22.88,22.46,26.58,26.38,23.17,23.80,26.38,23.02,21.03,21.73,22.74,23.09,21.74,21.97,23.44,23.29
2001,23.46,21.94,26.65,23.40,23.08,22.49,25.12,22.10,23.20,21.73,24.30,25.74,26.73,26.84,26.32,23.42,22.93,26.87,26.68,23.62,24.13,26.68,23.33,21.50,22.05,23.18,23.34,22.31,22.45,23.87,23.58
2002,23.36,21.87,26.59,23.21,22.91,22.50,25.21,21.98,23.18,21.49,24.25,25.85,26.67,26.76,26.20,23.31,22.75,26.79,26.62,23.44,24.04,26.62,23.26,21.41,22.01,22.97,23.33,22.04,22.18,23.69,23.47
2003,23.22,21.82,26.50,23.13,22.84,22.27,24.97,21.84,23.04,21.32,24.03,25.61,26.64,26.69,25.96,23.18,22.62,26.72,26.54,23.38,23.81,26.54,23.19,21.16,21.83,22.91,23.23,21.91,22.04,23.68,23.38
2004,23.44,21.92,26.61,23.28,23.25,22.37,24.99,21.97,23.29,21.77,24.21,25.72,26.74,26.80,26.12,23.31,22.89,26.83,26.65,23.65,23.97,26.65,23.56,21.50,22.27,23.30,23.55,22.13,22.45,23.92,23.59
2005,23.25,21.85,26.56,23.09,22.89,22.43,24.93,21.81,23.19,21.30,24.02,25.58,26.75,26.80,26.06,23.16,22.56,26.84,26.58,23.31,23.90,26.58,23.17,21.17,21.98,22.97,23.30,21.87,22.05,23.59,23.39
2006,23.24,21.64,26.70,23.15,22.96,22.30,24.95,21.80,22.97,21.47,24.06,25.57,26.83,26.91,26.10,23.24,22.61,26.94,26.74,23.34,23.94,26.74,23.14,21.27,21.88,23.04,23.19,22.05,22.20,23.55,23.26
2007,23.28,21.81,26.64,23.24,22.86,22.45,24.96,21.94,23.03,21.45,24.07,25.63,26.72,26.80,26.09,23.26,22.77,26.82,26.68,23.42,23.95,26.68,23.16,21.31,21.86,22.98,23.23,22.03,22.20,23.69,23.51
2008,23.39,21.78,26.73,23.27,23.02,22.42,25.09,21.95,23.19,21.64,24.22,25.91,26.85,26.91,26.17,23.43,22.77,26.94,26.76,23.48,24.00,26.76,23.44,21.44,21.98,23.09,23.45,22.22,22.32,23.88,23.58
2009,23.33,22.10,26.61,23.19,23.00,22.56,24.94,22.00,23.23,21.39,24.05,25.67,26.74,26.81,26.09,23.18,22.74,26.85,26.64,23.46,23.95,26.64,23.35,21.26,22.06,23.00,23.42,21.88,22.14,23.78,23.52
2010,23.57,21.96,26.89,23.44,23.34,22.55,25.29,22.11,23.34,21.78,24.38,25.82,26.89,26.98,26.38,23.36,22.98,26.99,26.92,23.79,24.16,26.92,23.65,21.57,22.25,23.38,23.68,22.23,22.50,24.05,23.61
2011,23.60,22.07,26.79,23.53,23.37,22.58,25.27,22.21,23.38,21.77,24.40,25.92,26.87,26.94,26.34,23.51,23.05,26.96,26.82,23.79,24.14,26.82,23.67,21.59,22.30,23.40,23.61,22.20,22.50,24.05,23.72
2012,23.59,22.15,26.79,23.41,23.41,22.68,25.28,22.18,23.42,21.69,24.33,26.00,26.84,26.92,26.30,23.52,22.96,26.94,26.81,23.82,24.10,26.81,23.67,21.49,22.34,23.39,23.66,22.24,22.50,24.06,23.72
2013,23.61,22.15,26.74,23.55,23.27,22.71,25.36,22.27,23.42,21.82,24.44,25.98,26.93,26.98,26.41,23.67,22.94,27.02,26.76,23.63,24.19,26.76,23.53,21.61,22.29,23.29,23.62,22.41,22.54,23.91,23.72
2014,23.52,21.99,26.80,23.42,23.21,22.50,25.17,22.11,23.36,21.69,24.32,25.80,26.91,26.99,26.24,23.47,22.92,27.02,26.84,23.71,24.06,26.84,23.46,21.53,22.18,23.33,23.61,22.24,22.52,23.89,23.69
