Variable:,tas
,Yemen,Abyan,"Al Dhale'e","Al Bayda","Al Hudaydah","Al Jawf","Al Maharah","Al Mahwit",Amran,Dhamar,Hajjah,Ibb,Lahj,Marib,Sa'ada,Shabwah,Taizz,"Amanat Al Asimah",Hadramaut,Raymah,Sana'a,Aden
1995,23.87,27.26,25.06,20.09,29.28,21.33,25.00,28.90,24.07,23.64,27.86,24.69,27.79,19.70,21.73,23.35,29.23,18.73,24.75,29.91,21.04,28.35
1996,23.93,27.17,25.03,20.13,29.34,21.43,24.99,28.95,24.17,23.69,27.92,24.71,27.71,19.79,21.86,23.32,29.23,18.91,24.81,29.99,21.18,28.23
1997,24.00,27.28,25.12,20.07,29.38,21.59,25.07,29.00,24.23,23.67,27.96,24.73,27.85,19.72,21.89,23.37,29.31,18.88,24.90,29.98,21.16,28.43
1998,23.96,27.38,25.20,20.18,29.38,21.44,25.05,29.04,24.19,23.73,27.94,24.80,27.93,19.75,21.86,23.43,29.33,18.93,24.83,30.02,21.21,28.51
1999,23.92,27.29,25.06,20.12,29.35,21.44,25.04,29.02,24.24,23.66,27.97,24.70,27.81,19.70,21.86,23.37,29.24,18.94,24.78,29.95,21.21,28.43
2000,24.10,27.36,25.15,20.17,29.36,21.77,25.13,28.95,24.23,23.71,27.93,24.76,27.88,19.92,22.03,23.54,29.31,18.98,24.98,29.99,21.23,28.49
2001,24.16,27.51,25.30,20.33,29.55,21.70,25.19,29.16,24.38,23.94,28.13,24.96,27.99,19.96,22.12,23.53,29.46,19.14,25.05,30.18,21.41,28.55
2002,24.25,27.61,25.48,20.44,29.64,21.76,25.28,29.25,24.42,23.97,28.17,25.06,28.21,19.99,22.10,23.66,29.65,19.11,25.15,30.28,21.40,28.75
2003,24.31,27.56,25.40,20.52,29.66,22.03,25.25,29.28,24.53,24.03,28.21,25.06,28.11,20.24,22.25,23.66,29.56,19.37,25.19,30.27,21.61,28.72
2004,24.30,27.73,25.59,20.42,29.92,21.85,25.35,29.59,24.65,24.15,28.45,25.21,28.36,20.17,22.21,23.77,29.82,19.38,25.16,30.55,21.68,28.94
2005,24.32,27.58,25.32,20.36,29.57,21.90,25.38,29.16,24.40,23.96,28.10,24.99,28.07,19.98,22.11,23.64,29.50,19.31,25.23,30.15,21.53,28.73
2006,24.35,27.58,25.40,20.37,29.64,21.83,25.44,29.29,24.45,23.95,28.21,25.01,28.12,20.00,22.09,23.67,29.56,19.07,25.31,30.24,21.38,28.68
2007,24.37,27.58,25.40,20.49,29.62,21.90,25.42,29.22,24.48,24.03,28.18,25.05,28.09,20.12,22.16,23.72,29.54,19.16,25.30,30.25,21.44,28.66
2008,24.36,27.66,25.40,20.43,29.64,21.96,25.39,29.30,24.51,23.91,28.25,25.00,28.18,20.17,22.20,23.79,29.63,19.28,25.25,30.17,21.53,28.81
2009,24.33,27.61,25.45,20.45,29.69,21.80,25.36,29.34,24.50,24.02,28.23,25.07,28.17,20.16,22.23,23.72,29.64,19.26,25.22,30.32,21.53,28.73
2010,24.50,27.70,25.57,20.52,30.04,22.03,25.61,29.69,24.81,24.14,28.58,25.21,28.32,20.23,22.42,23.80,29.90,19.48,25.38,30.68,21.77,28.88
2011,24.54,27.68,25.54,20.56,29.86,22.15,25.52,29.52,24.73,24.13,28.46,25.19,28.29,20.37,22.41,23.89,29.79,19.43,25.46,30.46,21.70,28.91
2012,24.54,27.71,25.53,20.55,29.81,22.10,25.58,29.43,24.64,24.09,28.39,25.16,28.27,20.26,22.35,23.91,29.80,19.33,25.48,30.42,21.61,28.85
2013,24.56,27.82,25.57,20.59,29.78,22.09,25.60,29.39,24.59,24.10,28.34,25.17,28.33,20.27,22.37,23.92,29.74,19.31,25.51,30.39,21.59,28.94
2014,24.46,27.78,25.67,20.70,29.95,21.99,25.49,29.69,24.83,24.35,28.57,25.36,28.35,20.26,22.52,23.88,29.82,19.47,25.30,30.60,21.78,28.92
