Variable:,tas
,Zimbabwe,Bulawayo,Harare,Manicaland,"Mashonaland Central","Mashonaland West",Masvingo,"Matabeleland South",Midlands,"Matabeleland North","Mashonaland East"
1995,22.17,,,,,,,,,,
1996,22.18,,,,,,,,,,
1997,22.38,,,,,,,,,,
1998,22.33,,,,,,,,,,
1999,22.29,,,,,,,,,,
2000,22.40,,,,,,,,,,
2001,22.62,,,,,,,,,,
2002,22.44,,,,,,,,,,
2003,22.65,,,,,,,,,,
2004,22.79,,,,,,,,,,
2005,22.59,,,,,,,,,,
2006,22.42,,,,,,,,,,
2007,22.52,,,,,,,,,,
2008,22.75,,,,,,,,,,
2009,22.52,,,,,,,,,,
2010,22.50,,,,,,,,,,
2011,22.60,,,,,,,,,,
2012,22.70,,,,,,,,,,
2013,22.96,,,,,,,,,,
2014,22.85,,,,,,,,,,
