Variable:,tas
,Benin,Alibori,Atakora,Atlantique,Borgou,Collines,Couffo,Donga,Littoral,Mono,Oueme,Plateau,Zou
2015,28.67,28.87,28.84,27.75,28.22,28.06,27.51,27.81,27.75,27.71,27.75,28.24,27.98
2016,28.77,29.05,29.03,27.73,28.26,28.12,27.49,27.92,27.73,27.68,27.73,28.25,27.99
2017,28.60,28.80,28.81,27.72,28.14,28.04,27.49,27.84,27.72,27.74,27.72,28.14,27.88
2018,28.80,29.02,28.95,27.82,28.32,28.26,27.57,28.05,27.82,27.77,27.82,28.29,28.03
2019,28.88,29.11,29.05,27.88,28.42,28.34,27.67,28.12,27.88,27.88,27.88,28.35,28.09
2020,28.99,29.22,29.20,27.97,28.51,28.43,27.77,28.17,27.97,27.95,27.97,28.47,28.23
2021,28.92,29.13,29.00,27.87,28.39,28.47,27.75,28.13,27.87,27.87,27.87,28.47,28.27
2022,29.05,29.29,29.21,27.96,28.55,28.46,27.73,28.16,27.96,27.89,27.96,28.53,28.28
2023,28.98,29.21,29.17,27.96,28.49,28.40,27.68,28.17,27.96,27.87,27.96,28.47,28.19
2024,29.12,29.30,29.34,28.17,28.62,28.64,27.99,28.39,28.17,28.12,28.17,28.71,28.50
2025,29.06,29.21,29.25,28.16,28.65,28.59,27.96,28.37,28.16,28.14,28.16,28.69,28.45
2026,29.11,29.36,29.32,28.12,28.63,28.52,27.86,28.32,28.12,28.07,28.12,28.60,28.33
2027,29.23,29.47,29.42,28.22,28.77,28.62,27.97,28.38,28.22,28.16,28.22,28.66,28.41
2028,29.24,29.46,29.44,28.16,28.79,28.65,27.91,28.46,28.16,28.10,28.16,28.68,28.42
2029,29.38,29.63,29.66,28.23,28.97,28.72,28.09,28.64,28.23,28.27,28.23,28.77,28.56
2030,29.30,29.45,29.41,28.23,28.88,28.82,28.01,28.60,28.23,28.24,28.23,28.81,28.53
2031,29.36,29.58,29.54,28.31,28.89,28.76,28.06,28.56,28.31,28.23,28.31,28.82,28.56
2032,29.46,29.66,29.63,28.30,29.01,28.90,28.08,28.69,28.30,28.25,28.30,28.86,28.61
2033,29.29,29.51,29.48,28.35,28.81,28.79,28.12,28.54,28.35,28.30,28.35,28.89,28.63
2034,29.54,29.68,29.69,28.50,29.21,29.08,28.31,28.92,28.50,28.49,28.50,29.05,28.81
2035,29.50,29.71,29.69,28.47,29.05,28.99,28.31,28.64,28.47,28.45,28.47,29.04,28.82
2036,29.56,29.73,29.72,28.52,29.14,29.11,28.34,28.83,28.52,28.53,28.52,29.12,28.87
2037,29.70,29.88,29.89,28.63,29.30,29.18,28.46,28.96,28.63,28.64,28.63,29.17,28.93
