Variable:,tas
,Brazil,Acre,Alagoas,Amapa,Amazonas,Bahia,Ceara,"Distrito Federal","Espirito Santo",Goias,Maranhao,"Mato Grosso","Mato Grosso Do Sul","Minas Gerais",Para,Paraiba,Parana,Pernambuco,Piaui,"Rio De Janeiro","Rio Grande Do Norte","Rio Grande Do Sul",Rondonia,Roraima,"Santa Catarina","Sao Paulo",Sergipe,Tocantins,"Name Unknown","Name Unknown","Name Unknown","Name Unknown"
2015,26.42,26.71,26.36,27.29,27.70,25.48,27.57,24.37,24.27,26.11,28.19,26.96,25.59,23.89,27.82,26.02,21.18,26.38,28.03,23.34,27.28,20.20,27.01,27.36,19.61,23.00,25.97,27.99,27.99,24.59,24.59,24.59
2016,26.48,26.63,26.32,27.55,27.72,25.52,27.52,24.50,24.15,26.24,28.12,26.97,25.82,23.88,28.02,25.97,21.14,26.38,28.03,23.32,27.28,20.09,26.98,27.57,19.56,23.10,25.97,28.04,28.04,24.62,24.62,24.62
2017,26.50,26.70,26.35,27.27,27.67,25.64,27.69,24.53,24.39,26.41,28.17,27.13,26.08,24.08,27.76,26.00,21.25,26.40,28.12,23.41,27.36,20.43,26.99,27.23,19.77,23.26,25.96,28.00,28.00,24.52,24.52,24.52
2018,26.51,26.89,26.53,27.51,27.77,25.59,27.73,24.54,24.24,26.34,28.15,27.00,26.03,23.96,27.89,26.23,21.02,26.63,28.13,23.38,27.50,20.02,27.01,27.45,19.53,23.22,26.19,27.99,27.99,24.65,24.65,24.65
2019,26.82,27.08,26.75,27.85,28.14,25.97,27.98,24.91,24.43,26.71,28.49,27.34,26.02,24.16,28.37,26.64,21.10,26.99,28.48,23.32,27.73,20.18,27.40,27.99,19.60,23.08,26.35,28.36,28.36,24.69,24.69,24.69
2020,26.60,26.86,26.47,27.50,27.94,25.72,27.58,24.71,24.34,26.43,28.14,27.12,25.90,24.00,27.92,26.07,21.39,26.53,28.18,23.44,27.36,20.39,27.18,27.68,19.83,23.25,26.12,28.21,28.21,24.70,24.70,24.70
2021,26.64,26.81,26.61,27.57,27.92,25.63,27.82,24.65,24.54,26.39,28.29,27.20,26.20,24.09,28.03,26.31,21.42,26.66,28.22,23.45,27.61,20.30,27.21,27.61,19.87,23.23,26.24,27.99,27.99,24.85,24.85,24.85
2022,27.05,27.39,26.66,28.01,28.44,25.83,27.84,25.21,24.58,26.90,28.59,27.76,26.67,24.36,28.70,26.32,21.50,26.70,28.30,23.40,27.57,20.35,27.84,28.26,19.86,23.39,26.31,28.51,28.51,24.76,24.76,24.76
2023,26.80,27.09,26.64,27.81,28.12,25.71,27.87,24.64,24.45,26.47,28.51,27.39,26.18,24.07,28.39,26.34,21.39,26.74,28.34,23.47,27.60,20.41,27.46,27.72,19.82,23.42,26.30,28.29,28.29,24.80,24.80,24.80
2024,27.18,27.53,26.75,28.30,28.49,26.10,28.09,25.15,24.73,26.90,28.89,27.82,26.37,24.42,28.95,26.54,21.47,27.00,28.70,23.68,27.85,20.43,27.92,28.46,19.84,23.37,26.43,28.83,28.83,24.90,24.90,24.90
2025,26.88,27.18,26.63,27.78,28.11,25.85,27.89,24.91,24.66,26.61,28.56,27.60,26.29,24.25,28.40,26.36,21.48,26.73,28.37,23.58,27.65,20.53,27.58,27.71,19.81,23.31,26.31,28.58,28.58,24.78,24.78,24.78
2026,26.98,27.31,26.58,27.96,28.48,25.69,27.88,24.80,24.45,26.60,28.58,27.54,26.40,24.17,28.52,26.30,21.67,26.76,28.46,23.63,27.56,20.71,27.66,28.13,20.15,23.46,26.24,28.53,28.53,24.82,24.82,24.82
2027,27.28,27.67,26.82,28.16,28.73,26.05,28.25,25.23,24.70,26.99,28.89,27.97,26.60,24.50,28.90,26.57,21.75,27.05,28.83,23.79,27.82,20.64,28.22,28.20,20.05,23.65,26.50,28.75,28.75,24.91,24.91,24.91
2028,27.20,27.48,26.88,28.18,28.51,26.01,28.41,25.37,24.56,27.09,28.92,27.98,26.50,24.40,28.80,26.73,21.50,27.10,28.82,23.54,28.02,20.43,28.05,28.12,19.95,23.42,26.52,28.96,28.96,24.92,24.92,24.92
2029,27.07,27.43,26.84,28.21,28.40,25.95,28.17,24.84,24.60,26.66,28.74,27.76,26.49,24.22,28.61,26.68,21.65,27.03,28.66,23.60,27.90,20.58,27.77,27.96,19.97,23.40,26.43,28.74,28.74,24.99,24.99,24.99
2030,27.23,27.63,26.86,28.17,28.67,26.07,28.08,25.14,24.71,26.94,28.74,27.88,26.54,24.55,28.85,26.59,21.83,26.96,28.66,23.76,27.88,20.65,28.08,28.31,20.23,23.70,26.47,28.60,28.60,24.83,24.83,24.83
2031,27.17,27.66,27.16,28.08,28.51,26.10,28.39,25.05,24.65,26.86,28.86,27.95,26.62,24.38,28.64,26.81,21.71,27.24,28.69,23.75,28.01,20.51,27.91,28.04,20.12,23.58,26.78,28.74,28.74,25.09,25.09,25.09
2032,27.10,27.38,26.84,28.15,28.38,26.06,28.31,25.21,24.76,26.89,28.93,27.77,26.49,24.48,28.55,26.60,21.68,26.96,28.74,23.58,27.87,20.52,27.75,28.03,19.86,23.61,26.46,28.73,28.73,24.89,24.89,24.89
2033,27.13,27.40,26.90,28.01,28.38,26.18,28.11,25.45,24.87,27.09,28.78,27.77,26.57,24.67,28.58,26.62,21.61,26.99,28.60,23.69,27.89,20.68,27.82,28.04,20.11,23.62,26.49,28.76,28.76,25.08,25.08,25.08
2034,27.31,27.75,27.30,28.14,28.65,26.44,28.49,25.25,24.70,27.03,29.06,27.95,26.65,24.52,28.85,26.99,21.69,27.43,29.00,23.59,28.19,20.48,28.10,28.23,19.94,23.51,26.98,28.97,28.97,25.04,25.04,25.04
2035,27.20,27.51,26.93,27.98,28.58,26.03,28.11,25.11,24.92,26.90,28.89,27.83,26.58,24.54,28.73,26.58,21.79,27.02,28.64,23.80,27.86,20.59,27.89,28.34,20.08,23.69,26.53,28.81,28.81,24.78,24.78,24.78
2036,27.28,27.60,27.13,28.25,28.68,26.04,28.16,25.15,24.78,26.96,28.83,27.93,26.76,24.51,28.83,26.73,22.01,27.10,28.59,23.91,28.02,20.79,28.09,28.40,20.26,23.85,26.76,28.76,28.76,25.08,25.08,25.08
2037,27.51,28.11,27.16,28.41,28.93,26.46,28.50,25.32,24.84,27.17,29.10,28.36,26.81,24.69,29.03,26.94,21.82,27.33,29.06,23.79,28.26,20.66,28.84,28.44,20.16,23.73,26.86,29.14,29.14,25.18,25.18,25.18
2038,27.36,27.73,26.95,28.26,28.68,26.17,28.24,25.50,25.04,27.25,29.06,28.18,27.03,24.78,28.78,26.67,21.77,27.04,28.83,23.91,27.96,20.65,28.31,28.35,20.01,23.92,26.63,28.87,28.87,25.05,25.05,25.05
2039,27.48,27.91,27.00,28.32,28.90,26.21,28.33,25.32,24.95,27.13,29.27,28.17,27.10,24.69,29.15,26.79,21.99,27.06,28.83,23.94,28.10,20.88,28.40,28.35,20.22,23.92,26.65,29.03,29.03,25.09,25.09,25.09
2040,27.27,27.74,26.96,28.14,28.70,26.21,28.28,25.06,24.87,26.86,29.06,27.88,26.48,24.57,28.80,26.68,21.82,27.05,28.75,23.96,27.99,20.88,28.04,28.15,20.25,23.62,26.61,28.85,28.85,25.17,25.17,25.17
2041,27.10,27.28,27.00,28.02,28.30,26.17,28.21,25.30,24.76,27.03,28.82,27.68,26.52,24.59,28.48,26.70,21.73,27.08,28.72,23.67,27.91,20.83,27.61,28.16,20.14,23.70,26.67,28.85,28.85,24.97,24.97,24.97
2042,27.42,27.73,27.04,28.29,28.75,26.25,28.48,25.42,24.85,27.17,29.19,28.11,26.93,24.60,29.02,26.78,21.99,27.22,29.10,23.88,28.15,20.57,28.29,28.54,20.11,23.83,26.71,29.10,29.10,25.02,25.02,25.02
2043,27.78,28.11,27.11,28.70,29.27,26.45,28.63,25.72,24.98,27.43,29.50,28.49,27.50,24.87,29.43,26.98,22.42,27.31,29.20,23.91,28.28,21.13,28.61,28.78,20.60,24.15,26.72,29.36,29.36,25.19,25.19,25.19
2044,27.41,27.73,26.93,28.53,28.88,26.20,28.24,25.27,24.83,27.03,29.03,28.00,26.91,24.53,29.07,26.63,21.94,26.98,28.81,23.84,28.02,20.94,28.16,28.42,20.29,23.91,26.62,28.90,28.90,25.11,25.11,25.11
2045,27.49,27.78,27.11,28.39,28.70,26.39,28.38,25.64,25.33,27.54,29.13,28.29,27.28,25.06,28.89,26.81,21.97,27.21,28.99,24.18,28.22,21.03,28.07,28.26,20.32,24.04,26.73,29.18,29.18,25.12,25.12,25.12
2046,27.84,28.32,27.36,28.64,29.13,26.73,28.68,26.04,25.38,27.75,29.42,28.69,27.54,25.21,29.37,27.13,22.30,27.54,29.31,24.43,28.37,21.02,28.80,28.76,20.54,24.31,27.03,29.46,29.46,25.12,25.12,25.12
2047,27.71,28.16,27.35,28.70,29.16,26.54,28.71,25.75,25.23,27.38,29.35,28.33,26.97,25.00,29.29,27.11,22.07,27.49,29.22,24.19,28.40,21.04,28.69,28.64,20.48,23.99,26.96,29.42,29.42,25.17,25.17,25.17
2048,27.55,28.03,26.99,28.25,29.11,26.35,28.20,25.40,25.12,27.22,29.00,28.30,26.97,25.01,29.03,26.65,21.99,27.05,28.78,24.04,27.99,20.92,28.42,28.63,20.40,24.03,26.64,28.99,28.99,25.15,25.15,25.15
2049,27.72,27.94,27.07,28.52,28.93,26.57,28.65,26.01,25.18,27.88,29.32,28.51,27.38,25.41,29.10,26.83,22.34,27.23,29.16,24.39,28.14,20.95,28.45,28.59,20.46,24.59,26.72,29.49,29.49,25.14,25.14,25.14
2050,27.85,28.15,27.45,28.75,29.03,26.80,29.13,26.15,25.49,27.73,29.61,28.58,27.14,25.38,29.46,27.41,22.15,27.77,29.65,24.35,28.61,20.91,28.59,28.53,20.40,24.09,27.22,29.63,29.63,25.26,25.26,25.26
2051,27.79,28.18,27.77,28.46,29.08,26.85,29.13,25.61,25.29,27.41,29.76,28.55,26.89,24.96,29.31,27.73,21.99,28.10,29.61,24.13,28.87,20.99,28.81,28.62,20.35,23.98,27.43,29.68,29.68,25.52,25.52,25.52
2052,27.86,28.15,27.29,28.85,29.24,26.62,28.79,25.92,25.16,27.69,29.60,28.63,27.21,25.09,29.56,27.10,22.17,27.50,29.48,24.10,28.40,20.87,28.51,28.78,20.43,24.14,26.94,29.63,29.63,25.44,25.44,25.44
2053,27.68,28.22,27.35,28.41,29.13,26.63,28.57,25.49,25.29,27.28,29.45,28.34,27.25,24.90,29.17,27.03,22.38,27.60,29.32,24.22,28.38,21.03,28.53,28.42,20.67,23.97,26.96,29.39,29.39,25.39,25.39,25.39
2054,27.54,28.12,27.20,28.37,29.05,26.35,28.88,25.37,24.87,27.12,29.45,28.20,26.67,24.63,29.04,27.14,21.82,27.36,29.20,23.82,28.49,20.88,28.47,28.59,20.16,23.74,26.84,29.16,29.16,25.11,25.11,25.11
2055,27.79,28.34,27.37,28.51,29.42,26.62,28.51,25.82,25.25,27.46,29.20,28.55,27.23,25.09,29.19,26.94,22.32,27.40,29.07,24.21,28.27,20.93,28.92,28.84,20.57,24.20,27.10,29.35,29.35,25.55,25.55,25.55
2056,27.89,28.31,27.61,28.59,29.44,26.64,29.04,25.69,25.32,27.44,29.57,28.62,27.21,25.06,29.51,27.44,22.31,27.74,29.35,24.14,28.65,20.98,28.81,28.95,20.63,24.17,27.19,29.38,29.38,25.26,25.26,25.26
2057,27.68,28.17,27.18,28.44,29.22,26.43,28.47,25.55,25.15,27.42,29.29,28.31,27.11,24.92,29.27,26.88,22.15,27.22,29.06,24.08,28.13,21.04,28.57,28.80,20.49,24.01,26.80,29.33,29.33,25.12,25.12,25.12
2058,27.97,28.20,27.38,28.69,29.42,26.97,28.85,25.79,25.47,27.60,29.60,28.71,27.19,25.38,29.59,27.11,22.24,27.71,29.62,24.21,28.40,21.07,28.78,29.07,20.49,24.18,27.05,29.55,29.55,25.30,25.30,25.30
2059,27.93,28.20,27.78,28.77,29.24,27.11,29.05,25.78,25.46,27.57,29.72,28.54,27.11,25.13,29.55,27.44,22.42,27.97,29.68,24.44,28.74,21.13,28.61,28.79,20.63,24.18,27.41,29.74,29.74,25.43,25.43,25.43
2060,27.76,28.20,27.16,28.48,29.18,26.68,28.91,25.68,25.30,27.49,29.48,28.49,27.08,25.09,29.27,27.15,22.04,27.54,29.37,24.13,28.44,21.06,28.66,28.75,20.56,24.03,26.84,29.42,29.42,25.27,25.27,25.27
2061,27.75,28.19,27.27,28.52,29.06,26.78,28.74,25.71,25.38,27.49,29.44,28.55,27.16,25.21,29.25,27.01,22.29,27.51,29.25,24.35,28.35,20.99,28.50,28.62,20.55,24.24,26.96,29.40,29.40,25.28,25.28,25.28
2062,27.91,28.20,27.41,28.87,29.30,26.71,28.95,25.84,25.28,27.67,29.52,28.64,27.49,25.24,29.51,27.07,22.40,27.57,29.37,24.11,28.32,21.12,28.59,28.79,20.60,24.34,27.08,29.57,29.57,25.48,25.48,25.48
2063,28.08,28.61,27.75,28.80,29.42,27.04,29.18,26.16,25.56,27.90,29.82,28.94,27.44,25.39,29.53,27.52,22.48,27.98,29.79,24.31,28.81,21.04,29.00,28.96,20.60,24.19,27.44,29.97,29.97,25.40,25.40,25.40
2064,27.76,28.06,27.44,28.60,29.12,26.69,28.96,25.70,25.50,27.45,29.53,28.48,27.01,25.11,29.27,27.40,22.17,27.62,29.31,24.23,28.66,21.09,28.73,28.56,20.49,24.01,27.24,29.40,29.40,25.35,25.35,25.35
2065,27.68,27.98,27.37,28.59,28.92,26.74,28.72,25.92,25.56,27.52,29.39,28.27,27.23,25.23,29.07,27.16,22.51,27.57,29.27,24.33,28.43,21.16,28.30,28.54,20.66,24.29,27.18,29.41,29.41,25.48,25.48,25.48
2066,27.99,28.48,27.44,28.62,29.42,26.97,28.94,26.07,25.54,27.74,29.55,28.71,27.36,25.40,29.51,27.43,22.34,27.74,29.53,24.54,28.71,21.11,28.92,29.06,20.74,24.45,27.23,29.62,29.62,25.42,25.42,25.42
2067,27.92,28.30,27.41,28.93,29.07,26.89,28.89,25.74,25.20,27.50,30.04,28.68,27.09,25.11,29.75,27.25,22.21,27.73,29.54,24.13,28.60,20.94,28.72,28.85,20.47,24.22,27.14,29.87,29.87,25.37,25.37,25.37
2068,28.03,28.56,27.46,28.82,29.56,26.68,28.95,25.71,25.22,27.62,29.64,28.75,27.43,25.14,29.74,27.31,22.32,27.73,29.51,24.14,28.64,21.23,29.05,29.25,20.61,24.30,27.17,29.59,29.59,25.38,25.38,25.38
2069,27.94,28.56,27.31,28.59,29.82,26.49,28.67,25.66,25.32,27.46,29.55,28.51,26.97,25.13,29.62,27.06,22.10,27.41,29.21,24.22,28.39,21.14,28.92,29.23,20.52,24.03,26.94,29.35,29.35,25.48,25.48,25.48
2070,27.85,28.17,27.61,28.78,29.18,26.75,28.76,26.09,25.51,27.63,29.50,28.53,27.20,25.28,29.44,27.25,22.31,27.66,29.39,24.39,28.45,21.00,28.61,28.85,20.55,24.22,27.11,29.53,29.53,25.47,25.47,25.47
2071,27.62,28.02,27.23,28.42,29.11,26.53,28.51,25.59,25.32,27.34,29.18,28.21,26.95,25.07,29.04,26.86,22.33,27.21,29.05,24.33,28.22,21.15,28.47,28.65,20.69,24.17,26.78,29.21,29.21,25.42,25.42,25.42
2072,27.76,28.24,27.23,28.31,29.11,26.58,28.87,25.68,25.30,27.43,29.69,28.41,27.23,25.11,29.25,27.08,22.36,27.50,29.48,24.17,28.42,21.31,28.67,28.64,20.60,24.15,26.92,29.51,29.51,25.45,25.45,25.45
2073,28.17,28.76,27.51,28.98,29.52,27.19,29.14,26.06,25.36,28.04,29.91,29.20,27.38,25.36,29.64,27.51,22.37,27.99,29.87,24.20,28.84,21.36,29.28,28.71,20.78,24.23,27.28,30.01,30.01,25.52,25.52,25.52
2074,27.93,28.18,27.58,28.83,29.30,27.05,28.89,26.08,25.32,27.72,29.70,28.74,26.95,25.09,29.48,27.32,22.20,27.90,29.64,24.30,28.60,20.93,28.65,28.78,20.57,24.14,27.29,29.90,29.90,25.45,25.45,25.45
2075,27.78,28.18,27.23,28.43,29.35,26.42,28.51,25.56,25.18,27.35,29.28,28.56,27.52,25.09,29.20,26.94,22.73,27.29,29.01,24.42,28.21,21.27,28.88,28.64,20.90,24.57,26.87,29.18,29.18,25.42,25.42,25.42
2076,27.79,28.40,27.29,28.60,29.34,26.62,28.77,25.67,25.26,27.45,29.37,28.49,27.16,25.11,29.24,26.99,22.31,27.40,29.22,24.26,28.42,21.17,28.76,28.97,20.50,24.27,26.94,29.15,29.15,25.43,25.43,25.43
2077,27.89,28.04,27.67,28.76,29.11,26.95,28.87,26.16,25.24,27.83,29.68,28.85,27.02,25.20,29.49,27.63,22.04,27.90,29.52,24.09,28.74,20.90,28.65,28.96,20.42,23.89,27.36,29.71,29.71,25.44,25.44,25.44
2078,28.06,28.59,27.32,28.76,29.56,26.83,28.92,26.01,25.31,27.79,29.66,28.85,27.52,25.28,29.58,27.24,22.56,27.58,29.49,24.26,28.63,21.43,29.02,29.26,20.87,24.43,27.06,29.65,29.65,25.28,25.28,25.28
2079,27.98,28.53,27.36,28.61,29.27,27.00,29.05,26.25,25.43,27.94,29.91,28.70,27.25,25.45,29.46,27.26,22.25,27.62,29.68,24.28,28.68,21.13,28.64,28.84,20.58,24.33,27.00,29.98,29.98,25.57,25.57,25.57
2080,27.93,28.38,27.50,28.76,29.28,26.75,28.80,25.78,25.37,27.63,29.57,28.83,27.25,25.17,29.47,27.24,22.37,27.72,29.41,24.29,28.54,21.11,29.21,28.92,20.46,24.31,27.10,29.59,29.59,25.46,25.46,25.46
2081,27.96,28.27,27.84,28.67,29.18,26.96,29.03,25.93,25.25,27.72,29.82,28.69,27.22,25.10,29.71,27.43,22.50,27.84,29.66,24.37,28.72,20.95,28.66,29.05,20.66,24.08,27.52,29.77,29.77,25.40,25.40,25.40
2082,27.89,28.26,27.51,28.87,29.34,26.69,29.05,25.73,25.53,27.51,29.68,28.42,27.21,25.20,29.39,27.33,22.46,27.68,29.42,24.47,28.72,21.29,28.75,29.06,20.73,24.27,27.12,29.41,29.41,25.41,25.41,25.41
2083,27.62,28.35,27.32,28.46,29.16,26.49,28.62,25.30,25.13,27.10,29.37,28.13,27.02,24.78,29.17,26.99,22.21,27.42,29.12,24.20,28.30,21.39,28.45,28.60,20.57,23.93,27.08,29.18,29.18,25.45,25.45,25.45
2084,28.14,28.67,27.70,28.81,29.64,26.86,28.90,26.19,25.44,27.94,29.74,29.02,27.42,25.36,29.77,27.28,22.40,27.75,29.64,24.39,28.52,21.17,29.26,29.11,20.75,24.26,27.28,29.93,29.93,25.49,25.49,25.49
2085,28.18,29.28,27.24,28.90,30.05,26.58,28.66,25.96,25.19,27.66,29.48,28.96,27.39,25.25,30.01,27.05,22.48,27.43,29.22,24.28,28.33,21.55,29.50,29.26,20.96,24.29,26.84,29.44,29.44,25.33,25.33,25.33
2086,28.44,28.81,27.89,29.54,29.74,27.17,29.40,26.28,25.38,28.12,30.45,29.33,27.49,25.36,30.44,27.66,22.41,28.10,30.16,24.24,28.87,21.21,29.47,29.51,20.77,24.36,27.56,30.36,30.36,25.57,25.57,25.57
2087,27.99,28.57,27.55,28.76,29.52,26.81,29.18,25.65,25.11,27.56,29.78,28.83,27.40,25.01,29.51,27.45,22.11,27.74,29.66,24.12,28.80,20.86,29.08,28.94,20.46,24.03,27.34,29.81,29.81,25.37,25.37,25.37
2088,27.79,28.06,27.48,28.83,29.02,26.75,28.97,25.84,25.23,27.61,29.54,28.56,27.02,25.09,29.32,27.23,22.12,27.65,29.44,24.18,28.67,21.15,28.63,28.68,20.50,24.16,27.14,29.59,29.59,25.41,25.41,25.41
2089,27.81,28.32,27.45,28.62,29.20,26.76,28.76,25.66,25.35,27.50,29.41,28.59,27.35,25.03,29.29,27.19,22.48,27.61,29.28,24.24,28.45,21.08,28.78,28.73,20.62,24.26,27.14,29.31,29.31,25.49,25.49,25.49
2090,27.97,28.37,27.43,28.64,29.40,26.79,29.09,25.85,25.24,27.69,29.71,28.74,27.29,25.18,29.60,27.44,22.30,27.66,29.58,24.20,28.82,21.08,28.85,28.96,20.52,24.22,27.09,29.69,29.69,25.44,25.44,25.44
2091,27.86,28.26,27.39,28.87,29.19,26.66,28.69,25.74,25.41,27.62,29.59,28.71,27.27,25.18,29.56,27.05,22.24,27.45,29.27,24.25,28.31,20.87,28.91,28.76,20.46,24.04,27.00,29.54,29.54,25.47,25.47,25.47
2092,28.02,28.43,27.38,28.81,29.26,27.07,28.87,26.20,25.67,27.93,29.70,28.87,27.59,25.54,29.50,27.18,22.53,27.66,29.54,24.63,28.53,21.17,29.14,28.69,20.82,24.39,27.08,29.79,29.79,25.53,25.53,25.53
2093,27.99,28.44,27.52,28.75,29.39,26.93,28.95,25.96,25.51,27.92,29.57,28.88,27.58,25.38,29.40,27.37,22.31,27.80,29.46,24.25,28.71,21.08,28.95,28.73,20.58,24.32,27.23,29.67,29.67,25.49,25.49,25.49
2094,27.68,28.15,27.25,28.38,28.99,26.74,28.76,25.89,25.32,27.65,29.35,28.39,27.20,25.14,28.98,27.08,22.31,27.49,29.25,24.10,28.36,21.23,28.50,28.50,20.68,24.12,27.09,29.34,29.34,25.37,25.37,25.37
2095,27.80,28.02,27.26,28.37,29.17,26.60,28.93,25.83,25.29,27.50,29.73,28.51,27.24,25.14,29.25,27.12,22.51,27.49,29.48,24.44,28.48,21.31,28.56,28.76,20.75,24.31,26.95,29.43,29.43,25.25,25.25,25.25
2096,28.06,28.36,27.41,28.83,29.74,26.76,28.81,25.79,25.50,27.61,29.72,28.89,27.33,25.10,29.76,27.00,22.37,27.47,29.39,24.41,28.44,21.04,29.04,28.90,20.60,24.34,27.07,29.73,29.73,25.45,25.45,25.45
2097,27.97,28.24,27.49,28.79,29.32,27.00,28.89,25.98,25.32,27.61,29.64,28.82,27.26,25.15,29.63,27.27,22.05,27.74,29.68,24.06,28.52,21.08,29.39,28.69,20.37,23.92,27.25,29.87,29.87,25.37,25.37,25.37
2098,27.61,27.89,27.31,28.57,28.75,26.71,28.71,25.69,25.19,27.56,29.50,28.38,26.97,25.05,29.06,27.10,22.11,27.47,29.23,24.15,28.45,20.91,28.33,28.32,20.32,24.10,26.98,29.38,29.38,25.32,25.32,25.32
2099,27.87,28.43,27.61,28.75,29.34,27.00,28.84,26.05,25.46,27.74,29.48,28.63,26.78,25.24,29.31,27.27,22.13,27.83,29.37,24.33,28.51,20.96,28.73,28.80,20.55,23.99,27.30,29.57,29.57,25.61,25.61,25.61
2100,28.00,28.48,27.59,28.59,29.40,27.09,29.00,26.12,25.47,27.78,29.51,28.91,27.35,25.41,29.44,27.33,22.35,27.85,29.54,24.56,28.55,20.87,28.93,28.87,20.63,24.53,27.26,29.63,29.63,25.66,25.66,25.66
