Variable:,tas
,"Central African Republic",Bamingui-Bangoran,Basse-Kotto,Haut-Mbomou,Haute-Kotto,Kémo,Lobaye,Mambéré-Kadéï,Mbomou,Nana-Gribizi,Nana-Mambéré,"Ombella M'Poko",Ouaka,Ouham,"Ouham Pendé",Sangha-Mbaéré,Vakaga,Bangui
2015,26.01,27.15,25.86,25.58,25.70,25.98,25.18,25.00,25.57,26.62,24.63,25.28,26.09,26.06,24.66,25.15,27.25,25.60
2016,25.95,27.03,25.88,25.48,25.51,26.05,25.20,25.04,25.50,26.58,24.70,25.39,26.11,26.04,24.70,25.07,27.13,25.65
2017,26.16,27.31,26.11,25.71,25.75,26.21,25.32,25.19,25.68,26.82,24.81,25.45,26.32,26.25,24.84,25.22,27.45,25.73
2018,26.17,27.29,26.09,25.75,25.67,26.21,25.40,25.21,25.73,26.78,24.90,25.54,26.26,26.25,24.91,25.30,27.46,25.82
2019,26.23,27.33,26.16,25.76,25.76,26.34,25.54,25.20,25.77,26.95,24.89,25.68,26.37,26.35,24.93,25.36,27.43,25.99
2020,26.30,27.43,26.24,25.89,25.89,26.35,25.53,25.28,25.96,26.93,24.90,25.68,26.47,26.34,24.90,25.40,27.51,25.97
2021,26.43,27.64,26.28,25.91,26.01,26.50,25.53,25.33,25.92,27.13,24.97,25.73,26.52,26.55,25.09,25.45,27.79,26.00
2022,26.28,27.40,26.08,25.84,25.89,26.25,25.42,25.27,25.80,26.89,24.90,25.56,26.37,26.34,24.94,25.37,27.57,25.84
2023,26.35,27.39,26.27,25.98,25.90,26.48,25.54,25.35,25.94,26.98,24.99,25.77,26.49,26.47,25.05,25.42,27.51,26.05
2024,26.37,27.44,26.26,25.89,25.93,26.42,25.68,25.46,25.97,26.94,25.06,25.80,26.44,26.47,25.10,25.51,27.62,26.07
2025,26.46,27.55,26.43,26.10,26.02,26.52,25.73,25.47,26.11,27.09,25.12,25.84,26.61,26.55,25.17,25.54,27.59,26.15
2026,26.44,27.64,26.33,26.00,26.01,26.44,25.60,25.36,26.06,27.08,25.07,25.75,26.55,26.50,25.18,25.48,27.69,26.04
2027,26.76,27.99,26.55,26.32,26.34,26.67,25.80,25.67,26.28,27.40,25.34,26.04,26.82,26.78,25.40,25.68,28.17,26.25
2028,26.59,27.68,26.55,26.19,26.14,26.68,25.92,25.63,26.27,27.20,25.28,26.02,26.78,26.63,25.37,25.75,27.65,26.37
2029,26.50,27.63,26.40,26.06,26.07,26.52,25.71,25.52,26.11,27.12,25.19,25.85,26.59,26.56,25.22,25.53,27.71,26.12
2030,26.82,27.95,26.73,26.39,26.34,26.91,26.18,25.84,26.42,27.46,25.45,26.28,26.93,26.87,25.52,25.95,28.05,26.62
2031,26.80,27.99,26.68,26.33,26.33,26.92,25.96,25.77,26.31,27.49,25.47,26.18,26.95,26.92,25.50,25.74,28.05,26.45
2032,26.73,27.89,26.59,26.33,26.30,26.85,25.96,25.65,26.30,27.40,25.34,26.11,26.88,26.78,25.44,25.84,27.95,26.42
2033,26.64,27.86,26.46,26.12,26.18,26.70,25.82,25.62,26.16,27.32,25.27,26.01,26.78,26.66,25.33,25.66,27.97,26.25
2034,26.74,27.88,26.63,26.27,26.27,26.86,25.95,25.79,26.29,27.36,25.50,26.13,26.92,26.81,25.48,25.80,28.05,26.37
2035,26.88,27.98,26.74,26.49,26.46,26.95,26.05,25.85,26.51,27.39,25.49,26.18,27.14,26.83,25.49,25.90,28.29,26.47
2036,26.97,28.11,26.89,26.54,26.56,27.09,26.12,25.90,26.53,27.63,25.53,26.31,27.14,27.07,25.59,26.00,28.19,26.55
2037,27.16,28.28,27.19,26.74,26.81,27.34,26.34,26.09,26.81,27.80,25.76,26.51,27.44,27.18,25.77,26.15,28.29,26.74
2038,26.86,27.96,26.82,26.39,26.46,26.96,26.15,25.89,26.49,27.49,25.57,26.28,27.01,26.91,25.57,25.99,28.07,26.61
2039,26.89,28.07,26.74,26.47,26.47,26.88,26.06,25.80,26.48,27.52,25.49,26.25,26.98,26.95,25.51,25.91,28.21,26.52
2040,26.85,28.01,26.80,26.39,26.43,26.95,26.07,25.87,26.46,27.51,25.54,26.28,27.04,26.92,25.54,25.93,28.04,26.50
2041,26.76,27.83,26.72,26.34,26.33,26.79,26.13,25.83,26.44,27.37,25.49,26.18,26.91,26.80,25.46,25.96,27.89,26.54
2042,26.96,27.96,26.99,26.59,26.56,27.06,26.21,25.92,26.66,27.57,25.57,26.34,27.17,26.99,25.57,26.03,28.13,26.66
2043,27.20,28.30,27.12,26.73,26.66,27.32,26.45,26.26,26.79,27.84,25.85,26.66,27.31,27.31,25.89,26.28,28.50,26.95
2044,27.03,28.19,26.93,26.60,26.57,27.06,26.24,26.10,26.61,27.71,25.74,26.38,27.16,27.12,25.79,26.13,28.28,26.60
2045,27.07,28.27,27.07,26.63,26.62,27.24,26.14,25.87,26.77,27.81,25.58,26.44,27.26,27.18,25.67,25.98,28.40,26.80
2046,27.10,28.27,26.98,26.61,26.65,27.26,26.29,26.04,26.69,27.79,25.75,26.59,27.26,27.22,25.82,26.06,28.29,26.88
2047,26.95,28.06,26.90,26.53,26.52,27.01,26.24,26.03,26.59,27.57,25.64,26.38,27.11,26.99,25.62,26.10,28.11,26.66
2048,27.08,28.13,27.16,26.60,26.61,27.22,26.46,26.20,26.72,27.73,25.90,26.59,27.31,27.17,25.89,26.18,28.16,26.92
2049,27.02,28.10,27.03,26.62,26.57,27.09,26.24,26.11,26.67,27.62,25.77,26.38,27.18,27.06,25.75,26.11,28.21,26.70
2050,27.21,28.35,27.11,26.87,26.86,27.29,26.34,26.14,26.93,27.89,25.83,26.57,27.40,27.24,25.84,26.20,28.31,26.78
2051,27.19,28.18,27.16,26.90,26.78,27.22,26.48,26.25,26.89,27.66,25.83,26.61,27.27,27.14,25.78,26.40,28.49,26.91
2052,27.28,28.44,27.16,26.97,26.89,27.33,26.41,26.11,26.93,27.99,25.87,26.56,27.43,27.37,25.94,26.30,28.44,26.86
2053,27.21,28.29,27.30,26.87,26.73,27.28,26.39,26.17,27.01,27.81,25.80,26.56,27.43,27.23,25.81,26.21,28.42,26.85
2054,27.25,28.32,27.28,26.87,26.86,27.43,26.36,26.19,26.91,27.85,25.91,26.60,27.44,27.26,25.89,26.22,28.50,26.87
2055,27.29,28.40,27.34,26.86,26.85,27.38,26.40,26.29,26.96,27.95,25.95,26.70,27.50,27.36,25.93,26.28,28.55,27.02
2056,27.24,28.22,27.24,26.79,26.78,27.46,26.50,26.29,26.93,27.91,25.98,26.77,27.48,27.33,25.97,26.34,28.33,27.00
2057,27.14,28.25,27.06,26.82,26.75,27.12,26.39,26.21,26.82,27.68,25.86,26.53,27.30,27.07,25.79,26.28,28.35,26.75
2058,27.32,28.32,27.44,26.91,26.84,27.54,26.54,26.32,27.10,27.98,26.06,26.79,27.55,27.48,26.06,26.39,28.43,27.06
2059,27.33,28.26,27.34,27.04,26.93,27.34,26.65,26.42,27.07,27.88,26.02,26.74,27.46,27.32,26.00,26.63,28.50,27.09
2060,27.16,28.27,27.13,26.70,26.79,27.22,26.42,26.20,26.84,27.76,25.80,26.58,27.32,27.17,25.78,26.30,28.36,26.90
2061,27.41,28.46,27.28,27.06,27.04,27.46,26.49,26.31,27.06,28.04,26.07,26.72,27.53,27.54,26.13,26.32,28.56,26.87
2062,27.61,28.71,27.57,27.23,27.13,27.72,26.80,26.63,27.27,28.33,26.24,26.98,27.76,27.67,26.27,26.67,28.84,27.16
2063,27.40,28.55,27.33,26.93,27.04,27.42,26.51,26.37,27.02,28.02,26.09,26.68,27.56,27.36,26.04,26.48,28.64,26.97
2064,27.42,28.48,27.40,27.09,27.09,27.49,26.59,26.45,27.09,28.07,26.06,26.80,27.56,27.43,26.02,26.50,28.55,27.03
2065,27.15,28.18,27.08,26.83,26.77,27.13,26.43,26.14,26.82,27.63,25.82,26.54,27.25,27.13,25.85,26.29,28.34,26.86
2066,27.27,28.30,27.29,26.92,26.87,27.35,26.54,26.32,26.97,27.81,25.96,26.71,27.44,27.29,26.01,26.41,28.40,26.99
2067,27.32,28.45,27.59,26.80,26.93,27.59,26.60,26.38,26.88,27.94,25.90,26.83,27.76,27.30,25.85,26.50,28.46,27.10
2068,27.53,28.65,27.50,27.04,27.09,27.67,26.77,26.48,27.20,28.29,26.23,26.99,27.72,27.71,26.29,26.58,28.60,27.27
2069,27.40,28.53,27.35,26.99,26.90,27.38,26.67,26.44,27.02,28.02,26.09,26.76,27.49,27.47,26.11,26.55,28.71,27.08
2070,27.41,28.50,27.31,27.07,27.02,27.50,26.56,26.29,27.05,28.05,26.01,26.82,27.57,27.47,26.04,26.31,28.59,27.12
2071,27.65,28.75,27.66,27.17,27.24,27.76,27.01,26.68,27.33,28.25,26.37,27.15,27.83,27.66,26.31,26.70,28.85,27.50
2072,27.37,28.49,27.37,26.91,27.04,27.47,26.64,26.35,27.11,27.99,25.97,26.72,27.50,27.43,26.03,26.41,28.56,27.11
2073,27.43,28.49,27.45,27.07,26.98,27.53,26.74,26.53,27.15,28.16,26.15,26.89,27.61,27.59,26.12,26.60,28.47,27.23
2074,27.52,28.55,27.49,27.19,27.08,27.64,26.66,26.58,27.17,28.20,26.18,26.90,27.74,27.60,26.26,26.49,28.59,27.04
2075,27.30,28.24,27.35,26.86,26.80,27.53,26.66,26.46,27.08,27.91,26.06,26.85,27.50,27.41,26.08,26.53,28.35,27.06
2076,27.39,28.49,27.42,26.92,27.02,27.55,26.62,26.39,27.06,28.10,26.11,26.85,27.63,27.53,26.13,26.42,28.38,27.10
2077,27.47,28.57,27.53,27.02,27.07,27.66,26.77,26.49,27.11,28.12,26.15,26.95,27.65,27.51,26.15,26.52,28.62,27.19
2078,27.45,28.60,27.45,27.13,27.02,27.41,26.61,26.41,27.20,28.09,26.06,26.77,27.58,27.49,26.06,26.40,28.70,27.09
2079,27.72,28.84,27.60,27.35,27.32,27.93,26.78,26.49,27.46,28.39,26.28,27.14,27.89,27.89,26.37,26.47,28.88,27.23
2080,27.27,28.29,27.35,26.90,26.82,27.39,26.65,26.36,26.98,27.89,25.92,26.72,27.46,27.38,25.98,26.53,28.38,27.05
2081,27.36,28.40,27.35,27.06,26.88,27.42,26.70,26.51,27.07,28.01,26.14,26.82,27.48,27.38,26.11,26.59,28.44,27.13
2082,27.51,28.55,27.56,27.04,27.05,27.71,26.89,26.70,27.20,28.13,26.24,27.02,27.72,27.63,26.22,26.75,28.61,27.29
2083,27.42,28.49,27.60,27.08,27.03,27.66,26.66,26.48,27.09,28.06,26.11,26.90,27.82,27.39,26.08,26.49,28.40,27.20
2084,27.43,28.56,27.31,27.11,26.97,27.54,26.71,26.43,27.04,28.13,26.07,26.91,27.53,27.57,26.11,26.61,28.55,27.17
2085,27.64,28.76,27.73,27.26,27.24,27.79,26.66,26.41,27.39,28.35,26.16,26.89,27.95,27.66,26.25,26.49,28.86,27.16
2086,27.46,28.56,27.48,26.93,26.94,27.77,26.85,26.52,27.11,28.30,26.12,27.03,27.68,27.68,26.20,26.67,28.49,27.24
2087,27.53,28.50,27.58,27.06,27.12,27.66,27.05,26.65,27.28,28.13,26.33,27.10,27.74,27.60,26.30,26.75,28.58,27.46
2088,27.33,28.49,27.32,26.83,26.88,27.32,26.69,26.40,26.93,27.95,25.97,26.77,27.41,27.39,26.02,26.51,28.64,27.18
2089,27.63,28.70,27.50,27.27,27.23,27.74,26.83,26.52,27.33,28.30,26.25,27.05,27.77,27.80,26.42,26.56,28.72,27.35
2090,27.24,28.32,27.22,26.84,26.76,27.27,26.49,26.21,26.89,27.83,25.98,26.64,27.34,27.32,25.98,26.30,28.57,26.96
2091,27.43,28.52,27.36,27.04,27.01,27.52,26.69,26.41,27.04,28.06,26.04,26.88,27.56,27.50,26.06,26.50,28.69,27.23
2092,27.61,28.62,27.71,27.30,27.20,27.77,26.76,26.44,27.42,28.21,26.19,27.11,27.84,27.66,26.26,26.46,28.76,27.48
2093,27.75,28.96,27.75,27.42,27.42,27.67,26.92,26.67,27.45,28.36,26.36,27.07,27.89,27.73,26.36,26.74,28.90,27.27
2094,27.48,28.57,27.57,27.04,27.09,27.69,26.71,26.45,27.18,28.16,26.12,26.90,27.76,27.53,26.14,26.60,28.65,27.23
2095,27.68,28.89,27.44,27.32,27.28,27.65,26.73,26.40,27.26,28.33,26.15,26.89,27.74,27.74,26.24,26.46,29.11,27.17
