Variable:,tas
,"Congo (Democratic Republic of the)",Bandundu,Bas-Congo,Equateur,"Kasai Occidental","Kasai Oriental",Katanga,Kinshasa,Maniema,Nord-Kivu,Orientale,Sud-Kivu
2015,25.15,25.67,25.12,26.02,25.28,25.42,24.08,25.19,25.50,22.84,25.47,23.80
2016,24.98,25.53,25.10,25.96,25.02,25.19,23.74,25.21,25.32,22.72,25.35,23.63
2017,25.14,25.73,25.12,26.11,25.21,25.46,23.81,25.27,25.59,22.82,25.49,23.81
2018,25.21,25.71,25.12,26.16,25.27,25.50,24.00,25.20,25.64,22.85,25.58,23.83
2019,25.34,25.79,25.27,26.28,25.40,25.68,24.17,25.32,25.84,23.06,25.66,24.06
2020,25.36,25.83,25.27,26.34,25.48,25.70,23.99,25.29,25.77,23.06,25.80,24.04
2021,25.36,25.88,25.28,26.36,25.47,25.56,24.13,25.36,25.68,22.96,25.74,23.95
2022,25.30,25.74,25.29,26.21,25.32,25.56,24.20,25.29,25.66,22.99,25.65,23.92
2023,25.36,25.91,25.49,26.33,25.42,25.64,24.16,25.44,25.71,23.01,25.69,23.98
2024,25.53,26.07,25.65,26.42,25.54,25.83,24.33,25.76,26.00,23.28,25.89,24.26
2025,25.58,26.04,25.43,26.67,25.64,25.82,24.31,25.54,25.89,23.25,25.99,24.08
2026,25.49,25.94,25.43,26.40,25.58,25.76,24.44,25.40,25.82,23.09,25.79,24.09
2027,25.74,26.17,25.62,26.63,25.81,26.04,24.57,25.71,26.14,23.45,26.11,24.44
2028,25.64,26.07,25.58,26.65,25.64,25.90,24.47,25.66,25.96,23.31,26.01,24.26
2029,25.55,26.10,25.70,26.53,25.65,25.87,24.34,25.68,25.95,23.13,25.86,24.16
2030,25.84,26.32,25.75,26.80,25.99,26.11,24.60,25.81,26.18,23.53,26.22,24.47
2031,25.83,26.30,25.74,26.75,25.93,26.12,24.66,25.86,26.20,23.51,26.19,24.45
2032,25.79,26.39,25.74,26.75,25.93,26.12,24.54,25.90,26.19,23.40,26.11,24.44
2033,25.75,26.25,25.63,26.67,25.84,26.02,24.58,25.72,26.15,23.43,26.11,24.38
2034,25.83,26.49,25.99,26.76,25.89,26.16,24.67,26.05,26.13,23.52,26.09,24.44
2035,25.94,26.42,25.85,26.85,26.01,26.22,24.72,26.13,26.34,23.55,26.35,24.52
2036,26.05,26.56,25.87,26.91,26.21,26.44,24.96,26.13,26.46,23.76,26.35,24.72
2037,26.17,26.65,26.01,27.13,26.26,26.44,25.03,26.06,26.52,23.75,26.51,24.74
2038,25.89,26.38,25.81,26.85,25.95,26.15,24.69,26.03,26.27,23.50,26.25,24.50
2039,25.92,26.38,25.74,26.82,25.97,26.18,24.80,25.84,26.27,23.58,26.32,24.46
2040,25.96,26.49,25.93,26.90,26.06,26.28,24.89,26.04,26.41,23.53,26.21,24.59
2041,25.90,26.45,25.82,26.91,25.97,26.10,24.64,26.03,26.17,23.52,26.32,24.50
2042,26.09,26.53,25.87,27.02,26.19,26.41,24.88,26.10,26.51,23.72,26.47,24.69
2043,26.22,26.63,26.01,27.24,26.29,26.57,25.02,26.14,26.64,23.89,26.56,24.89
2044,26.05,26.55,25.96,27.05,26.09,26.28,24.82,26.09,26.45,23.67,26.44,24.69
2045,26.13,26.58,26.06,27.08,26.13,26.46,24.85,26.18,26.55,23.89,26.57,24.83
2046,26.23,26.70,25.98,27.11,26.30,26.50,25.15,26.13,26.55,23.90,26.58,24.86
2047,26.12,26.61,26.06,26.99,26.15,26.45,25.07,26.28,26.57,23.71,26.43,24.76
2048,26.29,26.71,25.95,27.23,26.37,26.65,25.08,26.23,26.79,24.00,26.67,24.95
2049,26.22,26.82,26.19,27.14,26.42,26.61,24.96,26.46,26.64,23.80,26.56,24.72
2050,26.26,26.78,26.14,27.15,26.36,26.58,25.03,26.35,26.74,23.91,26.67,24.88
2051,26.37,26.87,26.12,27.28,26.47,26.71,25.19,26.34,26.78,24.05,26.74,25.04
2052,26.39,26.87,26.25,27.31,26.40,26.60,25.32,26.37,26.67,24.02,26.75,24.89
