Variable:,tas
,"Cook Islands","Administrative unit not available"
2015,25.01,25.19
2016,24.94,25.11
2017,24.95,25.12
2018,24.95,25.12
2019,24.87,25.08
2020,24.85,25.07
2021,24.90,25.09
2022,25.12,25.31
2023,25.16,25.33
2024,25.12,25.33
2025,25.28,25.44
2026,25.25,25.40
2027,25.19,25.38
2028,25.16,25.34
2029,25.10,25.28
2030,25.13,25.31
2031,25.18,25.39
2032,25.35,25.51
2033,25.32,25.51
2034,25.26,25.44
2035,25.36,25.52
2036,25.30,25.46
2037,25.42,25.56
2038,25.35,25.53
2039,25.68,25.82
2040,25.41,25.64
2041,25.38,25.55
2042,25.35,25.54
2043,25.35,25.53
2044,25.45,25.62
2045,25.47,25.63
2046,25.51,25.68
2047,25.41,25.62
2048,25.43,25.63
2049,25.32,25.52
2050,25.49,25.68
2051,25.37,25.56
2052,25.44,25.63
2053,25.60,25.78
2054,25.53,25.69
2055,25.45,25.65
2056,25.43,25.62
2057,25.38,25.56
2058,25.36,25.54
2059,25.55,25.73
2060,25.70,25.90
2061,25.60,25.77
2062,25.51,25.70
2063,25.55,25.71
2064,25.57,25.76
2065,25.46,25.64
2066,25.61,25.76
2067,25.83,25.99
2068,25.53,25.70
2069,25.57,25.76
2070,25.79,25.94
2071,25.62,25.76
2072,25.60,25.79
2073,25.39,25.57
2074,25.71,25.88
2075,25.43,25.65
2076,25.51,25.75
2077,25.69,25.87
2078,25.65,25.83
2079,25.66,25.85
2080,25.48,25.65
2081,25.68,25.84
2082,25.36,25.59
2083,25.59,25.77
2084,25.51,25.68
2085,25.33,25.53
2086,25.70,25.87
2087,25.60,25.77
2088,25.59,25.79
2089,25.56,25.74
2090,25.41,25.63
2091,25.71,25.89
2092,25.50,25.70
2093,25.53,25.72
2094,25.57,25.76
2095,25.63,25.80
2096,25.58,25.75
2097,25.65,25.82
2098,25.66,25.80
2099,25.69,25.84
2100,25.44,25.65
