Variable:,tas
,Germany,Baden-Wuerttemberg,Bayern,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg-Vorpommern,Niedersachsen,Nordrhein-Westfalen,Rheinland-Pfalz,Saarland,Sachsen,Sachsen-Anhalt,Schleswig-Holstein,Thueringen
2015,10.67,10.42,9.28,11.40,11.10,10.80,10.75,11.14,10.79,10.68,11.27,11.45,11.66,10.26,10.45,10.65,10.14
2016,10.67,10.17,9.11,11.53,11.20,10.87,10.80,11.18,10.98,10.69,11.20,11.39,11.55,10.18,10.53,10.73,10.13
2017,11.46,10.90,9.93,12.37,12.03,11.45,11.60,11.87,11.64,11.56,12.02,12.00,12.14,11.12,11.36,11.44,10.95
2018,10.60,10.17,9.07,11.25,10.97,10.97,10.97,11.02,10.93,10.75,11.25,11.28,11.44,9.97,10.29,10.88,9.96
2019,10.62,10.22,9.03,11.41,11.11,10.88,10.87,11.07,10.84,10.74,11.23,11.39,11.64,10.19,10.47,10.74,10.09
2020,10.84,10.41,9.25,11.64,11.35,11.01,11.01,11.28,11.09,10.90,11.40,11.59,11.80,10.44,10.66,10.93,10.26
2021,11.02,10.52,9.52,11.96,11.64,11.15,11.12,11.39,11.23,10.99,11.49,11.57,11.75,10.82,10.88,11.01,10.51
2022,10.89,10.31,9.25,11.70,11.39,11.16,11.11,11.35,11.14,10.98,11.58,11.72,11.89,10.50,10.69,10.95,10.34
2023,11.07,10.74,9.52,11.89,11.56,11.28,11.35,11.49,11.53,11.08,11.59,11.75,11.92,10.43,10.73,11.32,10.40
2024,10.98,10.46,9.50,11.73,11.43,11.15,11.20,11.38,11.29,11.02,11.55,11.57,11.72,10.46,10.78,11.10,10.41
2025,11.13,10.74,9.71,12.07,11.75,11.21,11.27,11.49,11.45,11.09,11.61,11.87,12.07,10.73,10.91,11.16,10.48
2026,11.42,11.10,10.07,12.00,11.75,11.45,11.35,12.05,11.29,11.36,12.02,12.28,12.49,11.23,11.18,11.26,11.12
2027,10.99,10.52,9.51,11.71,11.44,11.06,11.05,11.50,11.15,11.00,11.61,11.74,11.90,10.62,10.82,10.90,10.53
2028,11.23,10.56,9.52,12.30,11.96,11.66,11.58,11.51,11.70,11.32,11.68,11.71,11.87,10.92,11.05,11.47,10.62
2029,11.20,10.65,9.65,12.04,11.73,11.41,11.40,11.61,11.47,11.24,11.67,11.84,12.02,10.84,11.02,11.29,10.66
2030,11.14,10.72,9.67,11.94,11.64,11.28,11.34,11.57,11.50,11.17,11.70,11.79,11.97,10.63,10.91,11.21,10.54
2031,10.94,10.61,9.54,11.64,11.36,11.13,11.11,11.35,11.13,11.01,11.50,11.61,11.76,10.50,10.69,10.95,10.34
2032,10.73,10.43,9.22,11.41,11.12,10.94,10.92,11.25,10.99,10.78,11.45,11.62,11.83,10.17,10.43,10.78,10.13
2033,11.32,10.74,9.67,12.20,11.91,11.50,11.67,11.68,11.73,11.35,11.79,11.90,12.07,10.94,11.24,11.51,10.73
2034,11.09,10.79,9.66,11.84,11.56,11.17,11.23,11.51,11.36,11.08,11.64,11.85,12.11,10.63,10.87,11.06,10.51
2035,11.33,11.18,9.88,12.03,11.74,11.55,11.54,11.79,11.55,11.35,11.84,11.98,12.12,10.86,11.06,11.36,10.80
2036,11.43,10.96,9.80,12.33,12.02,11.60,11.65,11.96,11.72,11.45,12.03,12.24,12.36,11.07,11.23,11.44,10.86
2037,11.32,10.81,9.82,12.19,11.89,11.51,11.52,11.77,11.57,11.41,11.87,11.93,12.11,10.96,11.20,11.30,10.82
2038,11.60,11.33,10.22,12.32,12.02,11.76,11.81,12.09,11.74,11.65,12.18,12.34,12.50,11.15,11.41,11.58,11.06
2039,11.60,11.17,10.18,12.36,12.08,11.73,11.77,11.99,11.84,11.59,12.08,12.31,12.55,11.20,11.46,11.63,11.05
2040,11.40,10.99,9.87,12.27,11.94,11.65,11.68,11.75,11.74,11.43,11.97,12.03,12.17,10.95,11.17,11.58,10.74
2041,11.32,11.16,9.94,12.02,11.72,11.32,11.39,11.78,11.62,11.25,11.84,12.20,12.47,10.79,10.99,11.33,10.68
2042,11.78,11.50,10.29,12.49,12.14,11.91,11.88,12.49,11.78,11.83,12.53,12.82,13.00,11.25,11.62,11.57,11.38
2043,11.53,11.09,10.06,12.31,12.01,11.58,11.53,11.99,11.69,11.48,12.15,12.40,12.67,11.21,11.28,11.41,11.08
2044,11.88,11.49,10.41,12.72,12.42,11.75,11.91,12.44,12.07,11.85,12.50,12.69,12.83,11.57,11.82,11.55,11.51
2045,11.34,11.04,9.85,12.06,11.76,11.53,11.50,11.90,11.49,11.35,12.01,12.32,12.58,10.88,11.07,11.40,10.76
2046,11.64,11.16,10.20,12.22,11.94,11.93,11.81,12.08,11.84,11.73,12.30,12.39,12.52,11.06,11.37,11.89,11.03
2047,11.24,11.00,9.90,11.89,11.59,11.45,11.30,11.74,11.36,11.21,11.78,12.06,12.30,10.77,10.91,11.15,10.74
2048,11.52,11.13,10.04,12.11,11.85,11.86,11.74,11.97,11.71,11.64,12.12,12.36,12.58,10.99,11.23,11.69,10.92
2049,11.97,11.57,10.48,12.75,12.49,12.00,12.17,12.38,12.14,12.00,12.45,12.58,12.73,11.71,11.83,11.94,11.47
2050,11.72,11.32,10.21,12.52,12.23,11.96,12.08,12.16,12.01,11.84,12.32,12.42,12.64,11.21,11.56,11.89,11.11
2051,11.90,11.42,10.37,12.68,12.39,12.12,12.16,12.32,12.18,11.98,12.46,12.55,12.72,11.46,11.69,11.97,11.29
2052,11.50,11.09,10.05,12.32,12.00,11.67,11.72,11.97,11.71,11.53,12.03,12.24,12.50,11.12,11.35,11.43,11.02
2053,11.86,11.50,10.38,12.57,12.28,12.07,11.97,12.42,11.97,11.93,12.57,12.75,12.97,11.38,11.60,11.82,11.32
2054,11.81,11.35,10.38,12.67,12.37,11.86,11.97,12.25,12.03,11.77,12.32,12.55,12.76,11.48,11.67,11.78,11.33
2055,11.59,11.16,10.08,12.30,12.02,11.74,11.83,12.10,11.71,11.63,12.28,12.39,12.55,11.16,11.45,11.70,11.10
2056,11.67,11.47,10.28,12.34,12.06,11.61,11.73,12.30,11.76,11.62,12.28,12.58,12.76,11.23,11.41,11.45,11.17
2057,11.96,11.43,10.51,12.71,12.45,11.92,12.13,12.38,12.16,11.93,12.47,12.59,12.77,11.68,11.81,11.85,11.54
2058,11.84,11.46,10.50,12.62,12.31,11.83,11.87,12.29,11.98,11.77,12.34,12.58,12.80,11.50,11.65,11.68,11.38
2059,11.70,11.35,10.21,12.48,12.21,11.94,12.00,12.01,12.11,11.73,12.14,12.36,12.55,11.16,11.40,11.89,11.00
2060,12.00,11.51,10.60,12.78,12.50,12.06,12.16,12.48,12.31,11.98,12.53,12.75,12.92,11.58,11.83,11.95,11.48
2061,12.31,12.02,10.90,12.85,12.67,12.39,12.66,12.77,12.51,12.38,12.97,13.24,13.52,11.90,12.05,12.35,11.66
2062,12.06,11.57,10.65,12.91,12.62,12.17,12.26,12.40,12.39,12.02,12.50,12.64,12.86,11.68,11.81,12.11,11.50
2063,11.65,11.34,10.31,12.20,11.96,11.83,11.78,12.21,11.81,11.60,12.22,12.51,12.69,11.16,11.25,11.68,11.10
2064,12.06,11.89,10.77,12.61,12.33,12.07,12.12,12.63,12.18,12.01,12.69,13.00,13.31,11.43,11.70,11.96,11.59
2065,11.46,11.20,10.07,12.11,11.82,11.58,11.55,12.01,11.44,11.52,12.18,12.38,12.58,11.01,11.20,11.36,10.97
2066,11.61,11.21,10.07,12.38,12.08,12.04,12.00,11.91,12.05,11.73,12.08,12.23,12.50,11.04,11.26,11.90,10.84
2067,12.13,11.73,10.70,12.96,12.64,12.24,12.30,12.60,12.31,12.08,12.59,12.92,13.15,11.80,11.94,12.09,11.63
2068,11.86,11.45,10.39,12.62,12.33,11.99,11.96,12.30,12.02,11.90,12.45,12.65,12.97,11.52,11.71,11.81,11.32
2069,12.24,11.65,10.64,12.81,12.67,12.58,12.61,12.67,12.67,12.35,12.78,12.90,13.03,11.76,12.03,12.47,11.70
2070,11.65,11.53,10.35,12.11,11.88,11.78,11.76,12.18,11.76,11.53,12.23,12.54,12.76,11.20,11.25,11.69,11.15
2071,11.73,11.30,10.22,12.42,12.13,12.11,11.97,12.15,11.95,11.83,12.41,12.51,12.70,11.27,11.42,11.91,11.08
2072,11.39,11.07,9.97,11.94,11.68,11.63,11.53,11.96,11.55,11.43,12.17,12.30,12.49,10.78,11.02,11.50,10.80
2073,12.22,11.48,10.47,13.38,13.01,12.37,12.46,12.60,12.56,12.46,12.90,12.83,13.08,11.92,12.32,12.06,11.69
2074,12.14,12.02,10.78,12.86,12.55,12.12,12.17,12.60,12.24,12.07,12.67,12.98,13.18,11.69,11.87,12.08,11.54
2075,12.10,11.86,10.75,12.79,12.54,12.11,12.21,12.66,12.19,12.01,12.59,12.91,13.14,11.82,11.89,11.95,11.65
2076,11.74,11.50,10.38,12.35,12.07,11.90,11.91,12.27,11.95,11.77,12.34,12.65,12.93,11.16,11.37,11.71,11.08
2077,11.86,11.61,10.40,12.77,12.41,11.78,11.91,12.39,11.96,11.79,12.55,12.87,13.12,11.54,11.55,11.81,11.23
2078,12.40,11.93,11.01,13.03,12.77,12.53,12.51,12.99,12.43,12.43,13.05,13.20,13.34,12.10,12.13,12.31,11.94
2079,12.33,11.96,10.84,12.97,12.71,12.70,12.58,12.87,12.39,12.46,13.02,13.21,13.44,11.94,12.06,12.37,11.85
2080,12.01,11.82,10.67,12.59,12.31,12.21,12.06,12.59,12.08,12.01,12.68,12.99,13.26,11.47,11.67,12.03,11.44
2081,12.22,12.13,10.94,12.51,12.38,12.27,12.46,12.77,12.36,12.21,12.82,13.16,13.36,11.67,11.85,12.22,11.61
2082,11.87,11.71,10.49,12.53,12.27,12.02,12.02,12.23,12.01,11.79,12.30,12.66,12.98,11.56,11.61,11.97,11.38
2083,12.11,11.55,10.56,12.84,12.56,12.44,12.40,12.49,12.41,12.23,12.73,12.71,12.97,11.68,11.91,12.27,11.54
2084,12.05,11.86,10.83,12.56,12.41,12.06,12.05,12.42,12.23,11.94,12.47,12.78,13.00,11.72,11.79,11.94,11.52
2085,12.28,12.03,10.75,12.65,12.48,12.55,12.54,12.96,12.44,12.45,13.20,13.51,13.74,11.77,11.93,12.27,11.64
2086,12.23,11.89,10.76,13.03,12.74,12.58,12.55,12.52,12.54,12.32,12.68,12.79,13.00,11.80,12.03,12.36,11.58
2087,11.84,11.52,10.33,12.59,12.32,12.17,12.15,12.26,12.17,11.89,12.30,12.65,12.90,11.33,11.61,12.00,11.25
2088,11.99,11.57,10.51,12.67,12.41,12.10,12.22,12.44,12.19,12.07,12.55,12.57,12.70,11.52,11.81,12.03,11.49
2089,12.30,11.94,10.86,12.84,12.63,12.51,12.53,12.76,12.52,12.39,12.94,13.08,13.33,11.74,12.05,12.31,11.67
2090,12.05,11.57,10.51,12.81,12.57,12.26,12.22,12.44,12.35,12.08,12.59,12.68,12.88,11.69,11.87,12.13,11.46
2091,11.73,11.47,10.35,12.31,12.07,11.83,11.80,12.24,11.84,11.70,12.34,12.56,12.75,11.28,11.47,11.72,11.23
2092,12.10,11.96,10.69,12.77,12.46,12.31,12.25,12.62,12.25,12.11,12.71,12.97,13.20,11.55,11.79,12.17,11.53
2093,11.91,11.88,10.62,12.47,12.20,11.97,11.99,12.40,12.01,11.91,12.62,12.74,12.92,11.29,11.56,11.86,11.33
2094,12.29,11.91,10.81,12.96,12.71,12.47,12.37,12.80,12.39,12.31,12.91,13.13,13.41,11.93,12.15,12.20,11.82
2095,12.23,11.67,10.70,13.12,12.77,12.49,12.49,12.68,12.57,12.32,12.75,12.81,12.94,11.85,12.10,12.25,11.70
2096,12.27,11.92,10.88,13.17,12.90,12.33,12.38,12.60,12.56,12.16,12.61,12.82,13.00,12.05,12.05,12.23,11.67
2097,12.25,11.76,10.82,13.19,12.81,12.27,12.39,12.60,12.54,12.23,12.69,12.85,13.09,11.84,12.13,12.12,11.74
2098,11.65,11.23,10.25,12.18,12.00,11.76,11.81,12.18,11.87,11.67,12.25,12.54,12.82,11.15,11.38,11.65,11.10
2099,12.06,11.55,10.59,12.88,12.60,12.37,12.29,12.41,12.28,12.11,12.50,12.59,12.76,11.78,11.84,12.17,11.54
2100,12.18,12.01,10.93,12.78,12.51,12.21,12.10,12.73,12.18,12.05,12.77,13.13,13.47,11.79,11.95,11.93,11.76
