Variable:,tas
,Egypt,Alexandria,Assiut,Aswan,Behera,"Beni Suef",Cairo,Dakahlia,Damietta,Fayoum,Gharbia,Giza,Ismailia,"Kafr El-Shikh",Kalyoubia,Luxor,Matrouh,Menia,Menoufia,"New Valley","North Sinai","Port Said",Qena,"Red Sea",Shrkia,"South Sinai",Suez,Suhag
2015,23.98,21.96,23.53,27.55,21.97,22.83,22.83,22.09,21.85,22.55,22.27,22.86,22.33,21.93,22.70,25.83,22.55,23.07,22.21,24.66,21.60,22.23,25.40,25.82,22.59,22.38,21.93,24.52
2016,24.04,21.96,23.59,27.70,22.01,22.92,22.87,22.21,21.98,22.63,22.35,22.92,22.40,22.03,22.80,25.98,22.61,23.16,22.27,24.66,21.75,22.36,25.54,25.94,22.68,22.49,21.95,24.62
2017,24.05,22.04,23.52,27.75,22.09,22.92,23.02,22.25,21.99,22.70,22.43,22.93,22.52,22.04,22.89,25.99,22.62,23.13,22.37,24.67,21.75,22.41,25.47,25.88,22.77,22.49,22.07,24.55
2018,24.22,22.23,23.81,27.78,22.20,23.19,23.10,22.25,21.99,22.92,22.47,23.15,22.53,22.08,22.91,26.05,22.83,23.41,22.43,24.89,21.85,22.39,25.62,25.98,22.79,22.63,22.20,24.78
2019,24.05,21.94,23.65,27.69,21.92,22.86,22.78,22.04,21.81,22.56,22.21,22.83,22.35,21.84,22.63,25.93,22.57,23.11,22.16,24.79,21.61,22.22,25.48,25.90,22.53,22.40,21.94,24.70
2020,24.45,22.31,23.98,28.08,22.34,23.31,23.27,22.41,22.12,23.02,22.65,23.33,22.77,22.21,23.13,26.33,22.98,23.56,22.61,25.11,22.07,22.66,25.89,26.34,23.01,22.86,22.40,25.00
2021,24.34,22.34,23.90,27.85,22.39,23.26,23.27,22.40,22.11,23.02,22.68,23.31,22.70,22.20,23.14,26.18,23.00,23.50,22.66,25.05,21.88,22.47,25.71,26.04,23.00,22.61,22.27,24.89
2022,24.38,22.25,23.90,28.05,22.30,23.20,23.23,22.39,22.11,22.94,22.63,23.18,22.69,22.14,23.10,26.21,22.84,23.42,22.59,25.15,22.01,22.50,25.80,26.23,22.97,22.79,22.29,24.92
2023,24.42,22.36,24.05,28.01,22.36,23.35,23.30,22.36,22.07,23.11,22.63,23.37,22.68,22.17,23.09,26.37,23.01,23.57,22.62,25.05,21.98,22.59,25.96,26.31,22.96,22.87,22.40,25.08
2024,24.46,22.36,23.98,28.02,22.37,23.23,23.25,22.47,22.21,22.99,22.68,23.28,22.75,22.25,23.12,26.35,23.01,23.49,22.64,25.19,22.10,22.62,25.91,26.30,23.00,22.88,22.35,25.01
2025,24.71,22.76,24.26,28.22,22.79,23.57,23.64,22.88,22.61,23.38,23.10,23.60,23.12,22.69,23.55,26.59,23.30,23.81,23.05,25.39,22.42,22.99,26.15,26.42,23.42,23.14,22.70,25.30
2026,24.57,22.60,24.11,28.19,22.59,23.41,23.42,22.65,22.39,23.16,22.87,23.44,22.94,22.41,23.30,26.41,23.21,23.67,22.85,25.21,22.27,22.82,25.93,26.40,23.19,23.00,22.54,25.09
2027,24.60,22.43,24.22,28.31,22.45,23.44,23.46,22.64,22.37,23.10,22.83,23.40,22.96,22.40,23.33,26.52,23.10,23.67,22.76,25.25,22.33,22.79,26.11,26.54,23.21,23.13,22.59,25.21
2028,24.70,22.56,24.23,28.42,22.57,23.49,23.47,22.70,22.45,23.22,22.88,23.52,22.87,22.49,23.33,26.59,23.21,23.77,22.83,25.45,22.24,22.72,26.11,26.59,23.19,23.05,22.53,25.22
2029,24.59,22.56,24.15,28.24,22.62,23.41,23.45,22.65,22.39,23.21,22.89,23.46,22.86,22.49,23.32,26.52,23.17,23.67,22.87,25.28,22.10,22.72,26.03,26.44,23.18,22.87,22.47,25.15
2030,24.69,22.77,24.22,28.33,22.72,23.56,23.65,22.76,22.46,23.33,23.03,23.56,23.07,22.54,23.52,26.56,23.29,23.74,23.00,25.33,22.35,22.93,26.12,26.56,23.38,23.11,22.69,25.28
