Variable:,tas
,Estonia,"Harju maakond","Hiiu maakond","Ida-Viru maakond","Järva maakond","Jõgeva maakond","Lääne-Viru maakond","Lääne maakond","Pärnu maakond","Põlva maakond","Rapla maakond","Saare maakond","Tartu maakond","Valga maakond","Viljandi maakond","Võru maakond","Administrative unit not available"
2015,7.87,8.01,8.50,7.63,8.07,7.95,7.70,8.36,8.46,7.79,8.30,8.55,7.86,7.97,8.11,7.84,7.66
2016,7.76,7.94,8.58,7.47,7.93,7.78,7.58,8.36,8.37,7.64,8.23,8.60,7.69,7.82,7.99,7.71,7.50
2017,8.74,8.71,9.21,8.50,9.04,9.03,8.51,9.17,9.47,8.94,9.23,9.29,8.94,9.14,9.21,9.08,8.74
2018,8.05,8.15,8.75,7.78,8.23,8.15,7.86,8.55,8.61,8.06,8.44,8.80,8.09,8.19,8.29,8.12,7.95
2019,8.14,8.33,8.78,7.86,8.38,8.22,7.99,8.63,8.74,8.04,8.60,8.82,8.12,8.27,8.44,8.12,7.88
2020,8.24,8.33,8.86,8.02,8.46,8.37,8.08,8.69,8.79,8.18,8.63,8.91,8.28,8.35,8.53,8.20,8.07
2021,8.58,8.62,9.29,8.31,8.79,8.78,8.37,9.05,9.15,8.72,8.96,9.36,8.71,8.91,8.89,8.87,8.53
2022,8.50,8.65,9.02,8.25,8.71,8.61,8.30,8.96,9.03,8.40,8.91,9.05,8.52,8.58,8.78,8.40,8.30
2023,8.80,9.08,9.69,8.43,9.05,8.79,8.59,9.54,9.55,8.63,9.38,9.74,8.69,8.88,9.10,8.74,8.47
2024,8.27,8.39,8.87,7.98,8.50,8.40,8.08,8.74,8.84,8.29,8.68,8.93,8.31,8.48,8.57,8.41,8.12
2025,8.57,8.72,9.22,8.33,8.71,8.61,8.39,9.19,9.15,8.45,8.99,9.29,8.53,8.62,8.75,8.49,8.34
2026,8.02,8.16,8.93,7.73,8.23,8.07,7.84,8.63,8.60,7.94,8.43,8.97,7.99,8.14,8.29,8.02,7.80
2027,8.05,8.15,8.76,7.76,8.26,8.20,7.85,8.55,8.59,8.08,8.44,8.80,8.13,8.23,8.34,8.14,7.96
2028,9.34,9.38,9.86,9.17,9.50,9.45,9.21,9.66,9.78,9.26,9.64,9.91,9.41,9.23,9.54,9.07,9.30
2029,8.78,9.07,9.51,8.44,8.95,8.83,8.52,9.34,9.28,8.68,9.20,9.54,8.75,8.83,8.95,8.73,8.54
2030,8.46,8.71,9.34,8.10,8.72,8.51,8.26,9.09,9.11,8.32,8.97,9.37,8.40,8.55,8.77,8.41,8.14
2031,8.34,8.52,8.98,7.97,8.68,8.52,8.16,8.86,9.01,8.27,8.85,9.03,8.39,8.56,8.77,8.36,8.09
2032,8.49,8.62,9.11,8.33,8.66,8.54,8.38,8.90,8.87,8.30,8.78,9.13,8.44,8.47,8.71,8.28,8.20
2033,8.73,8.79,8.99,8.55,9.00,8.91,8.65,8.95,9.17,8.71,9.03,9.05,8.83,8.87,9.06,8.71,8.62
2034,8.87,8.99,9.35,8.73,9.02,8.90,8.74,9.24,9.30,8.73,9.20,9.40,8.83,8.75,9.05,8.66,8.66
2035,8.26,8.61,9.32,7.95,8.43,8.20,8.01,8.83,8.68,8.13,8.60,9.33,8.12,8.35,8.37,8.30,7.93
2036,8.96,9.08,9.52,8.73,9.19,9.06,8.81,9.36,9.50,8.92,9.35,9.57,8.97,9.08,9.25,8.97,8.78
2037,9.06,9.28,9.43,8.79,9.33,9.16,8.86,9.47,9.61,8.99,9.51,9.48,9.07,9.17,9.39,9.05,8.85
2038,8.38,8.49,9.17,8.06,8.54,8.51,8.12,8.98,9.02,8.44,8.82,9.21,8.45,8.63,8.61,8.55,8.29
2039,9.03,9.19,9.58,8.89,9.21,9.07,8.95,9.41,9.51,8.82,9.39,9.63,8.96,8.98,9.23,8.83,8.66
2040,8.99,9.12,9.68,8.82,9.03,8.95,8.79,9.54,9.48,8.86,9.35,9.71,8.90,8.94,9.06,8.86,8.79
2041,9.47,9.71,9.98,9.42,9.55,9.30,9.40,9.87,9.82,9.06,9.77,9.99,9.20,9.20,9.52,9.01,8.97
2042,9.11,9.19,9.59,8.87,9.35,9.25,8.96,9.41,9.57,9.16,9.43,9.65,9.18,9.30,9.41,9.24,9.03
2043,9.16,9.29,9.91,8.93,9.38,9.17,9.04,9.68,9.79,8.96,9.60,9.95,9.08,9.07,9.41,8.89,8.90
2044,8.88,8.96,9.40,8.66,9.08,9.04,8.72,9.23,9.35,8.98,9.21,9.46,8.98,9.12,9.15,9.09,8.81
2045,8.85,8.85,9.41,8.59,9.14,9.08,8.76,9.25,9.52,8.91,9.29,9.48,8.99,9.11,9.25,8.98,8.77
2046,9.03,9.33,9.80,8.65,9.29,9.04,8.82,9.73,9.75,8.81,9.60,9.85,8.92,9.06,9.34,8.88,8.65
2047,8.42,8.56,9.03,8.22,8.56,8.42,8.26,8.93,8.97,8.26,8.82,9.07,8.36,8.34,8.59,8.21,8.21
2048,9.35,9.54,9.92,9.09,9.54,9.38,9.19,9.80,9.89,9.21,9.77,9.96,9.29,9.35,9.58,9.23,9.10
2049,9.34,9.47,9.88,9.08,9.59,9.46,9.16,9.79,9.90,9.22,9.77,9.92,9.37,9.40,9.67,9.19,9.15
2050,8.63,8.71,9.30,8.26,8.86,8.89,8.36,9.09,9.18,8.84,9.02,9.34,8.84,8.94,8.96,8.93,8.70
2051,9.60,9.65,10.01,9.38,9.84,9.79,9.43,9.95,10.14,9.70,9.98,10.08,9.72,9.84,9.93,9.79,9.54
2052,9.26,9.45,9.81,9.04,9.43,9.19,9.11,9.73,9.81,9.09,9.68,9.86,9.14,9.19,9.44,9.07,9.05
2053,9.08,9.28,9.65,8.86,9.26,9.08,8.98,9.51,9.56,8.90,9.46,9.69,8.99,9.01,9.27,8.90,8.80
2054,9.57,9.60,10.14,9.28,9.76,9.89,9.33,10.01,10.11,9.66,9.94,10.19,9.83,9.78,9.86,9.60,9.62
2055,9.24,9.42,9.88,8.94,9.42,9.31,9.05,9.73,9.75,9.23,9.63,9.92,9.24,9.37,9.45,9.33,9.07
2056,8.66,8.93,9.41,8.37,8.84,8.59,8.49,9.24,9.22,8.48,9.11,9.45,8.50,8.65,8.85,8.58,8.31
2057,9.20,9.32,9.85,8.89,9.42,9.33,8.94,9.75,9.81,9.31,9.65,9.90,9.27,9.47,9.51,9.46,9.14
2058,9.22,9.35,9.90,9.08,9.34,9.21,9.03,9.77,9.75,9.03,9.60,9.93,9.13,9.15,9.38,9.01,8.94
2059,9.58,9.57,10.23,9.25,9.85,9.98,9.29,10.04,10.14,9.83,9.95,10.29,9.89,10.02,10.00,9.94,9.64
2060,9.12,9.26,9.83,8.83,9.33,9.20,8.85,9.68,9.73,9.12,9.57,9.87,9.13,9.32,9.41,9.24,8.97
2061,9.44,9.55,10.10,9.18,9.66,9.56,9.23,9.96,10.05,9.42,9.88,10.15,9.47,9.61,9.75,9.52,9.26
2062,9.71,9.82,10.14,9.48,9.92,9.86,9.55,10.03,10.15,9.75,10.03,10.18,9.79,9.88,9.98,9.81,9.61
2063,8.73,9.02,9.49,8.43,8.89,8.66,8.56,9.30,9.24,8.54,9.15,9.53,8.58,8.72,8.88,8.63,8.40
2064,9.50,9.71,10.17,9.26,9.66,9.51,9.36,9.97,9.98,9.43,9.87,10.20,9.42,9.62,9.67,9.58,9.23
2065,9.14,9.28,9.62,8.95,9.30,9.18,9.01,9.53,9.65,9.08,9.52,9.66,9.12,9.19,9.32,9.11,8.97
2066,9.18,9.41,10.02,8.89,9.38,9.21,8.97,9.81,9.80,9.05,9.67,10.06,9.11,9.26,9.43,9.14,8.89
2067,9.77,9.78,10.18,9.62,9.95,9.93,9.57,10.07,10.23,9.85,10.08,10.24,9.88,9.97,10.05,9.88,9.77
2068,9.29,9.35,9.86,9.09,9.46,9.44,9.10,9.73,9.73,9.32,9.59,9.92,9.38,9.46,9.54,9.36,9.21
2069,9.45,9.56,10.27,9.10,9.63,9.60,9.19,10.10,10.10,9.59,9.91,10.32,9.53,9.82,9.72,9.82,9.35
2070,9.44,9.68,9.95,9.24,9.63,9.42,9.33,9.86,9.88,9.13,9.81,9.98,9.31,9.30,9.64,9.05,9.07
2071,9.18,9.17,9.73,8.97,9.48,9.40,8.99,9.53,9.62,9.30,9.46,9.78,9.32,9.48,9.61,9.40,9.13
2072,9.13,9.32,9.72,8.91,9.30,9.17,9.00,9.59,9.66,8.95,9.54,9.77,9.08,9.09,9.32,8.93,8.87
2073,9.63,9.90,10.32,9.30,9.88,9.65,9.46,10.20,10.26,9.43,10.14,10.36,9.54,9.65,9.91,9.48,9.29
2074,9.53,9.79,10.17,9.26,9.74,9.52,9.41,10.04,10.05,9.28,9.95,10.21,9.41,9.48,9.75,9.29,9.16
