Variable:,tas
,"Federated States of Micronesia","Administrative unit not available"
2015,27.68,27.70
2016,27.73,27.73
2017,27.71,27.75
2018,27.72,27.71
2019,27.77,27.76
2020,27.82,27.85
2021,27.76,27.79
2022,27.80,27.81
2023,27.89,27.92
2024,27.95,27.93
2025,28.04,28.05
2026,28.00,28.02
2027,28.02,28.02
2028,28.01,28.05
2029,28.01,28.03
2030,28.10,28.09
2031,28.06,28.09
2032,28.13,28.15
2033,28.12,28.14
2034,28.11,28.10
2035,28.18,28.21
2036,28.22,28.22
2037,28.31,28.29
2038,28.25,28.26
2039,28.24,28.27
2040,28.31,28.32
2041,28.29,28.31
2042,28.32,28.34
2043,28.26,28.26
2044,28.42,28.46
2045,28.40,28.39
2046,28.35,28.35
2047,28.28,28.32
2048,28.40,28.40
2049,28.43,28.44
2050,28.43,28.46
2051,28.41,28.44
2052,28.52,28.51
2053,28.43,28.43
2054,28.42,28.42
2055,28.36,28.37
2056,28.52,28.53
2057,28.50,28.48
2058,28.45,28.47
2059,28.41,28.44
2060,28.49,28.49
2061,28.53,28.52
2062,28.55,28.56
2063,28.50,28.54
2064,28.59,28.59
2065,28.53,28.51
2066,28.46,28.49
2067,28.50,28.55
2068,28.49,28.52
2069,28.50,28.52
2070,28.55,28.57
2071,28.64,28.66
2072,28.56,28.53
2073,28.52,28.51
2074,28.65,28.66
2075,28.44,28.47
2076,28.46,28.50
2077,28.53,28.58
2078,28.54,28.55
2079,28.48,28.53
2080,28.56,28.57
2081,28.52,28.56
2082,28.51,28.53
2083,28.61,28.58
2084,28.56,28.56
2085,28.62,28.64
2086,28.55,28.57
2087,28.60,28.64
2088,28.57,28.57
2089,28.53,28.54
2090,28.60,28.61
2091,28.62,28.63
2092,28.59,28.59
2093,28.53,28.56
2094,28.67,28.68
2095,28.63,28.64
2096,28.45,28.50
2097,28.52,28.57
2098,28.66,28.67
2099,28.53,28.55
2100,28.63,28.66
