Variable:,tas
,Guinea,Boke,Conakry,Faranah,Kankan,Kindia,Labe,Mamou,Nzerekore
2015,26.93,27.64,27.12,26.64,26.68,27.42,26.55,26.86,25.81
2016,26.85,27.60,27.14,26.51,26.62,27.36,26.43,26.75,25.73
2017,26.97,27.66,27.25,26.66,26.77,27.39,26.63,26.81,25.71
2018,27.04,27.69,27.21,26.71,26.85,27.43,26.58,26.87,25.86
2019,27.12,27.72,27.23,26.77,26.92,27.48,26.69,26.97,26.02
2020,27.17,27.78,27.22,26.83,26.94,27.53,26.74,27.08,26.02
2021,27.14,27.76,27.21,26.82,26.93,27.47,26.73,26.97,26.01
2022,27.18,27.79,27.27,26.85,27.00,27.54,26.72,27.04,26.01
2023,27.09,27.79,27.28,26.74,26.86,27.54,26.66,26.98,26.03
2024,27.40,27.86,27.39,27.17,27.24,27.71,27.00,27.35,26.14
2025,27.29,27.95,27.52,27.00,27.08,27.74,26.85,27.21,26.11
2026,27.38,28.03,27.54,27.06,27.18,27.79,26.95,27.26,26.27
2027,27.40,28.13,27.61,27.02,27.15,27.86,26.98,27.26,26.23
2028,27.66,28.25,27.62,27.34,27.43,28.00,27.31,27.58,26.35
2029,27.38,28.14,27.59,27.09,27.13,27.85,26.99,27.31,26.20
2030,27.49,28.10,27.63,27.19,27.31,27.90,27.08,27.40,26.43
2031,27.64,28.19,27.64,27.37,27.47,27.99,27.24,27.56,26.42
2032,27.67,28.25,27.65,27.34,27.48,27.97,27.21,27.56,26.47
2033,27.47,28.12,27.65,27.14,27.26,27.87,27.03,27.33,26.36
2034,27.68,28.34,27.77,27.36,27.49,28.08,27.24,27.55,26.59
2035,27.54,28.09,27.52,27.25,27.36,27.84,27.11,27.41,26.35
2036,27.69,28.25,27.69,27.39,27.51,28.02,27.27,27.54,26.51
2037,27.87,28.40,27.80,27.56,27.69,28.16,27.44,27.75,26.67
2038,27.69,28.38,27.92,27.38,27.50,28.16,27.23,27.58,26.58
2039,27.65,28.30,27.72,27.33,27.43,28.09,27.22,27.57,26.55
2040,27.69,28.33,27.72,27.39,27.51,28.07,27.21,27.53,26.63
2041,27.57,28.17,27.60,27.26,27.37,27.97,27.08,27.44,26.47
2042,27.72,28.39,27.85,27.42,27.49,28.13,27.40,27.65,26.56
2043,28.06,28.52,27.83,27.77,27.85,28.30,27.69,27.97,26.91
2044,27.66,28.25,27.65,27.31,27.44,28.02,27.25,27.56,26.58
2045,27.57,28.27,27.83,27.23,27.35,28.05,27.10,27.47,26.61
2046,27.89,28.52,27.86,27.56,27.69,28.26,27.39,27.73,26.75
2047,27.86,28.50,28.04,27.53,27.61,28.22,27.52,27.71,26.74
2048,27.85,28.41,28.04,27.48,27.67,28.16,27.39,27.59,26.89
2049,27.89,28.54,27.95,27.53,27.64,28.26,27.51,27.74,26.80
2050,27.93,28.65,28.13,27.60,27.67,28.40,27.57,27.86,26.75
2051,28.06,28.74,28.10,27.67,27.82,28.38,27.80,27.88,26.88
2052,27.94,28.57,28.01,27.60,27.79,28.38,27.37,27.82,26.98
2053,27.92,28.50,28.05,27.61,27.76,28.27,27.41,27.78,26.78
2054,27.96,28.61,28.17,27.63,27.78,28.42,27.43,27.86,26.93
2055,27.94,28.61,28.04,27.57,27.70,28.39,27.45,27.82,26.93
2056,28.02,28.55,27.96,27.77,27.88,28.30,27.57,27.90,26.87
2057,27.91,28.54,27.92,27.59,27.65,28.27,27.60,27.86,26.74
2058,28.09,28.67,28.05,27.76,27.88,28.40,27.67,27.89,26.94
2059,28.23,28.91,28.43,27.87,28.09,28.70,27.73,28.06,27.07
2060,28.06,28.64,27.99,27.71,27.87,28.37,27.56,27.91,26.95
2061,27.88,28.55,28.04,27.65,27.65,28.29,27.48,27.78,26.74
2062,28.12,28.72,28.17,27.81,27.92,28.47,27.73,27.98,26.98
2063,28.14,28.85,28.28,27.78,27.91,28.58,27.74,28.00,26.96
2064,28.07,28.80,28.37,27.74,27.85,28.60,27.68,27.98,26.82
2065,28.06,28.57,27.90,27.77,27.94,28.26,27.66,27.86,26.84
2066,28.03,28.71,28.20,27.65,27.81,28.43,27.61,27.85,26.85
2067,28.16,28.75,28.11,27.83,27.93,28.43,27.78,27.94,27.09
2068,28.15,28.70,28.04,27.84,27.95,28.43,27.80,27.96,26.88
2069,28.14,28.74,28.26,27.79,27.99,28.53,27.59,27.92,27.08
2070,28.17,28.79,28.29,27.83,27.98,28.51,27.71,28.00,27.00
2071,28.10,28.67,28.15,27.84,27.97,28.41,27.60,27.97,26.96
2072,27.94,28.70,28.12,27.55,27.69,28.40,27.57,27.82,26.75
2073,28.23,28.97,28.42,27.85,27.98,28.71,27.85,28.10,27.09
2074,28.11,28.69,28.19,27.81,27.94,28.46,27.69,27.98,27.08
2075,28.09,28.71,28.11,27.80,27.87,28.44,27.60,28.01,26.97
2076,27.99,28.74,28.34,27.66,27.75,28.51,27.55,27.94,26.91
2077,28.13,28.84,28.42,27.80,27.90,28.56,27.74,28.02,26.99
2078,28.20,28.79,28.06,27.86,27.98,28.48,27.84,28.06,26.88
2079,28.19,28.79,28.16,27.90,28.04,28.55,27.67,28.09,26.95
2080,28.06,28.79,28.28,27.72,27.86,28.56,27.60,27.95,26.95
2081,28.17,28.79,28.36,27.87,28.05,28.59,27.58,27.98,27.06
2082,28.26,28.97,28.36,27.93,28.03,28.68,27.86,28.20,27.10
2083,28.01,28.60,28.12,27.72,27.86,28.37,27.49,27.87,27.02
2084,28.13,28.81,28.24,27.81,27.89,28.57,27.72,28.06,27.12
2085,28.10,28.73,28.21,27.71,27.89,28.49,27.62,27.88,27.09
2086,28.23,28.83,28.19,27.87,28.05,28.47,27.78,27.94,27.16
2087,28.28,28.90,28.29,27.81,28.03,28.63,27.88,28.08,27.09
2088,27.98,28.72,28.29,27.66,27.73,28.49,27.53,27.95,26.90
2089,28.26,28.82,28.34,27.93,28.09,28.62,27.84,28.09,26.99
2090,28.10,28.89,28.33,27.64,27.86,28.59,27.64,27.87,26.89
2091,28.03,28.81,28.31,27.65,27.73,28.58,27.68,27.98,26.83
2092,28.14,28.78,28.36,27.81,27.97,28.56,27.69,27.97,27.01
2093,28.31,28.93,28.31,27.96,28.11,28.61,27.98,28.09,27.06
2094,27.98,28.63,28.24,27.64,27.77,28.48,27.46,27.90,26.91
2095,28.04,28.63,28.09,27.64,27.82,28.34,27.54,27.78,26.93
2096,27.99,28.67,28.16,27.62,27.79,28.44,27.49,27.86,26.95
2097,28.12,28.76,28.30,27.79,27.91,28.51,27.68,27.96,27.02
2098,28.16,28.75,28.25,27.81,27.95,28.51,27.75,27.98,26.96
2099,28.06,28.61,28.11,27.72,27.88,28.40,27.66,27.95,26.89
2100,27.99,28.76,28.29,27.68,27.74,28.55,27.55,27.94,26.94
