Variable:,tas
,Croatia,Bjelovar-bilogora,Dubrovnik-neretva,"Grad Zagreb",Istra,Karlovac,Koprivnica-krizevci,Krapina-zagorje,Lika-senj,Medimurje,Osijek-baranja,Pozega-slavonija,"Primorje-gorski Kota",Sibenik,Sisak-moslavina,"Slavonski Brod-posav",Split-dalmatija,Varazdin,Virovitica-podravina,Vukovar-srijem,Zadar-knin,Zagreb
2015,13.22,12.39,18.04,11.83,16.07,11.91,13.14,11.99,15.79,13.38,13.42,12.73,15.11,16.99,12.05,12.92,17.74,13.24,12.70,13.04,16.01,11.90
2016,13.29,12.49,18.15,11.87,16.08,11.92,13.09,11.89,15.98,13.26,13.51,12.87,15.14,17.20,12.14,13.04,17.98,13.12,12.84,13.16,16.20,11.95
2017,13.63,12.75,18.21,12.17,16.41,12.29,13.65,12.43,16.22,13.89,13.81,13.15,15.46,17.30,12.37,13.33,18.00,13.74,13.12,13.42,16.41,12.24
2018,13.10,12.26,17.98,11.70,16.04,11.79,12.97,11.75,15.75,13.18,13.24,12.61,15.10,16.95,11.93,12.78,17.70,13.03,12.58,12.90,15.97,11.77
2019,13.13,12.24,18.11,11.60,15.95,11.72,12.92,11.67,15.86,13.09,13.40,12.69,14.95,17.05,11.83,12.89,17.84,12.94,12.66,13.07,16.07,11.67
2020,13.46,12.74,18.14,12.10,16.39,12.16,13.40,12.21,16.04,13.59,13.74,13.13,15.36,17.09,12.36,13.30,17.80,13.45,13.11,13.37,16.22,12.18
2021,13.65,12.82,18.37,12.20,16.51,12.28,13.55,12.34,16.26,13.73,13.85,13.21,15.48,17.41,12.45,13.38,18.16,13.59,13.18,13.51,16.47,12.28
2022,13.27,12.44,18.15,11.77,15.92,11.82,13.11,11.85,16.00,13.28,13.41,12.85,15.01,17.22,12.05,13.01,17.94,13.13,12.83,13.10,16.24,11.85
2023,13.54,12.68,18.33,12.08,16.46,12.14,13.39,12.17,16.20,13.57,13.74,13.04,15.44,17.34,12.34,13.23,18.06,13.43,13.01,13.41,16.42,12.16
2024,13.26,12.36,18.29,11.76,16.31,11.87,13.05,11.88,15.94,13.23,13.50,12.79,15.27,17.16,11.98,12.99,17.97,13.09,12.76,13.18,16.16,11.83
2025,13.73,12.82,18.46,12.29,16.55,12.48,13.53,12.35,16.31,13.72,14.01,13.27,15.63,17.48,12.43,13.48,18.24,13.58,13.24,13.68,16.52,12.34
2026,13.55,12.76,18.30,12.10,16.33,12.14,13.40,12.14,16.12,13.55,13.82,13.16,15.32,17.30,12.38,13.34,18.04,13.40,13.13,13.48,16.34,12.18
2027,13.43,12.53,18.31,11.84,16.06,11.91,13.33,12.05,16.03,13.53,13.73,12.96,15.11,17.22,12.12,13.18,18.01,13.38,12.93,13.41,16.25,11.93
2028,13.79,12.93,18.52,12.36,16.60,12.46,13.69,12.44,16.40,13.90,13.99,13.30,15.66,17.56,12.58,13.49,18.29,13.75,13.27,13.65,16.61,12.43
2029,13.62,12.76,18.36,12.12,16.31,12.19,13.51,12.29,16.16,13.71,13.89,13.17,15.37,17.30,12.38,13.37,18.01,13.57,13.14,13.56,16.38,12.20
2030,13.60,12.77,18.61,12.10,16.37,12.15,13.39,12.17,16.23,13.56,13.91,13.17,15.40,17.51,12.39,13.38,18.31,13.42,13.14,13.60,16.48,12.19
2031,13.66,12.77,18.54,12.05,16.49,12.12,13.47,12.25,16.11,13.63,14.20,13.28,15.46,17.32,12.32,13.54,18.15,13.49,13.24,13.88,16.33,12.13
2032,13.51,12.67,18.35,12.03,16.17,12.10,13.29,11.99,15.96,13.45,13.84,13.10,15.25,17.25,12.28,13.30,18.06,13.30,13.07,13.55,16.21,12.10
2033,13.67,12.81,18.45,12.15,16.47,12.22,13.67,12.43,16.20,13.91,13.85,13.21,15.44,17.44,12.42,13.39,18.17,13.76,13.19,13.49,16.44,12.24
2034,13.56,12.67,18.63,12.09,16.54,12.19,13.37,12.20,16.31,13.60,13.73,13.03,15.59,17.51,12.33,13.22,18.26,13.46,13.00,13.42,16.54,12.16
2035,13.79,12.90,18.72,12.34,16.55,12.46,13.68,12.50,16.33,13.89,13.98,13.28,15.58,17.60,12.54,13.47,18.38,13.75,13.25,13.66,16.56,12.40
2036,13.69,12.80,18.54,12.26,16.52,12.37,13.60,12.44,16.31,13.83,13.83,13.15,15.54,17.49,12.47,13.34,18.27,13.69,13.12,13.51,16.52,12.33
2037,13.63,12.73,18.43,12.09,16.37,12.18,13.60,12.36,16.15,13.84,13.84,13.14,15.41,17.37,12.34,13.33,18.15,13.69,13.11,13.51,16.37,12.18
