Variable:,tas
,Kiribati,"Administrative unit not available"
2015,28.16,27.90
2016,27.88,27.66
2017,28.09,27.83
2018,28.11,27.85
2019,28.36,28.07
2020,28.40,28.09
2021,28.12,27.86
2022,28.30,28.00
2023,28.17,27.90
2024,28.96,28.52
2025,28.32,28.02
2026,28.64,28.35
2027,28.39,28.17
2028,28.75,28.42
2029,28.15,27.90
2030,28.45,28.18
2031,28.74,28.41
2032,28.26,28.01
2033,28.69,28.38
2034,28.49,28.20
2035,28.15,27.98
2036,28.72,28.48
2037,28.70,28.48
2038,28.60,28.34
2039,28.38,28.15
2040,28.50,28.21
2041,28.70,28.42
2042,28.60,28.35
2043,28.77,28.49
2044,28.65,28.38
2045,28.71,28.51
2046,29.16,28.88
2047,28.66,28.39
2048,29.12,28.70
2049,28.72,28.47
2050,29.20,28.91
2051,28.97,28.75
2052,28.73,28.47
2053,28.54,28.28
2054,28.49,28.31
2055,29.01,28.74
2056,28.83,28.64
2057,28.80,28.58
2058,29.29,29.01
2059,28.80,28.48
2060,28.76,28.51
2061,28.84,28.61
2062,28.66,28.41
2063,29.24,28.97
2064,28.80,28.57
2065,28.96,28.60
2066,29.07,28.75
2067,29.02,28.71
2068,29.17,28.86
2069,28.90,28.64
2070,29.06,28.83
2071,28.48,28.27
2072,29.06,28.81
2073,29.10,28.81
2074,28.75,28.54
2075,28.94,28.67
2076,29.00,28.70
2077,29.09,28.88
2078,29.40,29.09
2079,29.09,28.81
2080,28.78,28.51
2081,29.26,28.89
2082,28.95,28.67
2083,28.43,28.26
2084,28.88,28.61
2085,29.34,29.05
2086,29.08,28.87
2087,29.11,28.77
2088,28.81,28.48
2089,29.28,28.96
2090,28.65,28.43
2091,28.93,28.66
2092,28.95,28.79
2093,28.82,28.61
2094,28.88,28.55
2095,28.93,28.68
2096,29.22,28.88
2097,29.35,28.94
2098,28.91,28.66
2099,29.04,28.69
2100,29.00,28.79
