Variable:,tas
,Morocco,"Meknès - Tafilalet",Oriental,"Chaouia - Ouardigha","Doukkala - Abda","Fès - Boulemane","Gharb - Chrarda - Béni Hssen","Grand Casablanca","Guelmim - Es-Semara","Laâyoune - Boujdour - Sakia El Hamra","Marrakech - Tensift - Al Haouz","Rabat - Salé - Zemmour - Zaer","Souss - Massa - Draâ","Tadla - Azilal","Tanger - Tétouan","Taza - Al Hoceima - Taounate"
2015,19.34,19.25,18.78,20.11,19.60,16.47,19.60,20.07,22.92,23.54,18.63,18.99,20.33,18.15,19.14,18.04
2016,19.14,19.11,18.80,19.66,19.21,16.32,19.09,19.48,22.68,23.19,18.33,18.55,20.16,17.91,18.70,17.78
2017,19.37,19.21,18.89,20.00,19.56,16.50,19.39,19.81,23.10,23.57,18.71,18.86,20.42,18.20,18.80,17.99
2018,19.21,19.14,18.87,19.83,19.42,16.28,19.32,19.80,22.73,23.30,18.47,18.70,20.21,17.86,18.81,17.90
2019,19.32,19.33,18.92,19.96,19.36,16.41,19.21,19.67,22.94,23.39,18.58,18.84,20.38,18.15,18.76,17.91
2020,19.32,19.30,18.99,19.88,19.35,16.45,19.31,19.72,22.85,23.35,18.56,18.78,20.35,18.06,18.86,17.96
2021,19.36,19.33,19.05,19.93,19.38,16.51,19.18,19.67,22.85,23.37,18.59,18.79,20.39,18.09,18.77,18.12
2022,19.51,19.50,19.16,20.09,19.60,16.63,19.41,19.92,23.09,23.51,18.77,18.89,20.61,18.34,18.89,18.10
2023,19.62,19.62,19.36,20.18,19.62,16.74,19.46,20.01,23.12,23.52,18.81,19.02,20.69,18.39,18.97,18.19
2024,19.54,19.50,19.23,20.08,19.57,16.72,19.56,19.96,23.15,23.56,18.72,18.99,20.58,18.24,19.10,18.07
2025,19.51,19.47,19.14,20.05,19.56,16.69,19.33,19.83,23.17,23.49,18.79,18.95,20.60,18.33,18.84,18.10
2026,19.83,19.82,19.51,20.27,19.73,17.03,19.59,19.97,23.49,23.71,19.01,19.17,20.93,18.49,19.07,18.52
2027,19.77,19.81,19.50,20.24,19.68,16.99,19.52,19.86,23.35,23.67,18.91,19.18,20.86,18.59,18.97,18.42
2028,19.77,19.89,19.43,20.25,19.71,16.90,19.52,19.99,23.31,23.64,18.92,19.14,20.91,18.64,19.04,18.39
2029,19.72,19.69,19.25,20.42,19.82,16.74,19.80,20.30,23.26,23.76,19.05,19.28,20.80,18.47,19.29,18.31
2030,19.73,19.74,19.44,20.26,19.60,16.89,19.64,19.99,23.25,23.67,18.95,19.11,20.80,18.55,19.12,18.33
2031,19.63,19.68,19.34,20.18,19.66,16.72,19.51,19.90,23.22,23.54,18.88,19.09,20.72,18.41,18.91,18.18
2032,20.05,20.09,19.72,20.62,20.03,17.27,19.94,20.45,23.72,24.10,19.25,19.51,21.10,18.79,19.39,18.70
2033,19.76,19.89,19.37,20.34,19.73,16.90,19.51,19.98,23.16,23.47,19.01,19.12,20.95,18.84,19.05,18.21
2034,19.98,20.10,19.75,20.46,19.77,17.23,19.69,20.12,23.49,23.71,19.15,19.33,21.04,18.82,19.18,18.67
2035,19.83,19.83,19.41,20.42,19.92,17.25,19.69,20.31,23.34,23.64,19.06,19.21,20.90,18.72,19.23,18.56
2036,19.76,19.70,19.39,20.33,19.90,16.89,19.61,20.20,23.42,23.81,19.05,19.11,20.82,18.50,19.18,18.31
2037,20.01,19.99,19.57,20.70,20.04,17.23,20.03,20.59,23.55,23.95,19.26,19.53,21.07,18.87,19.51,18.69
2038,20.11,20.09,19.78,20.70,20.05,17.25,20.04,20.44,23.68,23.97,19.29,19.61,21.15,18.92,19.58,18.79
2039,20.15,20.21,19.92,20.63,20.03,17.39,19.98,20.29,23.65,24.02,19.24,19.59,21.14,18.98,19.42,18.90
2040,19.98,19.91,19.60,20.55,19.96,17.02,19.82,20.25,23.67,23.98,19.30,19.41,21.08,18.78,19.34,18.60
2041,20.25,20.25,20.01,20.81,20.00,17.65,20.17,20.57,23.67,23.74,19.31,19.76,21.24,19.19,19.52,19.11
2042,20.18,20.26,19.84,20.59,20.03,17.46,20.02,20.37,23.82,24.28,19.27,19.53,21.26,18.96,19.53,18.82
2043,19.96,19.96,19.67,20.53,19.92,17.17,19.87,20.28,23.42,23.80,19.18,19.38,20.97,18.77,19.43,18.69
2044,20.17,20.30,20.01,20.63,20.10,17.49,19.93,20.48,23.67,24.10,19.24,19.49,21.15,19.01,19.41,18.83
2045,20.25,20.25,19.87,20.83,20.07,17.45,20.17,20.61,23.92,24.20,19.33,19.79,21.26,19.07,19.76,19.02
2046,20.24,20.36,20.01,20.73,20.17,17.31,20.01,20.60,23.84,24.20,19.33,19.62,21.36,18.96,19.49,18.72
2047,20.38,20.40,20.10,20.98,20.38,17.53,20.33,20.84,23.94,24.36,19.50,19.89,21.38,19.17,19.79,19.05
2048,20.34,20.29,19.96,21.04,20.47,17.35,20.42,20.95,23.95,24.41,19.55,20.00,21.37,19.03,19.77,18.89
2049,20.32,20.35,20.09,20.76,20.16,17.58,20.02,20.52,23.90,24.23,19.46,19.65,21.34,19.19,19.56,19.05
2050,20.30,20.37,19.93,20.87,20.25,17.53,20.06,20.52,23.89,24.16,19.55,19.76,21.39,19.19,19.53,18.92
2051,20.46,20.53,20.17,21.07,20.38,17.73,20.37,20.74,23.91,24.23,19.65,20.04,21.53,19.36,19.83,19.14
2052,20.39,20.44,20.17,20.94,20.17,17.73,20.21,20.61,23.81,24.03,19.53,19.87,21.38,19.26,19.60,19.17
2053,20.31,20.35,20.06,20.78,20.15,17.53,20.07,20.46,23.81,23.95,19.47,19.66,21.40,19.12,19.53,18.99
2054,20.34,20.55,20.24,20.76,20.01,17.59,20.11,20.45,23.61,23.90,19.34,19.64,21.38,19.24,19.58,19.04
2055,20.34,20.35,20.09,20.87,20.24,17.62,20.14,20.57,23.82,24.09,19.48,19.73,21.34,19.14,19.65,19.16
2056,20.28,20.35,20.07,20.69,20.01,17.45,19.94,20.31,23.87,23.98,19.36,19.62,21.43,19.10,19.42,18.90
2057,20.25,20.31,19.95,20.86,20.28,17.42,20.06,20.55,23.76,24.02,19.47,19.73,21.33,19.12,19.47,18.86
