Variable:,tas
,"Marshall Islands","Administrative unit not available"
2015,27.84,27.71
2016,27.76,27.62
2017,27.80,27.70
2018,27.77,27.69
2019,27.82,27.68
2020,27.91,27.80
2021,27.91,27.77
2022,27.94,27.83
2023,27.98,27.85
2024,27.97,27.84
2025,27.96,27.85
2026,28.11,27.98
2027,28.09,28.05
2028,28.07,27.98
2029,28.06,27.93
2030,28.17,28.04
2031,28.23,28.10
2032,28.12,28.01
2033,28.19,28.05
2034,28.09,27.98
2035,28.22,28.07
2036,28.37,28.26
2037,28.29,28.19
2038,28.29,28.18
2039,28.29,28.17
2040,28.33,28.20
2041,28.29,28.16
2042,28.47,28.33
2043,28.42,28.31
2044,28.42,28.31
2045,28.37,28.29
2046,28.49,28.37
2047,28.34,28.19
2048,28.38,28.27
2049,28.50,28.39
2050,28.49,28.38
2051,28.64,28.48
2052,28.57,28.49
2053,28.40,28.30
2054,28.59,28.46
2055,28.53,28.40
2056,28.48,28.38
2057,28.59,28.48
2058,28.55,28.44
2059,28.51,28.41
2060,28.49,28.40
2061,28.61,28.47
2062,28.63,28.49
2063,28.54,28.44
2064,28.60,28.49
2065,28.59,28.48
2066,28.53,28.44
2067,28.46,28.39
2068,28.73,28.55
2069,28.56,28.47
2070,28.56,28.48
2071,28.61,28.48
2072,28.65,28.56
2073,28.58,28.52
2074,28.55,28.46
2075,28.60,28.44
2076,28.55,28.46
2077,28.68,28.56
2078,28.63,28.54
2079,28.61,28.44
2080,28.57,28.45
2081,28.66,28.51
2082,28.56,28.44
2083,28.65,28.51
2084,28.68,28.52
2085,28.71,28.60
2086,28.61,28.49
2087,28.64,28.50
2088,28.64,28.48
2089,28.79,28.64
2090,28.53,28.43
2091,28.77,28.62
2092,28.78,28.61
2093,28.60,28.47
2094,28.72,28.60
2095,28.65,28.58
2096,28.60,28.45
2097,28.60,28.49
2098,28.64,28.50
2099,28.55,28.43
2100,28.69,28.58
