Variable:,tas
,"Norfolk Island","Administrative unit not available"
2015,20.38,20.25
2016,20.27,20.18
2017,20.46,20.24
2018,20.51,20.38
2019,20.46,20.33
2020,20.52,20.36
2021,20.48,20.38
2022,20.63,20.51
2023,20.81,20.66
2024,20.62,20.47
2025,20.73,20.54
2026,20.74,20.57
2027,20.60,20.52
2028,20.65,20.55
2029,20.84,20.79
2030,20.67,20.54
2031,20.90,20.78
2032,20.74,20.64
2033,20.91,20.73
2034,20.82,20.64
2035,20.88,20.69
2036,21.05,20.89
2037,20.99,20.87
2038,20.87,20.79
2039,20.76,20.69
2040,21.05,20.90
2041,20.76,20.65
2042,20.90,20.79
2043,20.87,20.78
2044,21.02,20.86
2045,21.07,20.97
2046,21.02,20.82
2047,21.07,20.97
2048,21.16,21.02
2049,21.16,21.09
2050,21.06,20.96
2051,20.98,20.89
2052,20.99,20.98
2053,21.14,21.14
2054,21.17,21.11
2055,21.25,21.03
2056,21.10,20.93
2057,21.22,21.04
2058,21.25,21.16
2059,21.34,21.25
2060,21.29,21.28
2061,21.30,21.11
2062,21.15,21.05
2063,21.17,21.00
2064,21.09,21.00
2065,21.00,20.87
2066,21.31,21.15
2067,21.15,20.97
2068,21.05,20.93
2069,21.29,21.19
2070,21.21,21.06
2071,21.23,21.10
2072,21.21,21.07
2073,21.37,21.39
2074,21.21,21.20
2075,21.22,21.14
2076,21.14,21.13
2077,21.10,21.03
2078,21.22,21.20
2079,21.03,21.02
2080,20.98,20.97
2081,21.14,21.01
2082,21.49,21.35
2083,21.38,21.25
2084,21.28,21.18
2085,21.01,20.88
2086,21.21,21.19
2087,21.18,21.21
2088,21.29,21.26
2089,21.19,21.13
2090,21.37,21.28
2091,21.12,21.07
2092,21.20,21.13
2093,21.25,21.20
2094,21.02,20.99
2095,21.04,21.02
2096,21.15,21.10
2097,21.28,21.26
2098,21.12,20.97
2099,21.22,21.11
2100,21.28,21.22
