Variable:,tas
,Niue,"Administrative unit not available"
2015,25.93,25.71
2016,26.03,25.80
2017,25.84,25.65
2018,26.07,25.81
2019,26.06,25.77
2020,25.93,25.71
2021,25.94,25.73
2022,26.02,25.78
2023,26.25,25.97
2024,26.28,26.03
2025,26.32,26.11
2026,26.20,25.99
2027,26.16,25.97
2028,26.22,26.04
2029,26.08,25.87
2030,26.22,26.02
2031,26.18,25.97
2032,26.24,26.06
2033,26.31,26.08
2034,26.19,25.97
2035,26.31,26.05
2036,26.37,26.19
2037,26.33,26.07
2038,26.34,26.10
2039,26.57,26.33
2040,26.37,26.12
2041,26.41,26.17
2042,26.27,25.99
2043,26.35,26.13
2044,26.40,26.16
2045,26.41,26.13
2046,26.64,26.38
2047,26.58,26.30
2048,26.48,26.22
2049,26.47,26.20
2050,26.46,26.20
2051,26.33,26.14
2052,26.46,26.25
2053,26.46,26.23
2054,26.51,26.32
2055,26.57,26.36
2056,26.50,26.38
2057,26.48,26.22
2058,26.42,26.19
2059,26.60,26.34
2060,26.83,26.63
2061,26.55,26.34
2062,26.39,26.16
2063,26.63,26.41
2064,26.55,26.38
2065,26.42,26.25
2066,26.52,26.26
2067,26.78,26.59
2068,26.63,26.41
2069,26.59,26.35
2070,26.77,26.53
2071,26.80,26.57
2072,26.62,26.36
2073,26.30,26.11
2074,26.51,26.28
2075,26.30,26.13
2076,26.50,26.24
2077,26.56,26.31
2078,26.56,26.35
2079,26.55,26.30
2080,26.54,26.25
2081,26.61,26.35
2082,26.55,26.29
2083,26.47,26.18
2084,26.45,26.24
2085,26.36,26.08
2086,26.58,26.36
2087,26.69,26.51
2088,26.76,26.52
2089,26.56,26.25
2090,26.54,26.29
2091,26.67,26.39
2092,26.60,26.37
2093,26.69,26.40
2094,26.54,26.34
2095,26.58,26.38
2096,26.63,26.40
2097,26.75,26.45
2098,26.69,26.43
2099,26.74,26.54
2100,26.58,26.32
