Variable:,tas
2015,23.25
2016,23.32
2017,23.28
2018,23.34
2019,23.20
2020,23.46
2021,23.26
2022,23.42
2023,23.44
2024,23.52
2025,23.49
2026,23.46
2027,23.61
2028,23.54
2029,23.50
2030,23.55
2031,23.56
2032,23.53
2033,23.46
2034,23.80
2035,23.54
2036,23.64
2037,23.75
2038,23.64
2039,23.87
2040,23.82
2041,23.69
2042,23.68
2043,23.81
2044,23.62
2045,23.67
2046,23.72
2047,23.79
2048,23.75
2049,23.77
2050,23.89
2051,23.95
2052,23.93
2053,23.65
2054,23.83
2055,23.72
2056,23.86
2057,23.83
2058,23.92
2059,23.98
2060,23.85
2061,23.87
2062,24.01
2063,23.97
2064,23.87
2065,23.95
2066,24.05
2067,23.90
2068,23.84
2069,23.88
2070,24.06
2071,24.22
2072,23.97
2073,24.11
2074,24.03
2075,23.80
2076,24.03
2077,24.10
2078,24.32
2079,24.24
2080,24.10
2081,24.01
2082,23.92
2083,23.99
2084,24.20
2085,24.06
2086,24.15
2087,24.08
2088,23.94
2089,24.05
2090,24.23
2091,24.08
2092,23.95
2093,24.08
2094,24.01
2095,24.06
2096,24.06
2097,24.01
2098,24.00
2099,23.91
2100,23.96
