Variable:,tas
,Romania,Alba,Arad,Arges,Bacau,Bihor,Bistrita-nasaud,Botosani,Braila,Brasov,Bucuresti,Buzau,Calarasi,Caras-severin,Cluj,Constanta,Covasna,Dimbovita,Dolj,Galati,Giurgiu,Gorj,Harghita,Hunedoara,Ialomita,Iasi,Maramures,Mehedinti,Mures,Neamt,Olt,Prahova,Salaj,"Satu Mare",Sibiu,Suceava,Teleorman,Timis,Tulcea,Vaslui,Vilcea,Vrancea
2015,11.29,10.14,13.03,12.09,9.54,12.49,10.58,9.40,13.03,10.65,13.60,12.09,13.44,12.58,10.06,13.47,10.48,12.65,12.90,12.60,13.28,11.95,9.44,11.15,13.40,10.56,10.37,12.17,10.11,8.66,13.42,11.92,10.68,11.44,10.57,7.75,12.85,13.69,13.34,11.21,11.75,11.76
2016,11.60,10.24,13.15,12.27,9.79,12.62,10.89,9.69,13.49,10.89,13.89,12.37,13.79,12.80,10.18,14.19,10.73,12.98,13.09,13.07,13.62,12.13,9.74,11.28,13.79,10.94,10.64,12.47,10.35,8.89,13.55,12.19,10.87,11.62,10.72,8.06,13.17,13.91,14.14,11.73,11.87,12.09
2017,11.99,10.80,13.69,12.66,10.39,13.23,11.20,9.92,13.95,11.25,14.26,12.94,14.22,13.09,10.73,14.41,11.21,13.21,13.43,13.52,13.88,12.55,10.09,11.77,14.21,11.33,11.05,12.70,10.66,9.30,13.87,12.60,11.42,12.21,11.19,8.24,13.38,14.20,14.20,12.20,12.34,12.66
2018,11.22,9.81,12.79,11.95,9.59,12.17,10.31,9.17,13.49,10.63,13.75,12.37,13.75,12.41,9.69,14.05,10.56,12.66,12.70,13.00,13.35,11.76,9.33,10.92,13.76,10.53,10.01,12.08,9.91,8.58,13.12,12.05,10.26,11.02,10.37,7.56,12.81,13.51,13.82,11.40,11.53,12.06
2019,11.40,10.32,13.25,12.13,9.64,12.72,10.66,9.41,13.16,10.72,13.55,12.16,13.46,12.80,10.25,13.60,10.56,12.69,13.00,12.74,13.28,12.13,9.55,11.36,13.45,10.71,10.55,12.39,10.17,8.71,13.39,11.95,10.92,11.66,10.66,7.74,12.85,13.88,13.40,11.44,11.82,11.88
2020,11.67,10.47,13.32,12.52,9.89,12.71,10.92,9.65,13.54,11.05,14.07,12.49,13.97,13.00,10.36,14.25,10.86,13.09,13.49,13.07,13.79,12.46,9.83,11.56,13.95,10.90,10.64,12.76,10.46,8.99,13.90,12.34,10.87,11.59,10.97,8.11,13.39,14.02,14.06,11.70,12.19,12.16
2021,11.98,10.82,13.67,12.65,10.35,13.20,11.13,10.10,13.76,11.34,14.11,12.76,14.03,13.29,10.75,14.35,11.23,13.27,13.57,13.34,13.88,12.59,10.25,11.80,14.02,11.38,10.93,12.86,10.82,9.37,13.93,12.55,11.35,12.16,11.18,8.28,13.49,14.39,14.13,12.05,12.30,12.50
2022,11.71,10.35,13.24,12.71,10.18,12.57,10.71,9.46,13.90,11.29,14.53,13.01,14.41,12.94,10.22,14.29,11.21,13.49,13.39,13.39,14.18,12.35,9.92,11.45,14.37,10.91,10.43,12.59,10.36,9.04,13.99,12.77,10.68,11.40,10.93,7.90,13.64,14.06,14.11,11.93,12.22,12.60
2023,11.75,10.44,13.60,12.62,9.98,12.93,10.94,9.74,13.63,11.05,14.25,12.57,14.15,13.31,10.34,14.23,10.89,13.29,13.61,13.11,14.00,12.49,9.82,11.63,14.14,11.03,10.68,12.98,10.42,9.05,14.12,12.42,10.94,11.72,10.90,8.12,13.57,14.44,13.98,11.79,12.22,12.22
2024,11.57,10.37,13.47,12.39,9.77,12.84,10.51,9.49,13.62,10.92,14.03,12.57,13.94,12.97,10.23,14.12,10.77,13.02,13.22,13.15,13.75,12.35,9.55,11.59,13.92,10.74,10.41,12.49,10.13,8.76,13.75,12.31,10.85,11.63,10.79,7.71,13.34,14.09,13.95,11.61,12.05,12.24
2025,12.07,10.80,13.77,12.94,10.29,13.18,11.32,10.02,14.08,11.47,14.75,13.12,14.61,13.29,10.71,14.54,11.33,13.65,13.67,13.56,14.38,12.71,10.10,11.89,14.57,11.33,11.11,12.92,10.66,9.33,14.21,12.92,11.35,12.07,11.26,8.32,13.85,14.39,14.31,12.07,12.52,12.72
2026,12.11,10.86,13.75,12.81,10.30,13.22,11.41,10.21,14.13,11.39,14.53,13.01,14.46,13.28,10.81,14.51,11.26,13.43,13.61,13.69,14.14,12.60,10.25,11.83,14.45,11.40,11.16,12.94,10.89,9.42,14.05,12.74,11.41,12.15,11.30,8.62,13.63,14.34,14.34,12.28,12.43,12.72
2027,11.76,10.61,13.53,12.45,10.05,12.94,10.99,9.73,13.63,11.10,14.08,12.62,13.99,13.08,10.55,14.29,10.98,13.09,13.33,13.17,13.77,12.33,9.92,11.58,13.98,10.99,10.79,12.65,10.45,9.10,13.77,12.41,11.08,11.81,10.89,8.15,13.33,14.20,14.13,11.79,12.07,12.30
2028,11.89,10.55,13.59,12.64,9.96,12.98,11.10,9.99,13.75,11.13,14.26,12.68,14.13,13.41,10.45,14.44,10.96,13.29,13.70,13.28,14.00,12.70,9.86,11.78,14.11,11.20,10.90,13.16,10.44,9.11,14.03,12.49,11.16,11.92,11.00,8.25,13.58,14.44,14.29,11.81,12.30,12.34
2029,11.92,10.78,13.63,12.66,10.17,13.05,11.28,9.94,13.81,11.22,14.31,12.76,14.18,13.23,10.71,14.34,11.10,13.37,13.46,13.36,14.06,12.52,10.08,11.78,14.16,11.17,11.02,12.75,10.72,9.25,13.93,12.56,11.24,11.95,11.15,8.34,13.61,14.37,14.17,11.91,12.27,12.46
2030,12.02,10.77,13.58,12.98,10.41,12.98,10.96,9.87,14.13,11.49,14.64,13.11,14.53,13.22,10.62,14.49,11.36,13.65,13.73,13.67,14.34,12.74,10.15,11.83,14.50,11.23,10.73,12.95,10.71,9.34,14.28,12.88,11.09,11.85,11.32,8.26,13.87,14.32,14.41,12.25,12.58,12.78
2031,12.30,11.07,13.92,13.27,10.49,13.33,11.48,10.11,14.32,11.77,14.90,13.28,14.77,13.65,10.97,14.85,11.56,13.91,14.16,13.81,14.59,13.07,10.42,12.11,14.74,11.40,11.25,13.42,11.04,9.50,14.61,13.12,11.53,12.26,11.60,8.50,14.12,14.67,14.63,12.26,12.88,12.91
2032,11.85,10.60,13.57,12.78,10.16,12.90,10.92,9.62,13.91,11.23,14.46,12.80,14.35,13.39,10.43,14.54,11.07,13.41,13.64,13.40,14.19,12.70,9.97,11.86,14.33,11.00,10.68,12.96,10.59,9.09,14.16,12.60,10.97,11.70,11.19,8.01,13.77,14.45,14.23,11.95,12.43,12.48
2033,11.74,10.55,13.38,12.48,10.10,12.85,10.90,9.81,13.68,11.10,14.01,12.67,13.88,12.93,10.45,14.00,10.95,13.09,13.24,13.32,13.71,12.33,9.69,11.54,13.86,11.12,10.67,12.51,10.44,9.08,13.69,12.42,11.00,11.78,10.97,8.04,13.27,14.07,13.89,11.99,12.11,12.42
2034,11.91,10.61,13.47,12.74,10.21,12.91,11.06,9.91,13.94,11.25,14.38,12.87,14.28,13.14,10.50,14.34,11.10,13.40,13.58,13.51,14.09,12.57,9.87,11.68,14.26,11.24,10.80,12.84,10.50,9.21,14.08,12.64,11.06,11.82,11.08,8.24,13.65,14.19,14.31,12.14,12.35,12.57
