Variable:,tas
,"Saudi Arabia",Asir,Baha,"Eastern Province",Hail,Jawf,Jizan,Madinah,Makkah,Najran,"Northern Frontier",Quassim,Riyad,Tabuk
2015,26.61,24.55,28.85,28.14,25.79,23.10,29.14,27.77,27.35,24.50,24.42,26.94,27.17,25.25
2016,26.46,24.29,28.71,27.90,25.88,23.24,29.08,27.60,27.20,24.18,24.58,26.90,26.89,25.15
2017,26.35,24.21,28.62,27.90,25.46,22.94,28.92,27.45,27.10,24.12,24.32,26.57,26.82,25.01
2018,26.54,24.43,28.92,28.07,25.64,23.09,29.16,27.67,27.35,24.43,24.37,26.78,27.09,25.24
2019,26.55,24.55,28.81,28.10,25.62,23.00,29.14,27.62,27.30,24.57,24.33,26.84,27.14,25.13
2020,26.81,24.56,29.01,28.22,26.17,23.64,29.23,28.02,27.55,24.38,24.88,27.17,27.27,25.67
2021,26.66,24.48,28.80,28.15,25.95,23.36,29.18,27.78,27.32,24.40,24.65,27.04,27.12,25.35
2022,26.93,24.77,29.04,28.40,26.22,23.56,29.31,28.00,27.58,24.65,25.03,27.25,27.41,25.58
2023,26.85,24.61,29.10,28.41,26.00,23.44,29.38,27.93,27.56,24.54,24.78,27.10,27.38,25.54
2024,27.07,24.72,29.09,28.58,26.41,23.69,29.46,28.21,27.66,24.67,25.05,27.53,27.59,25.75
2025,27.05,24.74,29.12,28.52,26.34,23.71,29.32,28.08,27.65,24.57,25.17,27.56,27.60,25.69
2026,27.02,24.81,29.16,28.54,26.24,23.67,29.49,28.12,27.68,24.85,25.04,27.30,27.47,25.71
2027,27.29,25.06,29.45,28.78,26.55,23.82,29.68,28.44,27.99,25.13,25.18,27.77,27.86,25.90
2028,27.05,24.89,29.21,28.57,26.26,23.72,29.53,28.20,27.75,24.99,24.92,27.33,27.57,25.76
2029,27.03,24.79,29.23,28.63,26.15,23.47,29.52,28.23,27.75,24.70,24.84,27.41,27.56,25.65
2030,27.29,24.84,29.22,28.80,26.63,23.90,29.58,28.34,27.86,24.91,25.40,27.75,27.82,25.89
2031,27.19,25.10,29.42,28.74,26.30,23.70,29.70,28.32,27.86,25.19,25.10,27.46,27.73,25.82
2032,27.18,25.09,29.41,28.57,26.42,24.00,29.71,28.38,27.95,25.00,25.32,27.57,27.67,25.89
2033,27.43,25.18,29.56,28.96,26.64,24.00,29.70,28.47,28.08,25.23,25.36,27.83,27.99,26.01
2034,27.36,25.08,29.42,28.83,26.64,24.05,29.72,28.43,27.92,25.10,25.45,27.84,27.91,26.03
2035,27.55,25.23,29.50,29.07,26.86,24.09,29.79,28.59,28.18,25.39,25.53,27.94,28.10,26.10
2036,27.45,25.29,29.55,29.09,26.57,23.86,29.85,28.24,28.00,25.41,25.37,27.55,28.06,25.80
2037,27.53,25.37,29.66,29.06,26.79,23.98,29.86,28.60,28.21,25.34,25.33,27.92,28.10,26.11
2038,27.42,25.18,29.52,28.97,26.64,24.01,29.79,28.54,28.01,25.19,25.43,27.83,27.90,26.14
2039,27.39,25.36,29.58,28.93,26.51,23.77,29.90,28.39,28.09,25.33,25.18,27.81,28.03,25.90
2040,27.50,25.22,29.47,29.03,26.70,24.06,29.77,28.63,28.11,25.28,25.39,27.88,28.07,26.20
2041,27.31,25.07,29.42,28.82,26.57,23.90,29.71,28.46,27.95,25.07,25.35,27.68,27.79,26.00
2042,27.57,25.25,29.58,29.15,26.74,23.96,29.84,28.52,28.18,25.29,25.44,27.98,28.21,25.97
2043,27.53,25.51,29.65,29.16,26.56,23.96,29.92,28.46,28.19,25.60,25.30,27.69,28.12,25.97
2044,27.72,25.52,29.78,29.37,26.86,24.12,30.04,28.63,28.32,25.60,25.52,28.03,28.27,26.13
2045,27.72,25.34,29.88,29.21,27.02,24.28,30.00,28.82,28.40,25.23,25.67,28.22,28.33,26.33
2046,27.84,25.60,29.89,29.35,27.01,24.56,30.09,28.74,28.36,25.56,25.91,28.16,28.38,26.43
2047,27.86,25.53,29.74,29.51,26.99,24.34,30.04,28.71,28.36,25.71,25.68,28.20,28.50,26.31
2048,27.60,25.35,29.72,29.15,26.84,24.21,29.98,28.65,28.21,25.31,25.56,27.94,28.13,26.21
2049,27.74,25.25,29.67,29.30,27.02,24.38,29.90,28.72,28.22,25.30,25.77,28.15,28.26,26.35
2050,27.80,25.57,29.92,29.46,26.86,24.14,30.16,28.65,28.41,25.76,25.60,28.01,28.41,26.15
2051,27.90,25.64,29.81,29.44,27.10,24.47,30.15,28.82,28.42,25.72,25.87,28.27,28.49,26.48
2052,27.84,25.48,29.81,29.34,27.23,24.58,30.13,28.87,28.37,25.55,25.97,28.27,28.29,26.54
2053,27.92,25.42,29.74,29.48,27.25,24.58,30.05,28.88,28.32,25.47,25.90,28.38,28.49,26.58
2054,27.76,25.48,29.83,29.30,27.07,24.43,30.02,28.88,28.42,25.32,25.80,28.17,28.22,26.41
2055,27.80,25.67,29.80,29.50,26.87,24.14,30.18,28.64,28.36,25.76,25.61,28.03,28.41,26.13
2056,27.73,25.27,29.65,29.31,26.96,24.36,29.99,28.70,28.20,25.36,25.71,28.11,28.26,26.40
2057,27.84,25.47,29.81,29.38,27.12,24.34,30.04,28.81,28.37,25.48,25.80,28.29,28.41,26.38
2058,27.81,25.69,29.87,29.41,26.88,24.43,30.13,28.72,28.36,25.75,25.80,27.96,28.31,26.37
2059,28.08,25.61,29.97,29.60,27.37,24.82,30.21,28.98,28.54,25.77,26.13,28.46,28.66,26.68
2060,27.81,25.43,29.79,29.33,27.15,24.47,29.98,28.88,28.41,25.50,25.78,28.19,28.28,26.47
2061,27.87,25.60,29.78,29.37,27.03,24.48,30.17,28.75,28.40,25.78,25.88,28.11,28.54,26.38
2062,27.99,25.82,30.04,29.60,27.06,24.46,30.29,28.86,28.60,25.73,25.88,28.28,28.56,26.40
2063,28.23,25.80,30.22,29.65,27.65,24.94,30.35,29.33,28.77,25.78,26.38,28.72,28.78,27.00
2064,27.98,25.73,30.06,29.59,27.22,24.53,30.25,28.92,28.57,25.72,25.98,28.32,28.44,26.45
2065,27.77,25.55,29.84,29.35,26.87,24.21,30.04,28.77,28.43,25.63,25.57,28.11,28.39,26.30
2066,27.85,25.55,29.86,29.46,27.03,24.37,30.12,28.83,28.39,25.61,25.70,28.17,28.42,26.40
2067,27.95,25.65,29.95,29.45,27.20,24.62,30.26,29.00,28.53,25.78,25.91,28.36,28.51,26.64
2068,28.20,25.67,30.00,29.76,27.63,24.77,30.32,29.20,28.71,25.66,26.27,28.81,28.66,26.70
2069,27.99,25.77,30.01,29.56,27.12,24.57,30.23,28.93,28.60,25.88,25.89,28.26,28.57,26.54
2070,27.90,25.76,29.98,29.48,27.12,24.36,30.37,28.88,28.45,25.77,25.70,28.33,28.47,26.47
2071,27.77,25.67,29.81,29.35,26.89,24.29,30.23,28.79,28.34,25.83,25.57,28.04,28.33,26.42
2072,27.99,25.66,29.96,29.54,27.23,24.61,30.20,28.89,28.52,25.70,26.03,28.38,28.54,26.51
2073,28.00,25.79,30.01,29.51,27.26,24.79,30.25,29.01,28.58,25.75,26.07,28.23,28.45,26.68
2074,27.84,25.64,29.89,29.49,26.92,24.33,30.19,28.76,28.34,25.59,25.72,28.10,28.39,26.34
2075,27.87,25.62,29.92,29.46,27.10,24.36,30.18,28.86,28.45,25.58,25.80,28.29,28.41,26.40
2076,27.87,25.76,30.00,29.38,27.01,24.43,30.20,28.89,28.52,25.70,25.72,28.22,28.48,26.45
2077,27.99,25.85,30.10,29.47,27.27,24.60,30.24,28.96,28.66,25.85,25.85,28.38,28.57,26.56
2078,28.03,25.71,29.97,29.68,27.25,24.56,30.29,29.03,28.63,25.78,25.90,28.35,28.53,26.60
2079,27.87,25.68,29.84,29.51,27.08,24.39,30.19,28.77,28.38,25.81,25.73,28.17,28.42,26.49
2080,27.84,25.54,29.82,29.34,27.08,24.46,30.11,28.78,28.36,25.58,25.88,28.19,28.44,26.40
2081,28.10,25.73,30.03,29.66,27.24,24.48,30.19,29.13,28.69,25.82,25.98,28.51,28.76,26.55
2082,28.17,25.81,30.02,29.79,27.34,24.49,30.24,29.13,28.74,25.93,26.04,28.49,28.80,26.55
2083,27.83,25.47,29.79,29.35,27.20,24.55,30.06,28.88,28.28,25.47,25.94,28.16,28.25,26.62
2084,27.85,25.75,30.02,29.43,26.96,24.42,30.25,28.84,28.50,25.81,25.76,28.07,28.35,26.45
2085,28.09,25.77,30.14,29.60,27.35,24.64,30.32,29.00,28.70,25.78,26.15,28.62,28.70,26.62
2086,28.13,25.81,30.17,29.70,27.36,24.78,30.44,29.04,28.66,25.88,26.26,28.46,28.64,26.67
2087,28.27,25.78,30.13,29.83,27.59,24.87,30.34,29.16,28.73,25.88,26.42,28.67,28.82,26.73
2088,27.97,25.63,29.91,29.46,27.30,24.71,30.21,28.94,28.48,25.63,26.13,28.29,28.44,26.61
2089,27.94,25.91,30.05,29.54,27.02,24.28,30.39,28.81,28.57,26.02,25.70,28.23,28.57,26.34
2090,28.03,25.90,30.01,29.75,27.05,24.28,30.30,28.83,28.52,25.99,25.76,28.23,28.72,26.35
2091,28.00,25.75,29.95,29.47,27.30,24.57,30.21,29.15,28.59,25.69,26.01,28.42,28.54,26.73
2092,27.89,25.80,30.01,29.56,26.96,24.24,30.23,28.87,28.51,25.77,25.52,28.16,28.49,26.36
2093,28.16,25.82,29.96,29.59,27.56,24.92,30.22,29.19,28.66,25.78,26.29,28.65,28.70,26.82
2094,28.00,25.71,29.95,29.56,27.10,24.61,30.14,28.98,28.56,25.74,26.03,28.19,28.57,26.60
2095,27.92,25.75,30.01,29.50,27.01,24.44,30.14,28.92,28.60,25.86,25.79,28.14,28.50,26.44
2096,27.84,25.60,29.96,29.30,27.10,24.45,30.18,29.00,28.53,25.57,25.79,28.28,28.37,26.60
2097,27.94,25.54,29.86,29.41,27.33,24.64,30.32,29.08,28.39,25.70,25.93,28.37,28.50,26.72
2098,27.87,25.75,30.01,29.39,27.00,24.51,30.25,28.78,28.48,25.71,25.87,28.24,28.43,26.41
2099,27.71,25.35,29.74,29.16,27.09,24.59,30.10,28.93,28.29,25.38,25.85,28.17,28.09,26.63
2100,27.91,25.62,29.76,29.43,27.12,24.58,30.10,28.90,28.52,25.66,25.89,28.31,28.46,26.48
