Variable:,tas
,Eswatini,Hhohho,Lubombo,Manzini,Shiselweni
2015,21.30,19.11,19.96,18.57,19.10
2016,21.50,19.34,20.13,18.79,19.21
2017,21.37,19.17,19.97,18.65,19.10
2018,21.26,19.06,19.83,18.49,19.00
2019,21.47,19.30,20.09,18.78,19.22
2020,21.56,19.24,20.07,18.75,19.19
2021,21.50,19.26,20.05,18.71,19.19
2022,21.57,19.33,20.13,18.80,19.26
2023,21.63,19.40,20.24,18.86,19.35
2024,21.69,19.47,20.26,18.95,19.45
2025,21.64,19.40,20.20,18.87,19.35
2026,21.74,19.56,20.33,19.02,19.46
2027,21.91,19.77,20.55,19.27,19.73
2028,21.74,19.57,20.39,19.08,19.53
2029,21.66,19.44,20.27,18.97,19.43
2030,21.81,19.63,20.43,19.11,19.58
2031,21.74,19.55,20.35,19.04,19.46
2032,21.85,19.71,20.51,19.25,19.70
2033,21.69,19.54,20.34,19.02,19.52
2034,21.86,19.63,20.45,19.11,19.57
2035,21.95,19.74,20.48,19.16,19.67
2036,22.11,19.96,20.72,19.42,19.84
2037,22.20,20.01,20.76,19.50,19.90
2038,21.97,19.76,20.55,19.26,19.65
2039,22.19,20.05,20.78,19.50,19.90
2040,22.27,20.14,20.84,19.55,19.96
2041,22.09,19.88,20.72,19.38,19.84
2042,22.14,20.00,20.81,19.51,19.96
2043,22.43,20.29,21.05,19.76,20.19
2044,22.29,20.12,20.85,19.54,19.95
2045,21.97,19.79,20.53,19.22,19.70
2046,22.20,20.03,20.86,19.55,19.96
2047,22.44,20.29,21.08,19.72,20.17
2048,22.50,20.41,21.18,19.92,20.23
2049,22.01,19.86,20.65,19.35,19.85
2050,22.58,20.44,21.22,19.97,20.34
2051,22.38,20.15,20.94,19.70,20.04
2052,22.15,19.99,20.85,19.53,19.99
2053,22.48,20.35,21.13,19.83,20.28
2054,22.20,20.00,20.81,19.56,19.99
2055,22.25,20.07,20.86,19.56,20.04
2056,22.45,20.32,21.11,19.82,20.31
2057,22.36,20.17,21.00,19.67,20.16
2058,22.40,20.36,21.11,19.93,20.32
2059,22.40,20.22,21.02,19.84,20.18
2060,22.39,20.21,21.02,19.71,20.24
2061,22.39,20.22,21.03,19.72,20.21
2062,22.24,20.07,20.88,19.57,20.10
2063,22.68,20.50,21.29,20.01,20.36
2064,22.26,20.09,20.87,19.54,20.05
2065,22.49,20.25,21.07,19.76,20.20
2066,22.43,20.32,21.12,19.84,20.31
2067,22.43,20.26,21.08,19.76,20.17
2068,22.30,20.11,20.92,19.59,20.08
2069,22.56,20.35,21.13,19.85,20.17
2070,22.77,20.67,21.48,20.17,20.65
2071,22.64,20.51,21.33,20.04,20.46
2072,22.34,20.19,20.96,19.67,20.11
2073,22.67,20.54,21.31,20.03,20.36
2074,22.43,20.25,21.03,19.69,20.14
2075,22.53,20.40,21.18,19.86,20.34
2076,22.39,20.26,20.98,19.70,20.14
2077,22.34,20.18,20.97,19.74,20.09
2078,22.51,20.32,21.07,19.83,20.16
2079,22.44,20.22,20.96,19.70,20.11
2080,22.60,20.46,21.23,19.92,20.39
2081,22.27,20.12,20.94,19.66,20.10
2082,22.43,20.20,20.99,19.68,20.19
2083,22.60,20.40,21.19,19.87,20.44
2084,22.38,20.14,21.03,19.67,20.17
2085,22.82,20.61,21.40,20.08,20.50
2086,22.77,20.58,21.35,20.13,20.50
2087,22.75,20.58,21.34,20.08,20.53
2088,22.40,20.21,20.98,19.67,20.17
2089,22.27,20.10,20.84,19.54,20.01
2090,22.76,20.61,21.38,20.16,20.49
2091,22.65,20.54,21.34,20.04,20.46
2092,22.41,20.28,21.09,19.77,20.22
2093,22.73,20.60,21.46,20.16,20.59
2094,22.23,20.07,20.86,19.59,20.00
2095,22.59,20.33,21.13,19.83,20.33
2096,22.54,20.40,21.22,19.88,20.35
2097,22.48,20.33,21.09,19.81,20.19
2098,22.33,20.17,20.99,19.69,20.19
2099,22.76,20.49,21.29,19.94,20.49
2100,22.80,20.52,21.32,20.01,20.51
