Variable:,tas
,Chad,Biltine,Guera,Lac,"Logone Occidental",Salamat,"Batha Est","Batha Ouest",Borkou,Ennedi,Tibesti,Baguirmi,Daraba,"Hadjer Lamis","Barl El Gazal",Kanem,"Logone Oriental","Mont De Lam",Kabia,Mayo-Boneye,Mayo-Dala,"Barh Koh","Lac Iro",Mandoul,Assongha,Ouaddai,Sila,"Tandjile Est","Tandjile Ouest"
2015,28.33,29.12,29.03,29.78,26.77,28.61,30.28,30.19,28.55,28.11,25.54,29.19,29.53,29.45,29.86,29.36,26.71,25.43,28.24,28.77,28.24,28.18,28.38,27.57,29.25,29.58,28.64,28.08,28.07
2016,28.26,29.12,29.01,29.80,26.76,28.53,30.25,30.15,28.48,28.09,25.38,28.97,29.47,29.37,29.85,29.36,26.69,25.40,28.10,28.52,28.16,28.06,28.41,27.49,29.08,29.50,28.55,27.93,27.94
2017,28.38,29.22,29.25,30.09,26.98,28.80,30.47,30.38,28.46,28.09,25.41,29.24,29.74,29.64,30.03,29.52,26.97,25.58,28.25,28.75,28.35,28.32,28.57,27.76,29.41,29.83,28.91,28.27,28.16
2018,28.63,29.55,29.44,30.26,27.10,28.94,30.70,30.64,28.79,28.43,25.57,29.48,30.00,29.92,30.29,29.85,26.97,25.70,28.50,29.07,28.63,28.39,28.65,27.84,29.59,30.00,29.00,28.41,28.34
2019,28.55,29.36,29.31,30.07,27.05,28.87,30.53,30.38,28.77,28.36,25.69,29.24,29.70,29.58,30.05,29.61,27.01,25.68,28.37,28.80,28.42,28.38,28.70,27.83,29.45,29.91,28.86,28.28,28.23
2020,28.63,29.53,29.44,30.22,27.10,29.00,30.71,30.60,28.77,28.42,25.65,29.50,29.91,29.86,30.23,29.67,27.03,25.68,28.53,28.97,28.51,28.49,28.80,27.90,29.60,30.02,28.97,28.33,28.36
2021,28.73,29.38,29.59,30.22,27.31,29.24,30.58,30.53,28.85,28.47,25.98,29.61,30.07,29.87,30.24,29.75,27.30,25.93,28.56,29.11,28.71,28.68,28.98,28.15,29.56,30.01,29.17,28.48,28.40
2022,28.79,29.59,29.56,30.33,27.22,29.02,30.68,30.67,29.03,28.64,25.90,29.56,30.09,29.96,30.37,29.88,27.11,25.82,28.59,29.18,28.67,28.53,28.86,27.96,29.60,30.03,29.07,28.49,28.44
2023,28.66,29.64,29.42,30.20,27.20,28.95,30.82,30.69,28.80,28.44,25.65,29.43,29.84,29.86,30.36,29.79,27.13,25.84,28.54,29.00,28.64,28.52,28.73,27.90,29.59,29.98,28.97,28.44,28.39
2024,28.99,29.67,29.65,30.61,27.26,29.08,30.89,30.87,29.26,28.89,26.08,29.67,30.23,30.07,30.68,30.20,27.23,25.88,28.66,29.12,28.71,28.62,28.92,28.11,29.81,30.20,29.10,28.53,28.50
2025,28.85,29.80,29.87,30.46,27.27,29.17,30.95,30.89,28.97,28.62,25.85,29.81,30.21,30.16,30.47,29.86,27.25,25.89,28.64,29.28,28.70,28.68,28.95,28.08,29.84,30.24,29.17,28.56,28.50
2026,28.93,29.78,29.72,30.36,27.35,29.20,30.88,30.79,29.14,28.73,26.07,29.83,30.20,30.07,30.52,30.03,27.30,25.99,28.71,29.32,28.74,28.70,28.97,28.13,29.76,30.18,29.16,28.69,28.60
2027,29.11,29.99,29.85,30.69,27.62,29.41,31.17,31.05,29.33,28.94,26.09,29.93,30.33,30.23,30.73,30.18,27.50,26.20,28.99,29.45,28.92,28.91,29.21,28.33,30.00,30.40,29.43,28.84,28.85
2028,29.10,29.87,29.81,30.63,27.58,29.20,31.01,30.98,29.37,28.95,26.31,29.89,30.33,30.23,30.67,30.22,27.48,26.20,28.96,29.47,28.98,28.86,29.11,28.22,29.73,30.17,29.08,28.82,28.81
2029,28.85,29.64,29.59,30.62,27.38,29.14,30.82,30.80,29.01,28.57,26.01,29.69,30.19,30.17,30.55,30.04,27.44,26.04,28.92,29.20,28.97,28.70,28.97,28.23,29.64,30.11,29.10,28.61,28.71
2030,29.18,30.08,29.90,30.69,27.70,29.44,31.18,31.13,29.41,29.03,26.22,29.86,30.40,30.22,30.83,30.25,27.61,26.28,28.98,29.41,29.06,29.04,29.32,28.47,29.98,30.45,29.42,28.96,28.87
2031,29.16,30.03,29.91,30.71,27.64,29.44,31.17,31.10,29.36,28.97,26.20,30.01,30.50,30.41,30.79,30.25,27.60,26.26,29.09,29.58,29.09,28.99,29.27,28.48,30.05,30.47,29.46,28.99,28.95
2032,29.16,30.09,29.99,30.86,27.75,29.39,31.20,31.16,29.31,28.93,26.19,30.12,30.58,30.54,30.86,30.35,27.64,26.26,28.99,29.59,29.06,29.01,29.28,28.49,29.98,30.43,29.36,28.98,28.87
2033,29.17,30.07,29.85,30.70,27.43,29.32,31.17,31.12,29.38,29.02,26.32,29.91,30.40,30.34,30.83,30.22,27.41,26.10,28.82,29.36,28.87,28.87,29.14,28.29,30.01,30.43,29.36,28.82,28.72
2034,29.34,30.19,29.95,30.73,27.80,29.45,31.24,31.23,29.67,29.25,26.60,29.95,30.45,30.36,30.98,30.35,27.72,26.35,29.21,29.53,29.30,29.03,29.30,28.47,29.80,30.31,29.31,29.03,29.04
2035,29.29,30.11,30.11,30.77,27.79,29.65,31.31,31.21,29.50,29.08,26.39,30.11,30.58,30.39,30.88,30.33,27.72,26.29,28.92,29.57,29.01,29.13,29.41,28.58,30.15,30.59,29.63,29.01,28.82
2036,29.28,30.15,30.09,30.74,27.74,29.57,31.24,31.18,29.48,29.03,26.45,30.12,30.56,30.51,30.85,30.27,27.69,26.35,29.21,29.64,29.26,29.18,29.37,28.63,30.04,30.51,29.45,29.10,29.07
2037,29.47,30.39,30.41,31.06,27.97,29.82,31.53,31.48,29.60,29.21,26.45,30.37,30.89,30.76,31.12,30.59,27.87,26.54,29.40,29.93,29.41,29.30,29.55,28.80,30.31,30.78,29.73,29.27,29.26
2038,29.26,30.16,30.06,30.76,27.75,29.52,31.29,31.19,29.43,29.07,26.36,30.06,30.53,30.42,30.85,30.31,27.65,26.34,29.15,29.61,29.18,29.06,29.31,28.48,30.17,30.61,29.56,29.06,29.02
2039,29.37,30.11,30.32,30.93,27.56,29.82,31.34,31.23,29.57,29.14,26.53,30.17,30.69,30.56,30.87,30.43,27.53,26.21,28.90,29.63,28.96,29.26,29.58,28.58,30.20,30.70,29.74,29.05,28.83
2040,29.28,30.15,29.99,30.83,27.76,29.46,31.32,31.25,29.54,29.12,26.41,29.99,30.53,30.38,30.91,30.39,27.64,26.33,29.00,29.52,29.10,29.03,29.32,28.45,30.05,30.51,29.39,29.02,28.90
2041,29.21,30.14,29.98,30.74,27.68,29.41,31.29,31.21,29.44,28.99,26.28,30.08,30.62,30.54,30.82,30.26,27.57,26.26,29.05,29.63,29.12,28.99,29.23,28.39,30.12,30.51,29.44,29.03,28.94
