Variable:,tas
,Tonga,"Administrative unit not available"
2015,25.37,25.18
2016,25.53,25.42
2017,25.49,25.31
2018,25.32,25.21
2019,25.38,25.25
2020,25.37,25.23
2021,25.56,25.43
2022,25.47,25.30
2023,25.75,25.62
2024,25.76,25.60
2025,25.78,25.63
2026,25.70,25.55
2027,25.65,25.41
2028,25.71,25.53
2029,25.66,25.52
2030,25.66,25.44
2031,25.64,25.51
2032,25.86,25.70
2033,25.81,25.64
2034,25.67,25.48
2035,25.71,25.55
2036,25.83,25.65
2037,25.87,25.74
2038,25.77,25.60
2039,26.01,25.82
2040,25.93,25.73
2041,25.93,25.76
2042,25.72,25.62
2043,25.72,25.58
2044,25.89,25.75
2045,25.85,25.68
2046,25.93,25.78
2047,25.99,25.83
2048,25.95,25.77
2049,25.91,25.81
2050,25.96,25.82
2051,25.81,25.67
2052,25.90,25.78
2053,25.96,25.83
2054,25.85,25.71
2055,26.06,25.91
2056,26.11,25.94
2057,25.96,25.82
2058,25.87,25.74
2059,25.99,25.82
2060,26.38,26.20
2061,26.01,25.86
2062,25.98,25.82
2063,26.20,26.08
2064,26.18,25.97
2065,25.97,25.82
2066,25.95,25.81
2067,26.25,26.05
2068,26.22,26.02
2069,26.11,25.92
2070,26.24,26.09
2071,26.11,25.98
2072,26.03,25.92
2073,25.80,25.64
2074,26.01,25.84
2075,25.89,25.72
2076,25.92,25.77
2077,25.95,25.83
2078,25.88,25.74
2079,26.05,25.91
2080,26.01,25.85
2081,26.17,26.02
2082,26.12,25.96
2083,25.99,25.83
2084,25.97,25.83
2085,26.02,25.92
2086,26.09,25.94
2087,26.27,26.16
2088,26.22,26.04
2089,25.94,25.81
2090,26.09,25.95
2091,25.92,25.78
2092,26.04,25.90
2093,26.04,25.93
2094,26.07,25.88
2095,26.03,25.85
2096,26.09,25.96
2097,26.06,25.89
2098,26.15,26.02
2099,26.03,25.88
2100,26.03,25.87
