Variable:,tas
,Tunisia,Ariana,"Ben Arous",Bizerte,Beja,Gabes,Gafsa,Jendouba,Kairouan,Kasserine,Kebili,"Le Kef",Mahdia,Manouba,Monastir,Medenine,Nabeul,Sfax,"Sidi Bouz",Siliana,Sousse,Tataouine,Tozeur,Tunis,Zaghouan
2015,21.36,19.79,19.79,18.99,18.20,22.54,22.22,16.92,19.27,19.14,23.34,17.35,20.34,18.36,20.26,22.45,19.85,21.36,20.84,18.41,20.10,23.92,23.06,19.79,19.01
2016,21.36,19.76,19.79,18.99,18.27,22.59,22.36,17.00,19.30,19.27,23.42,17.45,20.28,18.43,20.19,22.43,19.84,21.26,20.89,18.49,20.05,23.85,23.26,19.79,19.04
2017,21.35,19.75,19.75,19.03,18.24,22.53,22.37,17.01,19.21,19.25,23.35,17.45,20.18,18.39,20.09,22.39,19.82,21.23,20.86,18.43,19.97,23.89,23.21,19.75,19.00
2018,21.63,20.07,20.10,19.24,18.52,22.88,22.70,17.18,19.65,19.58,23.63,17.68,20.61,18.69,20.53,22.66,20.14,21.62,21.24,18.79,20.38,24.04,23.46,20.10,19.32
2019,21.53,19.88,19.89,19.10,18.28,22.82,22.57,16.98,19.38,19.40,23.61,17.50,20.40,18.45,20.31,22.64,19.94,21.51,21.06,18.51,20.17,24.05,23.45,19.89,19.10
2020,21.73,20.01,20.03,19.19,18.49,22.99,22.75,17.26,19.64,19.65,23.78,17.77,20.64,18.66,20.56,22.86,20.08,21.68,21.30,18.75,20.38,24.34,23.56,20.03,19.27
2021,21.62,20.06,20.07,19.21,18.41,22.91,22.66,17.02,19.42,19.44,23.76,17.53,20.47,18.58,20.38,22.67,20.12,21.47,21.10,18.60,20.26,24.22,23.53,20.07,19.25
2022,21.73,20.13,20.13,19.39,18.58,22.98,22.73,17.33,19.63,19.59,23.82,17.77,20.62,18.74,20.54,22.72,20.17,21.71,21.31,18.80,20.40,24.36,23.60,20.13,19.36
2023,22.01,20.29,20.31,19.48,18.72,23.34,23.10,17.36,19.86,19.88,24.11,17.91,20.89,18.89,20.80,23.13,20.37,21.97,21.62,18.97,20.64,24.55,23.87,20.31,19.53
2024,21.89,20.14,20.23,19.30,18.66,23.17,22.93,17.37,19.79,19.77,24.04,17.87,20.78,18.83,20.71,23.02,20.27,21.86,21.43,18.91,20.55,24.54,23.83,20.23,19.46
2025,21.80,20.05,20.04,19.35,18.58,23.10,22.85,17.28,19.67,19.77,23.93,17.84,20.62,18.73,20.53,22.94,20.10,21.75,21.34,18.83,20.37,24.36,23.76,20.04,19.32
2026,21.92,20.28,20.30,19.47,18.72,23.23,22.98,17.41,19.73,19.84,24.11,17.94,20.72,18.89,20.64,23.01,20.35,21.81,21.40,18.93,20.52,24.48,23.93,20.30,19.52
2027,22.00,20.41,20.42,19.63,18.79,23.19,23.00,17.50,19.95,19.91,24.03,18.02,20.98,18.96,20.90,23.06,20.47,21.90,21.50,19.05,20.74,24.53,23.89,20.42,19.62
2028,21.91,20.30,20.31,19.55,18.81,23.11,22.87,17.44,19.80,19.77,23.94,17.93,20.82,18.97,20.73,22.97,20.36,21.84,21.42,19.00,20.59,24.51,23.75,20.31,19.57
2029,21.93,20.19,20.19,19.47,18.67,23.26,22.86,17.37,19.65,19.71,24.10,17.86,20.70,18.82,20.61,23.15,20.26,21.81,21.33,18.85,20.47,24.62,23.83,20.19,19.44
2030,22.05,20.44,20.47,19.68,18.91,23.32,23.18,17.63,20.00,20.02,24.14,18.13,20.95,19.07,20.87,23.08,20.52,21.99,21.68,19.15,20.73,24.48,24.03,20.47,19.70
2031,21.92,20.23,20.26,19.49,18.75,23.16,22.92,17.49,19.88,19.84,23.95,17.98,20.91,18.90,20.83,22.99,20.31,21.94,21.47,18.99,20.64,24.41,23.76,20.26,19.51
2032,22.13,20.43,20.46,19.72,19.07,23.47,23.24,17.84,20.00,20.08,24.31,18.28,20.92,19.21,20.84,23.20,20.50,22.03,21.75,19.26,20.71,24.66,24.14,20.46,19.77
2033,21.93,20.32,20.34,19.62,18.86,23.18,22.94,17.55,19.80,19.84,24.00,18.02,20.77,19.01,20.68,22.96,20.39,21.90,21.46,19.04,20.56,24.48,23.83,20.34,19.61
2034,22.23,20.40,20.42,19.67,18.90,23.60,23.40,17.63,20.07,20.19,24.45,18.20,21.04,19.05,20.96,23.36,20.48,22.17,21.82,19.18,20.78,24.86,24.30,20.42,19.67
2035,22.02,20.50,20.54,19.73,19.04,23.19,23.01,17.76,20.02,20.01,24.03,18.23,20.98,19.20,20.90,23.03,20.59,21.91,21.56,19.24,20.77,24.47,23.88,20.54,19.80
2036,21.96,20.29,20.29,19.56,18.74,23.28,23.02,17.37,19.81,19.85,24.04,17.91,20.84,18.90,20.75,23.10,20.35,21.92,21.50,18.96,20.59,24.48,23.81,20.29,19.52
2037,22.03,20.38,20.41,19.54,18.76,23.28,23.06,17.56,19.98,20.05,24.15,18.13,20.91,18.93,20.83,23.11,20.46,21.92,21.55,19.06,20.69,24.66,23.95,20.41,19.60
2038,22.34,20.61,20.60,19.92,19.03,23.69,23.60,17.86,20.18,20.34,24.51,18.39,21.13,19.17,21.05,23.36,20.66,22.26,22.00,19.29,20.90,24.90,24.37,20.60,19.82
2039,22.48,20.62,20.63,19.95,19.27,23.70,23.48,18.00,20.36,20.38,24.54,18.51,21.35,19.41,21.27,23.63,20.69,22.41,22.00,19.51,21.06,25.27,24.29,20.63,19.96
2040,22.22,20.60,20.63,19.78,19.00,23.53,23.28,17.67,20.07,20.09,24.38,18.18,21.07,19.17,20.98,23.25,20.68,22.20,21.77,19.23,20.86,24.79,24.17,20.63,19.83
2041,22.29,20.54,20.54,19.85,19.07,23.59,23.46,17.88,20.20,20.33,24.37,18.42,21.12,19.22,21.04,23.35,20.60,22.27,21.94,19.34,20.87,24.84,24.25,20.54,19.81
2042,22.17,20.49,20.48,19.76,18.93,23.41,23.14,17.65,20.02,20.04,24.23,18.17,21.05,19.08,20.96,23.24,20.54,22.10,21.68,19.16,20.80,24.86,24.00,20.48,19.71
2043,22.11,20.49,20.52,19.74,18.95,23.35,23.18,17.63,20.00,20.04,24.15,18.14,20.98,19.11,20.90,23.18,20.56,22.03,21.64,19.17,20.77,24.63,24.00,20.52,19.74
2044,22.41,20.77,20.81,20.02,19.30,23.73,23.57,18.02,20.40,20.41,24.50,18.52,21.40,19.46,21.33,23.44,20.85,22.33,22.07,19.54,21.16,24.84,24.37,20.81,20.07
2045,22.38,20.73,20.77,19.88,19.09,23.66,23.50,17.90,20.25,20.30,24.45,18.40,21.30,19.27,21.22,23.48,20.82,22.38,21.95,19.34,21.07,24.92,24.34,20.77,19.94
2046,22.43,20.70,20.73,19.98,19.28,23.64,23.56,18.05,20.43,20.48,24.43,18.58,21.37,19.43,21.29,23.46,20.78,22.40,22.09,19.56,21.11,24.95,24.33,20.73,20.02
2047,22.58,20.86,20.92,20.08,19.41,23.91,23.69,18.23,20.50,20.57,24.63,18.72,21.48,19.57,21.41,23.70,20.96,22.61,22.19,19.65,21.25,25.05,24.50,20.92,20.18
2048,22.27,20.66,20.68,20.03,19.34,23.46,23.31,18.15,20.25,20.35,24.26,18.60,21.11,19.48,21.02,23.25,20.73,22.17,21.83,19.53,20.90,24.68,24.16,20.68,20.02
2049,22.53,21.10,21.09,20.41,19.54,23.69,23.44,18.26,20.37,20.39,24.49,18.67,21.37,19.69,21.28,23.49,21.15,22.39,21.98,19.66,21.20,25.04,24.24,21.09,20.32
2050,22.74,21.23,21.28,20.44,19.63,23.93,23.78,18.24,20.56,20.54,24.74,18.69,21.68,19.80,21.59,23.78,21.33,22.60,22.19,19.77,21.47,25.26,24.64,21.28,20.47
2051,22.52,20.82,20.84,20.06,19.32,23.75,23.54,18.07,20.44,20.48,24.59,18.60,21.41,19.48,21.32,23.55,20.89,22.48,22.10,19.58,21.16,25.13,24.37,20.84,20.09
2052,22.56,20.92,20.93,20.21,19.45,23.81,23.63,18.21,20.57,20.56,24.60,18.71,21.56,19.61,21.49,23.58,20.98,22.52,22.15,19.70,21.31,25.05,24.46,20.93,20.20
2053,22.65,20.88,20.91,20.15,19.45,24.00,23.77,18.30,20.45,20.57,24.73,18.74,21.39,19.60,21.31,23.81,20.95,22.50,22.19,19.67,21.17,25.23,24.63,20.91,20.19
2054,22.68,20.90,20.92,20.18,19.54,23.98,23.67,18.36,20.43,20.59,24.93,18.82,21.35,19.69,21.27,23.79,20.96,22.48,22.13,19.71,21.15,25.52,24.67,20.92,20.24
2055,22.52,20.92,20.97,20.18,19.51,23.82,23.69,18.30,20.58,20.58,24.50,18.76,21.52,19.66,21.46,23.46,21.01,22.58,22.24,19.75,21.30,24.81,24.41,20.97,20.25
2056,22.47,20.85,20.89,20.13,19.46,23.70,23.51,18.25,20.48,20.50,24.52,18.71,21.42,19.61,21.35,23.44,20.93,22.48,22.08,19.68,21.19,24.95,24.38,20.89,20.19
2057,22.45,20.74,20.74,20.09,19.26,23.71,23.46,17.98,20.38,20.33,24.53,18.46,21.43,19.40,21.35,23.52,20.80,22.49,21.99,19.49,21.15,24.94,24.43,20.74,20.00
2058,22.48,20.89,20.91,20.15,19.39,23.71,23.55,18.10,20.42,20.45,24.52,18.60,21.41,19.54,21.33,23.48,20.96,22.43,22.06,19.60,21.19,24.94,24.36,20.91,20.16
2059,22.51,20.79,20.82,20.02,19.30,23.83,23.72,17.99,20.40,20.50,24.64,18.54,21.34,19.46,21.26,23.57,20.87,22.44,22.11,19.56,21.11,25.09,24.50,20.82,20.07
