Variable:,tas
,Uganda,Abim,Amudat,Amuru,Apac,Budaka,Bugiri,Buikwe,Bukomansimbi,Bukwo,Bulambuli,Buliisa,Bundibugyo,Bushenyi,Buyende,Butambala,Iganga,Kalungu,Kamuli,Kapchorwa,Sheema,Kitgum,Kole,Kotido,Kween,Lamwo,Luuka,Manafwa,Masaka,Masindi,Moroto,Nakapiripirit,Namutumba,Napak,Nebbi,Ngora,Buhweju,Ntoroko,Maracha,Otuke,Oyam,Pader,Rubirizi,Sironko,Soroti,Zombo,Bukedea,Dokolo,Agago,Alebtong,Arua,Bududa,Buvuma,Gomba,Gulu,Kiboga,Kibuku,Kiryandongo,Kumi,Kyankwanzi,Mitooma,Kyegegwa,Kyenjojo,Mpigi,Nwoya,Serere,Lwengo,Mukono,Namayingo,Pallisa,Lira,Rakai,Lyantonde,Adjumani,Busia,Hoima,Jinja,Kabale,Kalangala,Kasese,Kibaale,Kisoro,Moyo,Ntungamo,Ssembabule,Kabarole,Kaberamaido,Kampala,Kamwenge,Kanungu,Kayunga,Mayuge,Nakasongola,Rukungiri,Wakiso,Yumbe,Amolatar,Amuria,Butaleja,Ibanda,Isingiro,Kaabong,Kaliro,Katakwi,Kiruhura,Koboko,Luwero,Mbale,Mbarara,Mityana,Mubende,Nakaseke,Tororo
2015,24.30,25.36,24.56,25.12,24.38,24.48,23.85,23.62,21.58,24.41,24.41,24.03,22.22,20.46,24.63,23.12,23.85,21.69,24.08,24.41,20.43,25.72,25.34,25.55,24.41,26.12,23.94,24.03,21.51,24.17,25.81,24.82,23.95,25.74,23.59,24.82,20.43,23.28,24.64,25.33,25.34,25.65,20.66,24.41,24.82,23.24,24.43,24.87,25.43,25.33,24.28,24.38,23.57,22.90,25.53,23.13,24.65,24.31,24.70,23.99,20.61,22.64,22.45,23.01,24.14,24.82,21.45,23.22,23.69,24.78,25.34,21.45,21.45,25.26,23.94,24.14,23.85,19.45,23.05,21.67,23.28,18.76,25.41,20.43,22.17,22.45,24.80,23.26,22.18,20.63,23.69,23.74,24.05,20.78,23.22,25.41,24.06,25.21,23.92,21.04,20.75,25.39,24.58,24.95,21.10,25.03,23.40,24.26,20.43,23.13,22.86,23.78,23.98
2016,24.27,25.25,24.42,25.15,24.42,24.38,23.78,23.58,21.40,24.25,24.25,24.03,22.14,20.40,24.61,23.14,23.78,21.53,24.03,24.25,20.37,25.76,25.35,25.52,24.25,26.16,23.87,23.89,21.31,24.16,25.69,24.67,23.88,25.61,23.61,24.78,20.37,23.20,24.67,25.20,25.35,25.65,20.60,24.25,24.78,23.20,24.28,24.82,25.36,25.20,24.26,24.22,23.43,22.94,25.55,23.15,24.61,24.33,24.62,23.99,20.55,22.63,22.38,22.97,24.15,24.78,21.25,23.20,23.54,24.73,25.30,21.25,21.25,25.20,23.83,24.10,23.78,19.31,22.95,21.59,23.27,18.65,25.33,20.32,22.09,22.38,24.76,23.27,22.11,20.56,23.70,23.62,24.10,20.72,23.20,25.33,24.11,25.10,23.83,20.98,20.63,25.43,24.53,24.83,21.01,25.00,23.42,24.11,20.37,23.15,22.90,23.81,23.85
2017,24.28,25.30,24.44,25.16,24.40,24.42,23.79,23.58,21.59,24.33,24.33,24.04,22.19,20.41,24.60,23.12,23.79,21.70,24.03,24.33,20.38,25.60,25.43,25.40,24.33,26.09,23.88,24.05,21.52,24.15,25.56,24.69,23.89,25.51,23.67,24.78,20.38,23.28,24.81,25.28,25.43,25.68,20.60,24.33,24.78,23.34,24.36,24.84,25.35,25.28,24.35,24.31,23.62,22.90,25.60,23.12,24.61,24.35,24.64,23.96,20.55,22.63,22.43,23.03,24.22,24.78,21.46,23.23,23.72,24.74,25.38,21.46,21.46,25.29,23.92,24.12,23.79,19.35,23.13,21.63,23.27,18.66,25.43,20.36,22.17,22.43,24.76,23.25,22.16,20.57,23.67,23.74,24.04,20.72,23.23,25.43,24.05,25.16,23.88,21.00,20.71,25.28,24.53,24.84,21.07,25.12,23.39,24.22,20.38,23.13,22.86,23.77,23.98
2018,24.27,25.28,24.47,25.19,24.38,24.44,23.79,23.56,21.63,24.34,24.34,24.12,22.14,20.30,24.65,23.04,23.79,21.73,24.04,24.34,20.26,25.63,25.25,25.41,24.34,26.12,23.88,24.00,21.57,24.23,25.65,24.72,23.90,25.60,23.76,24.83,20.26,23.30,24.96,25.26,25.25,25.60,20.60,24.34,24.83,23.48,24.37,24.85,25.34,25.26,24.49,24.31,23.56,22.81,25.47,23.05,24.65,24.35,24.68,24.00,20.52,22.55,22.37,22.96,24.23,24.83,21.52,23.15,23.68,24.78,25.25,21.52,21.52,25.45,23.90,24.20,23.79,19.47,23.02,21.62,23.25,18.78,25.61,20.31,22.15,22.37,24.81,23.19,22.09,20.68,23.66,23.71,24.08,20.81,23.15,25.61,24.09,25.16,23.87,20.90,20.66,25.25,24.57,24.88,20.99,25.29,23.35,24.21,20.26,23.05,22.76,23.77,23.94
2019,24.35,25.29,24.53,25.19,24.41,24.50,23.88,23.69,21.67,24.40,24.40,24.10,22.35,20.62,24.69,23.23,23.88,21.78,24.12,24.40,20.59,25.70,25.31,25.51,24.40,26.16,23.97,24.14,21.60,24.22,25.72,24.78,23.98,25.65,23.71,24.88,20.59,23.37,24.80,25.26,25.31,25.65,20.85,24.40,24.88,23.36,24.43,24.88,25.37,25.26,24.37,24.38,23.70,22.98,25.52,23.21,24.71,24.35,24.74,24.03,20.79,22.74,22.57,23.16,24.21,24.88,21.54,23.36,23.79,24.83,25.29,21.54,21.54,25.31,24.01,24.19,23.88,19.65,23.30,21.83,23.36,18.97,25.45,20.59,22.25,22.57,24.85,23.38,22.30,20.86,23.76,23.82,24.10,21.00,23.36,25.45,24.10,25.17,23.97,21.19,20.89,25.41,24.63,24.93,21.23,25.13,23.51,24.30,20.59,23.24,22.93,23.85,24.07
2020,24.39,25.39,24.59,25.32,24.51,24.53,23.85,23.70,21.58,24.44,24.44,24.25,22.37,20.48,24.74,23.30,23.85,21.71,24.12,24.44,20.44,25.62,25.50,25.53,24.44,26.18,23.94,24.12,21.50,24.36,25.83,24.84,23.96,25.76,23.90,24.92,20.44,23.44,25.03,25.38,25.50,25.76,20.73,24.44,24.92,23.51,24.47,24.96,25.41,25.38,24.55,24.42,23.60,23.04,25.68,23.28,24.73,24.50,24.78,24.15,20.66,22.77,22.58,23.14,24.40,24.92,21.44,23.39,23.71,24.87,25.46,21.44,21.44,25.46,23.99,24.31,23.85,19.57,23.10,21.82,23.43,18.93,25.60,20.45,22.23,22.58,24.90,23.46,22.29,20.77,23.82,23.75,24.17,20.90,23.39,25.60,24.17,25.27,23.95,21.09,20.75,25.37,24.65,24.99,21.13,25.32,23.58,24.32,20.44,23.31,22.99,23.94,24.04
2021,24.32,25.26,24.50,25.26,24.39,24.48,23.90,23.68,21.67,24.37,24.37,24.07,22.28,20.45,24.65,23.19,23.90,21.78,24.11,24.37,20.41,25.66,25.39,25.43,24.37,26.23,23.98,23.98,21.60,24.18,25.68,24.75,24.00,25.62,23.72,24.84,20.41,23.35,24.88,25.23,25.39,25.71,20.74,24.37,24.84,23.49,24.40,24.86,25.33,25.23,24.44,24.34,23.61,22.96,25.61,23.18,24.68,24.36,24.70,23.99,20.66,22.69,22.49,23.08,24.24,24.84,21.54,23.29,23.72,24.79,25.34,21.54,21.54,25.39,23.94,24.17,23.90,19.48,23.13,21.76,23.33,18.81,25.53,20.41,22.24,22.49,24.81,23.33,22.21,20.79,23.72,23.78,24.05,20.93,23.29,25.53,24.05,25.14,23.94,21.04,20.76,25.29,24.60,24.89,21.11,25.21,23.46,24.22,20.41,23.20,22.92,23.80,23.95
2022,24.43,25.35,24.57,25.43,24.48,24.49,23.81,23.63,21.74,24.40,24.40,24.34,22.43,20.64,24.70,23.20,23.81,21.85,24.08,24.40,20.61,25.86,25.47,25.65,24.40,26.38,23.90,24.11,21.67,24.43,25.89,24.83,23.92,25.80,24.00,24.88,20.61,23.59,25.11,25.31,25.47,25.81,20.83,24.40,24.88,23.78,24.43,24.92,25.46,25.31,24.64,24.38,23.61,22.97,25.70,23.21,24.69,24.52,24.74,24.19,20.78,22.80,22.69,23.11,24.46,24.88,21.62,23.31,23.71,24.83,25.42,21.62,21.62,25.48,23.96,24.42,23.81,19.60,23.18,21.86,23.48,18.95,25.60,20.58,22.29,22.69,24.86,23.34,22.41,20.80,23.76,23.74,24.15,20.95,23.31,25.60,24.15,25.21,23.91,21.24,20.92,25.56,24.61,24.97,21.29,25.36,23.48,24.29,20.61,23.21,22.93,23.89,24.03
2023,24.34,25.22,24.56,25.26,24.44,24.49,23.95,23.72,21.68,24.42,24.42,24.21,22.29,20.47,24.63,23.22,23.95,21.80,24.14,24.42,20.43,25.49,25.47,25.40,24.42,26.10,24.03,23.99,21.61,24.32,25.75,24.81,24.04,25.67,23.85,24.81,20.43,23.40,24.95,25.20,25.47,25.69,20.75,24.42,24.81,23.56,24.44,24.85,25.25,25.20,24.51,24.39,23.72,23.03,25.64,23.24,24.66,24.45,24.69,24.12,20.68,22.75,22.53,23.11,24.36,24.81,21.55,23.31,23.84,24.77,25.38,21.55,21.55,25.40,23.97,24.27,23.95,19.56,23.18,21.76,23.40,18.93,25.54,20.44,22.28,22.53,24.79,23.34,22.25,20.82,23.75,23.87,24.09,20.95,23.31,25.54,24.09,25.11,23.99,21.07,20.78,25.24,24.59,24.91,21.14,25.25,23.47,24.25,20.43,23.23,22.99,23.85,23.97
2024,24.80,25.75,24.99,25.78,24.98,24.93,24.20,24.02,22.11,24.81,24.81,24.68,22.68,20.79,25.20,23.60,24.20,22.23,24.50,24.81,20.76,26.19,25.95,26.00,24.81,26.75,24.30,24.40,22.04,24.82,26.35,25.26,24.32,26.27,24.23,25.38,20.76,23.85,25.23,25.72,25.95,26.24,21.03,24.81,25.38,23.85,24.84,25.39,25.84,25.72,24.91,24.78,23.89,23.40,26.16,23.63,25.17,24.93,25.21,24.61,20.97,23.12,22.90,23.47,24.77,25.38,21.99,23.67,23.99,25.32,25.87,21.99,21.99,25.91,24.30,24.80,24.20,19.91,23.45,22.12,23.84,19.20,26.05,20.80,22.69,22.90,25.35,23.73,22.61,21.04,24.20,24.06,24.64,21.18,23.67,26.05,24.65,25.64,24.28,21.41,21.15,25.83,25.08,25.41,21.50,25.64,23.89,24.65,20.76,23.61,23.36,24.34,24.34
