Variable:,tas
,Ukraine,Cherkas'ka,Chernihivs'ka,Chernivets'ka,Dnipropetrovs'ka,Donets'ka,Ivano-frankivs'ka,Kharkivs'ka,Khersons'ka,Khmel'nyts'ka,Kirovohrads'ka,Krym,Kyyivs'ka,L'vivs'ka,Luhans'ka,Mykolayivs'ka,Odes'ka,Poltavs'ka,Rivnens'ka,Sums'ka,Ternopil's'ka,Vinnyts'ka,Volyns'ka,Zakarpats'ka,Zaporiz'ka,Zhytomyrs'ka
2015,10.89,10.90,10.57,9.10,11.47,11.73,8.56,10.93,12.09,11.49,11.06,13.25,10.64,9.45,10.98,11.68,12.56,10.78,10.15,10.23,9.91,11.69,9.89,11.30,12.37,10.68
2016,11.18,11.02,10.72,9.38,11.93,12.12,8.72,11.28,12.84,11.73,11.47,13.91,10.71,9.50,11.42,12.41,13.31,11.04,10.18,10.48,10.04,11.92,9.92,11.45,12.92,10.75
2017,11.65,11.62,11.19,9.61,12.32,12.70,9.17,11.54,13.06,12.22,11.82,14.08,11.35,10.22,11.84,12.54,13.31,11.65,11.03,10.82,10.61,12.32,10.94,11.95,13.39,11.43
2018,10.53,10.35,9.93,8.63,11.32,11.71,7.95,10.55,12.29,11.00,10.71,13.52,9.96,8.86,10.84,11.65,12.75,10.35,9.72,9.68,9.33,11.30,9.59,10.73,12.51,10.02
2019,10.98,11.13,10.76,8.99,11.49,11.75,8.42,11.01,11.99,11.54,11.19,13.26,10.88,9.28,11.03,11.67,12.60,11.04,10.32,10.43,9.74,11.91,10.05,11.37,12.36,10.91
2020,11.10,10.96,10.67,9.22,11.86,12.15,8.60,11.23,12.72,11.44,11.31,13.95,10.61,9.40,11.57,12.19,13.11,11.13,10.02,10.45,9.82,11.69,9.90,11.34,12.84,10.50
2021,11.79,11.57,11.53,9.70,12.46,12.61,9.13,11.89,13.03,12.42,11.77,14.25,11.29,10.39,11.94,12.45,13.23,11.89,11.20,11.37,10.67,12.43,11.04,12.01,13.28,11.47
2022,11.03,10.88,10.56,8.94,11.85,12.25,8.40,11.18,12.59,11.31,11.21,13.84,10.48,9.32,11.51,12.00,13.00,11.01,10.01,10.34,9.69,11.56,9.86,11.24,12.96,10.47
2023,11.38,11.34,11.00,9.33,12.14,12.39,8.83,11.43,12.79,11.80,11.60,13.88,11.03,9.76,11.59,12.30,13.08,11.37,10.60,10.66,10.16,11.99,10.43,11.57,13.08,11.05
2024,11.18,10.99,10.78,9.15,11.85,12.23,8.51,11.31,12.44,11.71,11.21,13.62,10.73,9.61,11.63,12.00,12.91,11.12,10.41,10.59,10.01,11.71,10.21,11.33,12.80,10.88
2025,11.83,11.75,11.52,9.58,12.61,12.90,9.03,11.95,13.29,12.17,12.06,14.29,11.44,10.11,12.02,12.78,13.44,11.88,10.96,11.30,10.47,12.41,10.77,11.84,13.54,11.49
2026,11.51,11.46,11.04,9.93,12.16,12.31,9.33,11.34,12.89,12.28,11.75,14.00,11.11,10.13,11.70,12.56,13.49,11.40,10.87,10.65,10.70,12.34,10.65,12.04,13.03,11.21
2027,11.31,11.04,10.62,9.36,12.25,12.63,8.85,11.70,12.83,11.62,11.50,14.06,10.57,9.72,11.94,12.27,13.14,11.38,10.23,10.62,10.07,11.87,10.09,11.60,13.23,10.67
2028,11.57,11.58,11.09,9.70,12.24,12.56,9.10,11.67,12.98,12.04,11.94,14.13,11.15,9.90,11.72,12.62,13.50,11.77,10.50,11.17,10.33,12.45,10.29,11.91,13.17,11.15
2029,11.43,11.24,10.98,9.61,12.13,12.50,8.96,11.53,12.95,11.88,11.54,14.17,10.95,9.84,11.75,12.45,13.29,11.42,10.44,10.85,10.27,12.10,10.25,11.69,13.20,10.93
2030,11.49,11.46,10.87,9.36,12.47,12.74,8.76,11.60,13.25,11.83,11.85,14.29,10.96,9.72,11.83,12.73,13.54,11.43,10.46,10.61,10.10,12.20,10.27,11.60,13.50,11.02
2031,11.55,11.53,11.05,9.79,12.19,12.55,9.27,11.52,13.00,12.14,11.72,14.19,11.22,10.14,11.72,12.55,13.56,11.43,10.76,10.68,10.54,12.39,10.52,12.02,13.19,11.29
2032,11.42,11.36,10.96,9.19,12.34,12.75,8.67,11.76,12.91,11.79,11.61,13.90,11.02,9.70,11.91,12.33,13.09,11.50,10.25,10.83,10.13,12.02,10.08,11.34,13.33,10.87
2033,11.50,11.42,11.44,9.38,12.06,12.32,8.94,11.49,12.61,11.95,11.57,13.82,11.38,9.89,11.60,12.17,13.07,11.55,10.88,10.94,10.29,12.13,10.63,11.81,12.97,11.38
2034,11.45,11.14,10.92,9.46,12.22,12.85,8.78,11.58,13.02,11.83,11.53,14.32,10.81,9.57,12.06,12.47,13.45,11.31,10.41,10.79,10.11,12.12,10.16,11.51,13.42,11.06
2035,11.78,11.74,11.22,9.74,12.74,12.86,9.23,12.03,13.42,12.08,12.10,14.50,11.21,10.04,11.97,12.97,13.69,11.93,10.76,11.17,10.43,12.33,10.60,12.00,13.65,11.16
2036,11.70,11.43,11.40,9.49,12.38,12.68,8.99,11.69,13.05,12.01,11.76,14.23,11.20,10.17,11.97,12.52,13.33,11.55,11.09,11.11,10.42,12.22,10.95,11.75,13.39,11.37
2037,11.31,10.91,10.85,9.39,11.91,12.38,8.93,11.47,12.63,11.76,11.20,13.94,10.69,10.03,11.76,12.05,13.02,11.15,10.73,10.60,10.27,11.75,10.69,11.76,12.93,10.90
2038,11.91,11.87,11.46,10.08,12.70,12.91,9.55,12.14,13.36,12.38,12.00,14.52,11.46,10.33,12.17,12.82,13.63,11.91,10.90,11.30,10.79,12.58,10.70,12.35,13.74,11.41
2039,11.74,11.56,11.43,9.71,12.37,12.56,9.33,11.87,12.97,12.21,11.91,14.06,11.18,10.40,11.95,12.65,13.58,11.85,10.88,11.29,10.56,12.42,10.84,12.22,13.20,11.33
2040,11.59,11.51,11.34,9.57,12.24,12.40,9.03,11.62,12.94,12.08,11.78,14.22,11.26,9.96,11.61,12.47,13.31,11.63,10.77,11.06,10.39,12.30,10.48,11.79,13.18,11.33
2041,11.50,11.41,10.99,9.59,12.31,12.42,9.04,11.67,12.78,11.85,11.91,14.02,10.87,9.86,11.71,12.62,13.58,11.65,10.58,10.97,10.26,12.17,10.51,11.70,13.07,10.96
2042,11.79,11.65,11.44,9.89,12.22,12.51,9.30,11.70,12.96,12.48,11.86,14.18,11.47,10.21,11.90,12.61,13.53,11.63,11.26,11.13,10.65,12.69,11.03,12.15,13.24,11.79
