Variable:,tas
,"Virgin Islands","Saint Croix (County Equivalent)","Saint John (County Equivalent)","Saint Thomas (County Equivalent)"
2015,27.04,27.33,27.04,26.98
2016,26.94,27.19,26.94,26.88
2017,26.94,27.20,26.94,26.87
2018,27.07,27.36,27.07,27.00
2019,26.91,27.18,26.91,26.85
2020,27.12,27.37,27.12,27.06
2021,27.02,27.30,27.02,26.96
2022,27.12,27.37,27.12,27.06
2023,27.13,27.39,27.13,27.06
2024,27.20,27.45,27.20,27.14
2025,27.20,27.50,27.20,27.13
2026,27.24,27.50,27.24,27.17
2027,27.37,27.64,27.37,27.31
2028,27.42,27.70,27.42,27.35
2029,27.26,27.55,27.26,27.20
2030,27.32,27.60,27.32,27.26
2031,27.48,27.74,27.48,27.42
2032,27.37,27.67,27.37,27.31
2033,27.42,27.70,27.42,27.36
2034,27.53,27.80,27.53,27.47
2035,27.65,27.91,27.65,27.59
2036,27.44,27.73,27.44,27.38
2037,27.59,27.88,27.59,27.52
2038,27.48,27.76,27.48,27.41
2039,27.51,27.74,27.51,27.45
2040,27.47,27.79,27.47,27.41
2041,27.45,27.69,27.45,27.38
2042,27.58,27.86,27.58,27.51
2043,27.52,27.82,27.52,27.46
2044,27.67,27.97,27.67,27.61
2045,27.56,27.86,27.56,27.50
2046,27.73,28.00,27.73,27.66
2047,27.74,27.97,27.74,27.68
2048,27.60,27.90,27.60,27.53
2049,27.71,28.02,27.71,27.65
2050,27.73,28.10,27.73,27.67
2051,27.64,27.97,27.64,27.58
2052,27.86,28.17,27.86,27.80
2053,27.61,27.83,27.61,27.55
2054,27.92,28.19,27.92,27.85
2055,27.79,28.07,27.79,27.73
2056,27.69,28.00,27.69,27.63
2057,27.65,27.97,27.65,27.59
2058,27.84,28.07,27.84,27.78
2059,27.98,28.28,27.98,27.92
2060,27.86,28.12,27.86,27.79
2061,27.67,27.94,27.67,27.61
2062,27.75,28.09,27.75,27.69
2063,28.00,28.31,28.00,27.93
2064,27.79,28.05,27.79,27.73
2065,27.79,28.03,27.79,27.73
2066,27.71,28.01,27.71,27.65
2067,27.89,28.14,27.89,27.83
2068,27.75,28.03,27.75,27.69
2069,27.98,28.20,27.98,27.91
2070,27.87,28.15,27.87,27.81
2071,27.75,28.02,27.75,27.69
2072,27.83,28.06,27.83,27.77
2073,28.02,28.32,28.02,27.95
2074,27.94,28.23,27.94,27.87
2075,27.85,28.09,27.85,27.79
2076,27.90,28.19,27.90,27.84
2077,27.84,28.12,27.84,27.78
2078,27.94,28.22,27.94,27.88
2079,27.97,28.27,27.97,27.91
2080,27.94,28.22,27.94,27.88
2081,27.85,28.19,27.85,27.79
2082,27.82,28.14,27.82,27.76
2083,27.62,27.87,27.62,27.56
2084,27.87,28.11,27.87,27.81
2085,27.87,28.19,27.87,27.81
2086,27.97,28.25,27.97,27.91
2087,28.10,28.40,28.10,28.04
2088,27.93,28.19,27.93,27.87
2089,27.87,28.14,27.87,27.81
2090,27.90,28.17,27.90,27.84
2091,27.96,28.24,27.96,27.90
2092,27.99,28.29,27.99,27.93
2093,28.02,28.26,28.02,27.96
2094,27.72,28.04,27.72,27.66
2095,27.74,27.99,27.74,27.68
2096,27.90,28.20,27.90,27.84
2097,28.06,28.37,28.06,27.99
2098,27.93,28.17,27.93,27.87
2099,27.84,28.15,27.84,27.78
2100,27.89,28.16,27.89,27.83
